#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
0 84.615 100.000 92.308 92.308 4.441 0.000 0.000 0.000 0.000 0.000
1 100.000 84.615 100.000 94.872 5.128 0.000 0.000 0.000 0.000 0.000
2 100.000 92.308 100.000 97.436 2.564 3.125 0.000 0.000 1.042 1.042
3 100.000 92.308 100.000 97.436 2.564 0.000 0.000 0.000 0.000 0.000
4 84.615 100.000 84.615 89.744 5.128 3.125 0.000 0.000 1.042 1.042
5 92.308 92.308 100.000 94.872 2.564 1.562 0.000 0.000 0.521 0.521
6 84.615 84.615 84.615 84.615 0.000 0.000 0.000 0.000 0.000 0.000
7 84.615 76.923 92.308 84.615 4.441 0.000 0.000 0.000 0.000 0.000
8 84.615 84.615 84.615 84.615 0.000 4.688 0.000 0.000 1.562 1.562
9 100.000 100.000 100.000 100.000 0.000 0.000 0.000 0.000 0.000 0.000
10 100.000 100.000 92.308 97.436 2.564 0.000 0.000 0.000 0.000 0.000
11 84.615 92.308 100.000 92.308 4.441 0.000 0.000 0.000 0.000 0.000
12 84.615 92.308 100.000 92.308 4.441 0.000 0.000 0.000 0.000 0.000
13 80.769 100.000 92.308 91.026 5.588 0.000 0.000 0.000 0.000 0.000
14 100.000 84.615 76.923 87.179 6.784 0.000 0.000 0.000 0.000 0.000
15 92.308 92.308 84.615 89.744 2.564 0.000 0.000 0.000 0.000 0.000
16 80.769 100.000 84.615 88.462 5.875 0.000 0.000 0.000 0.000 0.000
17 92.308 92.308 100.000 94.872 2.564 0.000 0.000 0.000 0.000 0.000
18 100.000 100.000 69.231 89.744 10.256 0.000 0.000 0.000 0.000 0.000
19 100.000 84.615 100.000 94.872 5.128 0.000 0.000 0.000 0.000 0.000
20 92.308 92.308 92.308 92.308 0.000 0.000 0.000 0.000 0.000 0.000
21 100.000 100.000 92.308 97.436 2.564 0.000 0.000 0.000 0.000 0.000
22 73.077 92.308 100.000 88.462 8.006 0.000 0.000 0.000 0.000 0.000
23 92.308 100.000 100.000 97.436 2.564 0.000 0.000 0.000 0.000 0.000
24 76.923 92.308 92.308 87.179 5.128 0.000 0.000 0.000 0.000 0.000
25 100.000 92.308 100.000 97.436 2.564 0.000 0.000 0.000 0.000 0.000
26 100.000 100.000 92.308 97.436 2.564 0.000 0.000 0.000 0.000 0.000
27 100.000 84.615 100.000 94.872 5.128 0.000 0.000 0.000 0.000 0.000
28 92.308 84.615 100.000 92.308 4.441 0.000 0.000 0.000 0.000 0.000
29 84.615 100.000 100.000 94.872 5.128 0.000 0.000 0.000 0.000 0.000
30 84.615 100.000 92.308 92.308 4.441 0.000 0.000 0.000 0.000 0.000
31 92.308 92.308 100.000 94.872 2.564 0.000 0.000 0.000 0.000 0.000
32 92.308 100.000 92.308 94.872 2.564 0.000 0.000 0.000 0.000 0.000
33 84.615 92.308 100.000 92.308 4.441 0.000 0.000 0.000 0.000 0.000
34 100.000 92.308 100.000 97.436 2.564 0.000 0.000 0.000 0.000 0.000
35 92.308 92.308 92.308 92.308 0.000 0.000 0.000 0.000 0.000 0.000
36 92.308 92.308 92.308 92.308 0.000 0.000 0.000 0.000 0.000 0.000
37 84.615 92.308 84.615 87.179 2.564 0.000 0.000 0.000 0.000 0.000
38 88.462 100.000 100.000 96.154 3.846 0.000 0.000 0.000 0.000 0.000
39 100.000 100.000 92.308 97.436 2.564 0.000 0.000 0.000 0.000 0.000
40 92.308 92.308 92.308 92.308 0.000 0.000 0.000 0.000 0.000 0.000
41 100.000 92.308 61.538 84.615 11.750 0.000 0.000 0.000 0.000 0.000
42 100.000 80.769 92.308 91.026 5.588 0.000 0.000 0.000 0.000 0.000
43 84.615 100.000 92.308 92.308 4.441 0.000 0.000 0.000 0.000 0.000
44 92.308 100.000 92.308 94.872 2.564 0.000 0.000 0.000 0.000 0.000
45 92.308 92.308 92.308 92.308 0.000 0.000 0.000 0.000 0.000 0.000
46 100.000 100.000 76.923 92.308 7.692 0.000 0.000 0.000 0.000 0.000
47 100.000 92.308 100.000 97.436 2.564 0.000 0.000 0.000 0.000 0.000
48 84.615 92.308 80.769 85.897 3.392 0.000 0.000 0.000 0.000 0.000
49 84.615 100.000 92.308 92.308 4.441 0.000 0.000 0.000 0.000 0.000
50 100.000 92.308 100.000 97.436 2.564 0.000 0.000 0.000 0.000 0.000
51 84.615 92.308 84.615 87.179 2.564 0.000 0.000 0.000 0.000 0.000
52 92.308 84.615 100.000 92.308 4.441 0.000 0.000 0.000 0.000 0.000
53 84.615 76.923 92.308 84.615 4.441 0.000 0.000 0.000 0.000 0.000
54 92.308 92.308 92.308 92.308 0.000 0.000 0.000 0.000 0.000 0.000
55 84.615 92.308 92.308 89.744 2.564 0.000 0.000 0.000 0.000 0.000
56 100.000 100.000 92.308 97.436 2.564 0.000 0.000 0.000 0.000 0.000
57 92.308 76.923 92.308 87.179 5.128 0.000 0.000 0.000 0.000 0.000
