#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 0.000 0.000 0.000 0 0 0 0 0 0
10 0.000 2.500 2.000 0 3 2 0 2 1
11 2.000 0.000 2.000 2 0 2 1 0 1
12 0.000 0.000 2.000 0 0 2 0 0 1
13 0.000 2.000 0.000 0 2 0 0 1 0
14 0.000 0.000 0.000 0 0 0 0 0 0
15 0.000 2.000 0.000 0 2 0 0 1 0
16 0.000 0.000 0.000 0 0 0 0 0 0
17 0.000 2.000 0.000 0 2 0 0 2 0
18 0.000 2.000 0.000 0 2 0 0 3 0
19 0.000 2.000 0.000 0 2 0 0 1 0
2 0.000 0.000 2.000 0 0 2 0 0 2
20 0.000 2.000 2.000 0 2 2 0 1 1
21 0.000 0.000 0.000 0 0 0 0 0 0
22 0.000 2.000 2.000 0 2 2 0 1 1
23 0.000 0.000 0.000 0 0 0 0 0 0
24 0.000 0.000 0.000 0 0 0 0 0 0
25 2.000 2.000 2.000 2 2 2 1 1 1
26 2.000 0.000 0.000 2 0 0 1 0 0
3 2.000 0.000 0.000 2 0 0 1 0 0
4 0.000 2.000 2.000 0 2 2 0 1 2
5 2.000 2.000 0.000 2 2 0 1 1 0
6 2.000 2.500 0.000 2 3 0 2 2 0
7 0.000 2.000 0.000 0 2 0 0 1 0
8 0.000 2.000 0.000 0 2 0 0 1 0
9 2.000 2.000 0.000 2 2 0 1 1 0
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 626 601 604 601
