z	dens_traj1_bloc1	dens_traj1_bloc2	dens_traj1_bloc3	dens_traj2_bloc1	dens_traj2_bloc2	dens_traj2_bloc3	dens_traj3_bloc1	dens_traj3_bloc2	dens_traj3_bloc3	dens_mean	se
-21.500000	1.310000	1.290000	1.290000	1.290000	1.290000	1.300000	1.310000	1.290000	1.300000	1.296667	0.002887
-20.500000	1.360000	1.350000	1.360000	1.350000	1.350000	1.360000	1.370000	1.360000	1.360000	1.357778	0.002222
-19.500000	1.370000	1.360000	1.370000	1.370000	1.360000	1.370000	1.360000	1.360000	1.370000	1.365556	0.001757
-18.500000	1.340000	1.340000	1.340000	1.340000	1.340000	1.340000	1.340000	1.340000	1.340000	1.340000	0.000000
-17.500000	1.290000	1.290000	1.290000	1.290000	1.290000	1.290000	1.290000	1.290000	1.290000	1.290000	0.000000
-16.500000	1.240000	1.240000	1.240000	1.240000	1.240000	1.240000	1.240000	1.240000	1.240000	1.240000	0.000000
-15.500000	1.160000	1.180000	1.170000	1.180000	1.170000	1.170000	1.170000	1.180000	1.180000	1.173333	0.002357
-14.500000	1.080000	1.090000	1.090000	1.090000	1.080000	1.080000	1.080000	1.080000	1.080000	1.083333	0.001667
-13.500000	0.990000	1.000000	0.990000	0.990000	0.990000	0.990000	0.990000	1.000000	0.990000	0.992222	0.001470
-12.500000	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.920000	0.000000
-11.500000	0.870000	0.880000	0.880000	0.880000	0.880000	0.880000	0.880000	0.880000	0.880000	0.878889	0.001111
-10.500000	0.860000	0.860000	0.860000	0.860000	0.860000	0.860000	0.860000	0.860000	0.850000	0.858889	0.001111
-9.500000	0.850000	0.850000	0.850000	0.850000	0.850000	0.850000	0.840000	0.850000	0.850000	0.848889	0.001111
-8.500000	0.840000	0.840000	0.840000	0.840000	0.840000	0.840000	0.840000	0.840000	0.840000	0.840000	0.000000
-7.500000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.830000	0.000000
-6.500000	0.820000	0.820000	0.820000	0.820000	0.820000	0.820000	0.820000	0.820000	0.820000	0.820000	0.000000
-5.500000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.800000	0.000000
-4.500000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.780000	0.000000
-3.500000	0.750000	0.750000	0.750000	0.750000	0.750000	0.750000	0.750000	0.750000	0.750000	0.750000	0.000000
