z	dens_traj1_401-600	dens_traj1_601-800	dens_traj1_801-1000	dens_traj2_401-600	dens_traj2_601-800	dens_traj2_801-1000	dens_traj3_401-600	dens_traj3_601-800	dens_traj3_801-1000	dens_mean	se
-20.500000	0.560000	0.550000	0.560000	0.560000	0.570000	0.560000	0.576610	0.552790	0.544840	0.559360	0.003236
-19.500000	0.500000	0.490000	0.510000	0.500000	0.510000	0.510000	0.510590	0.491850	0.495580	0.502002	0.002794
-18.500000	0.450000	0.440000	0.460000	0.450000	0.460000	0.460000	0.463130	0.450940	0.431770	0.451760	0.003492
-17.500000	0.380000	0.380000	0.400000	0.390000	0.400000	0.400000	0.403680	0.392470	0.372980	0.391014	0.003677
-16.500000	0.310000	0.310000	0.320000	0.310000	0.320000	0.320000	0.330790	0.308800	0.299490	0.314342	0.003061
-15.500000	0.220000	0.220000	0.240000	0.230000	0.230000	0.230000	0.254220	0.233240	0.204170	0.229070	0.004650
-14.500000	0.140000	0.140000	0.150000	0.140000	0.150000	0.150000	0.164420	0.147340	0.123800	0.145062	0.003693
-13.500000	0.080000	0.070000	0.080000	0.080000	0.080000	0.080000	0.093230	0.081250	0.059550	0.078226	0.003042
-12.500000	0.040000	0.030000	0.040000	0.040000	0.040000	0.040000	0.047580	0.036980	0.028770	0.038148	0.001907
-11.500000	0.010000	0.010000	0.020000	0.010000	0.020000	0.010000	0.019180	0.014010	0.009670	0.013651	0.001583
-10.500000	0.010000	0.000000	0.010000	0.000000	0.010000	0.000000	0.007770	0.004720	0.003650	0.005127	0.001488
-9.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002930	0.000810	0.001120	0.000540	0.000331
-8.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000690	0.000140	0.000210	0.000116	0.000076
-7.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000280	0.000070	0.000070	0.000047	0.000031
-6.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000140	0.000016	0.000016
-5.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000140	0.000070	0.000000	0.000023	0.000016
-4.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000070	0.000000	0.000000	0.000008	0.000008
-3.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000140	0.000000	0.000000	0.000016	0.000016
-2.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000070	0.000008	0.000008
-1.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000140	0.000016	0.000016
-0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000070	0.000008	0.000008
0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000060	0.000000	0.000070	0.000014	0.000010
1.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000070	0.000000	0.000000	0.000008	0.000008
2.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
3.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000140	0.000016	0.000016
4.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
6.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000070	0.000000	0.000000	0.000008	0.000008
7.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000070	0.000000	0.000060	0.000014	0.000010
