           z         mean           se
    0.500000    16.497289     0.920129
    1.500000    16.154273     0.930164
    2.500000    16.092985     0.766988
    3.500000    15.385296     0.721408
    4.500000    14.610459     0.516039
    5.500000    12.936732     0.270714
    6.500000    10.781421     0.226366
    7.500000     8.150029     0.127003
    8.500000     5.910918     0.106909
    9.500000     3.954803     0.080106
   10.500000     2.233650     0.075561
   11.500000     0.937255     0.069479
   12.500000     0.081524     0.065915
   13.500000    -0.371557     0.054393
   14.500000    -0.433554     0.052412
   15.500000    -0.124172     0.054382
   16.500000     0.503778     0.077100
   17.500000     1.229060     0.089096
   18.500000     2.014155     0.105426
   19.500000     2.621095     0.111852
   20.500000     2.835947     0.088805
   21.500000     2.563873     0.055922
   22.500000     2.002761     0.050453
   23.500000     1.439266     0.033082
   24.500000     0.922306     0.031855
   25.500000     0.548918     0.026267
   26.500000     0.290094     0.028561
   27.500000     0.135430     0.034939
   28.500000     0.047194     0.032234
   29.500000    -0.009590     0.034588
   30.500000    -0.015405     0.029984
   31.500000    -0.015754     0.031068
   32.500000    -0.002078     0.020622
   33.500000     0.014606     0.027098
   34.500000     0.002589     0.036594
   35.500000     0.006860     0.030872
   36.500000     0.008736     0.022491
   37.500000     0.017766     0.026911
   38.500000     0.000292     0.028132
   39.500000     0.003665     0.022682
   40.500000    -0.011592     0.014178
   41.500000    -0.008034     0.012595
   42.500000     0.004073     0.009085
   43.500000     0.005729     0.008968
   44.500000     0.015735     0.005422
   45.500000    -0.001135     0.006866
   46.500000     0.003295     0.008628
   47.500000    -0.011034     0.009537
   48.500000    -0.011115     0.009826
   49.500000     0.014078     0.014626
   50.500000    -0.013391     0.014392
   51.500000    -0.014863     0.013454
   52.500000    -0.010682     0.019026
   53.500000    -0.008129     0.019727
   54.500000    -0.023019     0.021701
   55.500000    -0.018200     0.017195
   56.500000    -0.025828     0.024429
   57.500000    -0.043129     0.019025
   58.500000    -0.029512     0.027764
   59.500000    -0.019455     0.025289
   60.500000    -0.016729     0.023158
   61.500000     0.005232     0.025614
   62.500000     0.001854     0.028764
   63.500000     0.059127     0.038042
   64.500000     0.180439     0.042667
   65.500000     0.404369     0.051484
   66.500000     0.826081     0.066442
   67.500000     1.392613     0.091325
   68.500000     2.240541     0.112107
   69.500000     3.338263     0.135109
   70.500000     4.808090     0.178308
   71.500000     6.788755     0.261636
   72.500000     9.394341     0.413441
   73.500000    12.560833     0.483348
   74.500000    14.854978     0.721738
   75.500000    17.837876     0.474007
   76.500000    18.813477     0.131408
