#resid avg_dur_moy avg_dur_se max_dur_moy max_dur_se contacts_moy contacts_se
0 0.000 0.000 12886.000 8360.845 0.000 0.000
1 0.000 0.000 12994.333 8461.893 0.000 0.000
2 0.000 0.000 12867.000 8341.902 0.000 0.000
3 0.000 0.000 12657.333 8145.212 0.000 0.000
4 0.000 0.000 12538.333 8033.635 0.000 0.000
5 0.000 0.000 12860.333 8520.603 0.000 0.000
