           z         mean           se
    0.500000    19.284820     0.020643
    1.500000    19.284820     0.020643
    2.500000    19.284820     0.020643
    3.500000    18.955817     0.231660
    4.500000    18.397535     0.617754
    5.500000    17.690826     0.873483
    6.500000    15.726635     0.947192
    7.500000    13.388689     0.904979
    8.500000    11.244090     0.739628
    9.500000     9.222166     0.601312
   10.500000     7.404729     0.430910
   11.500000     5.888270     0.358786
   12.500000     4.477446     0.308121
   13.500000     3.376660     0.254171
   14.500000     2.495820     0.219000
   15.500000     2.003507     0.225449
   16.500000     1.730516     0.207309
   17.500000     1.703828     0.191643
   18.500000     1.833645     0.178425
   19.500000     2.088301     0.148448
   20.500000     2.369223     0.108086
   21.500000     2.452815     0.091262
   22.500000     2.250298     0.096206
   23.500000     1.794535     0.088364
   24.500000     1.307971     0.084878
   25.500000     0.859177     0.072706
   26.500000     0.547023     0.063643
   27.500000     0.304097     0.053979
   28.500000     0.165589     0.046110
   29.500000     0.101770     0.046806
   30.500000     0.053553     0.053048
   31.500000     0.029672     0.045029
   32.500000     0.025280     0.041688
   33.500000     0.027780     0.046227
   34.500000     0.043911     0.048113
   35.500000     0.035561     0.040738
   36.500000     0.032040     0.044311
   37.500000     0.059368     0.034703
   38.500000     0.027261     0.037182
   39.500000     0.032048     0.029381
   40.500000     0.030775     0.022923
   41.500000     0.023656     0.018596
   42.500000     0.024728     0.010113
   43.500000    -0.005579     0.007677
   44.500000     0.005423     0.010055
   45.500000    -0.019530     0.009141
   46.500000    -0.008571     0.005185
   47.500000    -0.015252     0.009117
   48.500000    -0.020968     0.019613
   49.500000    -0.014682     0.017805
   50.500000    -0.005666     0.017943
   51.500000     0.003932     0.030595
   52.500000     0.012920     0.028138
   53.500000    -0.000175     0.035156
   54.500000     0.003587     0.037513
   55.500000     0.002907     0.037939
   56.500000    -0.017019     0.040152
   57.500000     0.006708     0.039561
   58.500000     0.006376     0.045765
   59.500000    -0.003791     0.046157
   60.500000     0.028943     0.042302
   61.500000     0.089009     0.049796
   62.500000     0.198982     0.054541
   63.500000     0.362792     0.061030
   64.500000     0.612480     0.070273
   65.500000     0.948681     0.072184
   66.500000     1.310451     0.080820
   67.500000     1.729142     0.074446
   68.500000     2.225387     0.092145
   69.500000     2.856122     0.112587
   70.500000     3.748791     0.159307
   71.500000     4.967505     0.199784
   72.500000     6.592390     0.255314
   73.500000     6.893061     0.270124
   74.500000     9.508533     0.291243
   75.500000    12.672309     0.412369
   76.500000    16.049911     0.520493
   77.500000    18.711549     0.243002
   78.500000    19.064166     0.212667
