z_center	theta_center	count	angle_type
-62.912878	1.852171	0	theta2
-62.912878	5.446728	0	theta2
-62.912878	9.041285	0	theta2
-62.912878	12.635842	0	theta2
-62.912878	16.230399	0	theta2
-62.912878	19.824956	0	theta2
-62.912878	23.419513	0	theta2
-62.912878	27.014070	0	theta2
-62.912878	30.608627	0	theta2
-62.912878	34.203184	0	theta2
-62.912878	37.797742	1	theta2
-62.912878	41.392299	1	theta2
-62.912878	44.986856	0	theta2
-62.912878	48.581413	0	theta2
-62.912878	52.175970	0	theta2
-62.912878	55.770527	1	theta2
-62.912878	59.365084	2	theta2
-62.912878	62.959641	2	theta2
-62.912878	66.554198	1	theta2
-62.912878	70.148755	5	theta2
-62.912878	73.743312	1	theta2
-62.912878	77.337869	3	theta2
-62.912878	80.932426	1	theta2
-62.912878	84.526983	1	theta2
-62.912878	88.121540	3	theta2
-62.912878	91.716097	2	theta2
-62.912878	95.310654	2	theta2
-62.912878	98.905211	3	theta2
-62.912878	102.499768	2	theta2
-62.912878	106.094325	7	theta2
-62.912878	109.688882	4	theta2
-62.912878	113.283439	5	theta2
-62.912878	116.877996	2	theta2
-62.912878	120.472553	1	theta2
-62.912878	124.067110	1	theta2
-62.912878	127.661667	2	theta2
-62.912878	131.256224	2	theta2
-62.912878	134.850781	1	theta2
-62.912878	138.445338	2	theta2
-62.912878	142.039895	1	theta2
-62.912878	145.634452	0	theta2
-62.912878	149.229009	1	theta2
-62.912878	152.823566	1	theta2
-62.912878	156.418123	0	theta2
-62.912878	160.012680	0	theta2
-62.912878	163.607237	1	theta2
-62.912878	167.201794	0	theta2
-62.912878	170.796351	0	theta2
-62.912878	174.390908	0	theta2
-62.912878	177.985465	0	theta2
-60.237096	1.852171	0	theta2
-60.237096	5.446728	3	theta2
-60.237096	9.041285	0	theta2
-60.237096	12.635842	4	theta2
-60.237096	16.230399	3	theta2
-60.237096	19.824956	1	theta2
-60.237096	23.419513	7	theta2
-60.237096	27.014070	0	theta2
-60.237096	30.608627	7	theta2
-60.237096	34.203184	7	theta2
-60.237096	37.797742	9	theta2
-60.237096	41.392299	7	theta2
-60.237096	44.986856	8	theta2
-60.237096	48.581413	9	theta2
-60.237096	52.175970	8	theta2
-60.237096	55.770527	7	theta2
-60.237096	59.365084	17	theta2
-60.237096	62.959641	19	theta2
-60.237096	66.554198	13	theta2
-60.237096	70.148755	12	theta2
-60.237096	73.743312	10	theta2
-60.237096	77.337869	12	theta2
-60.237096	80.932426	15	theta2
-60.237096	84.526983	10	theta2
-60.237096	88.121540	19	theta2
-60.237096	91.716097	18	theta2
-60.237096	95.310654	11	theta2
-60.237096	98.905211	18	theta2
-60.237096	102.499768	14	theta2
-60.237096	106.094325	13	theta2
-60.237096	109.688882	15	theta2
-60.237096	113.283439	11	theta2
-60.237096	116.877996	13	theta2
-60.237096	120.472553	15	theta2
-60.237096	124.067110	12	theta2
-60.237096	127.661667	7	theta2
-60.237096	131.256224	14	theta2
-60.237096	134.850781	10	theta2
-60.237096	138.445338	9	theta2
-60.237096	142.039895	11	theta2
-60.237096	145.634452	8	theta2
-60.237096	149.229009	5	theta2
-60.237096	152.823566	5	theta2
-60.237096	156.418123	8	theta2
-60.237096	160.012680	2	theta2
-60.237096	163.607237	2	theta2
-60.237096	167.201794	3	theta2
