z_center	theta_center	count	angle_type
-68.2173851267	1.9051927098	0.0000000000	theta1
-68.2173851267	5.5020271028	0.0000000000	theta1
-68.2173851267	9.0988614959	0.0000000000	theta1
-68.2173851267	12.6956958889	0.0000000000	theta1
-68.2173851267	16.2925302819	0.0000000000	theta1
-68.2173851267	19.8893646749	0.0000000000	theta1
-68.2173851267	23.4861990679	0.0000004274	theta1
-68.2173851267	27.0830334609	0.0000000000	theta1
-68.2173851267	30.6798678540	0.0000002137	theta1
-68.2173851267	34.2767022470	0.0000000000	theta1
-68.2173851267	37.8735366400	0.0000000000	theta1
-68.2173851267	41.4703710330	0.0000000000	theta1
-68.2173851267	45.0672054260	0.0000004274	theta1
-68.2173851267	48.6640398190	0.0000000000	theta1
-68.2173851267	52.2608742121	0.0000000000	theta1
-68.2173851267	55.8577086051	0.0000006410	theta1
-68.2173851267	59.4545429981	0.0000000000	theta1
-68.2173851267	63.0513773911	0.0000002137	theta1
-68.2173851267	66.6482117841	0.0000000000	theta1
-68.2173851267	70.2450461771	0.0000000000	theta1
-68.2173851267	73.8418805702	0.0000000000	theta1
-68.2173851267	77.4387149632	0.0000002137	theta1
-68.2173851267	81.0355493562	0.0000002137	theta1
-68.2173851267	84.6323837492	0.0000004274	theta1
-68.2173851267	88.2292181422	0.0000000000	theta1
-68.2173851267	91.8260525352	0.0000000000	theta1
-68.2173851267	95.4228869283	0.0000000000	theta1
-68.2173851267	99.0197213213	0.0000000000	theta1
-68.2173851267	102.6165557143	0.0000002137	theta1
-68.2173851267	106.2133901073	0.0000002137	theta1
-68.2173851267	109.8102245003	0.0000002137	theta1
-68.2173851267	113.4070588933	0.0000002137	theta1
-68.2173851267	117.0038932864	0.0000000000	theta1
-68.2173851267	120.6007276794	0.0000000000	theta1
-68.2173851267	124.1975620724	0.0000000000	theta1
-68.2173851267	127.7943964654	0.0000004274	theta1
-68.2173851267	131.3912308584	0.0000002137	theta1
-68.2173851267	134.9880652514	0.0000000000	theta1
-68.2173851267	138.5848996445	0.0000000000	theta1
-68.2173851267	142.1817340375	0.0000000000	theta1
-68.2173851267	145.7785684305	0.0000004274	theta1
-68.2173851267	149.3754028235	0.0000004274	theta1
-68.2173851267	152.9722372165	0.0000004274	theta1
-68.2173851267	156.5690716095	0.0000002137	theta1
-68.2173851267	160.1659060026	0.0000002137	theta1
-68.2173851267	163.7627403956	0.0000002137	theta1
-68.2173851267	167.3595747886	0.0000000000	theta1
-68.2173851267	170.9564091816	0.0000000000	theta1
-68.2173851267	174.5532435746	0.0000000000	theta1
-68.2173851267	178.1500779676	0.0000000000	theta1
-65.3584233800	1.9051927098	0.0000000000	theta1
-65.3584233800	5.5020271028	0.0000004274	theta1
