name	thickness	std_error
glyd	38.9413	0.0022
popc	39.1164	0.0021
sca	39.4825	0.0022
scc	39.1637	0.0021
sccm	39.3629	0.0021
scd	39.3582	0.0021
scdn	38.5165	0.0022
sce	39.3789	0.0022
scen	38.0480	0.0021
scf	39.9111	0.0021
schd	39.0236	0.0022
sche	39.0460	0.0021
schp	39.2096	0.0021
sci	40.2119	0.0021
sck	38.7593	0.0022
sckn	37.8087	0.0022
scl	40.2027	0.0021
scm	39.7716	0.0021
scn	39.1315	0.0022
scp	38.0276	0.0021
scq	38.7666	0.0022
scr	37.9209	0.0022
scrn	37.3982	0.0021
scs	39.0703	0.0022
sct	38.8661	0.0021
scv	39.9499	0.0021
scw	38.4811	0.0020
scy	38.7282	0.0020
scym	39.1115	0.0021
