r,g_r,g_r_std,g_r_sem
0.05,0.0,0.0,0.0
0.15000000000000002,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.6500000000000001,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8500000000000001,0.0,0.0,0.0
0.95,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.1500000000000001,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.35,0.0,0.0,0.0
1.4500000000000002,0.0,0.0,0.0
1.55,0.0,0.0,0.0
1.6500000000000001,0.0,0.0,0.0
1.75,0.0,0.0,0.0
1.85,0.0,0.0,0.0
1.9500000000000002,0.0,0.0,0.0
2.05,0.0,0.0,0.0
2.1500000000000004,0.0,0.0,0.0
2.25,0.0,0.0,0.0
2.3500000000000005,0.0,0.0,0.0
2.45,0.0,0.0,0.0
2.55,0.0,0.0,0.0
2.6500000000000004,0.0,0.0,0.0
2.75,0.0,0.0,0.0
2.8500000000000005,0.0,0.0,0.0
2.95,0.0,0.0,0.0
3.05,0.0,0.0,0.0
3.1500000000000004,0.0,0.0,0.0
3.25,0.6324435443294163,4.42710481030591,0.442710481030591
3.3500000000000005,0.2976246351962334,2.9613277299369347,0.29613277299369345
3.45,0.2806210853593556,2.7921445451978255,0.27921445451978255
3.55,1.3251705885696212,5.776284678527289,0.5776284678527289
3.6500000000000004,1.253553187648613,5.464111665313576,0.5464111665313576
3.75,2.3751768664815858,7.877570476851488,0.7877570476851488
3.8500000000000005,2.478732815205736,7.737380127249701,0.7737380127249701
3.95,2.140741848094683,7.100037483142062,0.7100037483142062
4.050000000000001,2.850863865804371,7.0658056420442295,0.706580564204423
4.15,2.909065874718882,8.834283809660558,0.8834283809660558
4.25,1.8491861417244182,5.547558425173258,0.5547558425173258
4.35,1.5886289980926187,5.634651602667374,0.5634651602667373
4.45,3.0360643571677888,6.480099090595687,0.6480099090595687
4.550000000000001,1.1293634720168144,4.116481719504557,0.41164817195045567
4.65,1.699203013221738,5.304072930334537,0.5304072930334537
4.75,0.4441120179709337,3.2802883154542526,0.3280288315454253
4.8500000000000005,1.7039476935647464,5.032338342921732,0.5032338342921732
4.95,1.36316395000091,4.089491850002731,0.4089491850002731
5.050000000000001,1.0477694244845734,3.553158991541816,0.3553158991541816
5.15,0.6296714993853764,2.744674433448586,0.2744674433448586
5.25,0.363547479563508,2.067218475795191,0.20672184757951909
5.3500000000000005,0.35008393415911215,2.5857805962944003,0.25857805962944
5.45,1.0120640422997247,3.2181585476473527,0.3218158547647353
5.550000000000001,0.5421787953071551,2.363302578074516,0.2363302578074516
5.65,0.3138938806631432,1.7848761606736625,0.17848761606736624
5.75,0.6061415443762082,2.399177350362858,0.23991773503628583
5.8500000000000005,0.3903972495860595,1.9125481169436365,0.19125481169436365
5.95,0.3773849268825342,1.8488010149594962,0.18488010149594963
6.050000000000001,0.5475187435540845,2.52228652742179,0.252228652742179
6.15,0.7064773546941063,2.7017563631224935,0.27017563631224933
6.25,0.1710127343866742,1.1970891407067212,0.11970891407067212
6.3500000000000005,0.4141722944373154,1.8053351766666295,0.18053351766666295
6.45,0.16057171893466643,1.5976684309460816,0.15976684309460815
6.550000000000001,0.15570619280879808,1.0899433496615878,0.10899433496615878
6.65,0.5287047832987305,1.9271064005436869,0.1927106400543687
6.75,0.3665396398891337,1.5977092490785216,0.15977092490785216
6.8500000000000005,0.28473269484701197,1.3948996309255355,0.13948996309255354
6.95,0.4148968440751179,1.6422090191267913,0.16422090191267913
7.050000000000001,0.5376135958536862,2.0559766620230513,0.20559766620230513
7.15,0.4573455382547433,1.6670049938489508,0.1667004993848951
7.25,0.25418063969481897,1.5356381775150882,0.15356381775150882
7.3500000000000005,0.3709668158811306,1.46832895823725,0.146832895823725
7.45,0.782328761593919,2.5037702719173414,0.25037702719173416
7.550000000000001,0.2343821740091912,1.1482334622534718,0.11482334622534718
7.65,0.3995155244466335,1.4562170583629057,0.14562170583629058
7.75,0.5004925238944029,1.5914647951965957,0.15914647951965957
7.8500000000000005,0.4336198587840129,1.470476484754676,0.1470476484754676
7.95,0.6341696866718367,1.8729192464123487,0.18729192464123487
8.05,0.5154264833131021,1.5462794499393044,0.15462794499393046
8.15,0.45257002094783494,1.439080947894092,0.1439080947894092
8.25,0.29444341320019657,1.1654406045380639,0.11654406045380639
8.350000000000001,0.8622993213498529,1.9612029884445012,0.19612029884445012
8.45,0.748453898614694,1.7149233222933205,0.17149233222933205
8.55,0.5025959051111389,1.4296100962808358,0.14296100962808359
8.65,0.40176193279304445,1.558576515515828,0.1558576515515828
8.75,0.6107597656666934,1.634654363181759,0.1634654363181759
8.850000000000001,0.5970352652029264,1.4797392453462377,0.14797392453462377
8.95,0.5003727676648889,1.477771338864287,0.1477771338864287
9.05,0.3670319247447583,1.1670871372851308,0.11670871372851307
9.15,0.6782116153283217,1.6012681751981874,0.16012681751981875
9.25,0.4294056058832669,1.340392308968983,0.13403923089689831
9.350000000000001,0.4584759029068804,1.2415586142718822,0.12415586142718822
9.45,0.4488240488438372,1.2154212699105136,0.12154212699105135
9.55,0.3662281701148246,1.0986845103444736,0.10986845103444735
9.650000000000002,0.4304127318518805,1.271155506686103,0.1271155506686103
9.75,0.31622177216470826,1.0055211493648444,0.10055211493648444
9.850000000000001,0.27540766057273147,0.9339528169424117,0.09339528169424118
9.95,0.33737455806567823,1.0121236741970352,0.10121236741970352
10.05,0.3637634430176186,1.0347077751874443,0.10347077751874442
10.150000000000002,0.5187359993771813,1.1885734914222492,0.11885734914222493
10.25,0.2543318476898783,0.972632290724099,0.09726322907240989
10.350000000000001,0.18708072357290367,0.7404868365317454,0.07404868365317455
10.45,0.367034725595813,1.1670960434238598,0.11670960434238598
10.55,0.15004570735112557,0.654034075255634,0.0654034075255634
10.650000000000002,0.235585882412377,0.798910596943244,0.07989105969432439
10.75,0.2312232752659197,0.7841162763162385,0.07841162763162385
10.850000000000001,0.2837259205750582,0.8511777617251751,0.0851177761725175
10.95,0.5849914875693529,1.2010745003643886,0.12010745003643886
11.05,0.35561271956238805,0.9979825827791953,0.09979825827791952
11.150000000000002,0.29552990933569556,0.8406207409227602,0.08406207409227602
11.25,0.21112683257614098,0.7159659234117142,0.07159659234117141
11.350000000000001,0.33706225302541465,0.9459230205421907,0.09459230205421906
11.45,0.22929259332512783,0.7291039778913088,0.07291039778913087
11.55,0.2503770520409835,0.8304067377352294,0.08304067377352295
11.650000000000002,0.1968777450158804,0.6676449165156491,0.06676449165156491
11.75,0.4354670126414859,0.9294497944157252,0.09294497944157251
11.850000000000001,0.23786020534385366,0.7888930536824502,0.07888930536824502
11.95,0.2338959379905625,0.775745066302929,0.0775745066302929
12.05,0.2530329515909645,0.7898439554150837,0.07898439554150836
12.150000000000002,0.38464036284662156,0.9081418807975083,0.09081418807975083
12.25,0.2225800895286784,0.7382146427703394,0.07382146427703394
12.350000000000001,0.48177832324263,1.098448988713668,0.1098448988713668
12.45,0.366326813853489,0.9170204324804111,0.09170204324804111
12.55,0.25447919634213273,0.6891329214214602,0.06891329214214602
12.650000000000002,0.37570756882822803,0.8019007467169986,0.08019007467169986
12.75,0.2465581522299224,0.6676826325639892,0.06676826325639892
12.850000000000001,0.38433137156538233,0.8907198675212252,0.08907198675212252
12.95,0.3585018973051394,0.8626514772274537,0.08626514772274538
13.05,0.35302866624280405,0.8494814190028761,0.08494814190028761
13.150000000000002,0.3669953701878289,0.7577506096086528,0.07577506096086528
13.25,0.17122581540139592,0.5444633920199095,0.05444633920199095
13.350000000000001,0.35608162213696287,0.7352165399433419,0.07352165399433419
13.45,0.22156194426211231,0.654347942518077,0.0654347942518077
13.55,0.23649570180344218,0.6636955831962881,0.0663695583196288
13.650000000000002,0.26889606476590827,0.6884766214984192,0.06884766214984192
13.75,0.2826656766721887,0.737779076001564,0.0737779076001564
13.850000000000001,0.3134234223452157,0.6689630373992674,0.06689630373992675
13.95,0.20596400160263492,0.6082819011645618,0.06082819011645618
14.05,0.15228192255117118,0.5401233264597612,0.05401233264597612
14.150000000000002,0.3169561707665465,0.6956573874769029,0.06956573874769029
14.25,0.2302803056145582,0.5707448546316064,0.05707448546316064
14.350000000000001,0.22708200686596272,0.6077685764358123,0.06077685764358123
14.45,0.31992839822221764,0.7153816463575022,0.07153816463575022
14.55,0.2524366953429255,0.5784051322967317,0.05784051322967317
14.650000000000002,0.3268154170149183,0.6710006419641049,0.06710006419641049
14.75,0.30704670781864796,0.6513444277187111,0.06513444277187111
14.850000000000001,0.22719399166681833,0.619887656480919,0.0619887656480919
14.95,0.34371931757033497,0.7276824180855896,0.07276824180855897
15.05,0.33916679407628514,0.6546795910300377,0.06546795910300376
