cutoff,frame,n_contacts,n_pairs,fraction,system
2.75,25,0,325,0.0,sca
2.75,26,0,325,0.0,sca
2.75,27,0,325,0.0,sca
2.75,28,0,325,0.0,sca
2.75,29,0,325,0.0,sca
2.75,30,0,325,0.0,sca
2.75,31,0,325,0.0,sca
2.75,32,0,325,0.0,sca
2.75,33,0,325,0.0,sca
2.75,34,0,325,0.0,sca
2.75,35,0,325,0.0,sca
2.75,36,0,325,0.0,sca
2.75,37,0,325,0.0,sca
2.75,38,0,325,0.0,sca
2.75,39,0,325,0.0,sca
2.75,40,0,325,0.0,sca
2.75,41,0,325,0.0,sca
2.75,42,0,325,0.0,sca
2.75,43,0,325,0.0,sca
2.75,44,0,325,0.0,sca
2.75,45,0,325,0.0,sca
2.75,46,0,325,0.0,sca
2.75,47,0,325,0.0,sca
2.75,48,0,325,0.0,sca
2.75,49,0,325,0.0,sca
2.75,50,0,325,0.0,sca
2.75,51,0,325,0.0,sca
2.75,52,0,325,0.0,sca
2.75,53,0,325,0.0,sca
2.75,54,0,325,0.0,sca
2.75,55,0,325,0.0,sca
2.75,56,0,325,0.0,sca
2.75,57,0,325,0.0,sca
2.75,58,0,325,0.0,sca
2.75,59,0,325,0.0,sca
2.75,60,0,325,0.0,sca
2.75,61,0,325,0.0,sca
2.75,62,0,325,0.0,sca
2.75,63,0,325,0.0,sca
2.75,64,0,325,0.0,sca
2.75,65,0,325,0.0,sca
2.75,66,0,325,0.0,sca
2.75,67,0,325,0.0,sca
2.75,68,0,325,0.0,sca
2.75,69,0,325,0.0,sca
2.75,70,0,325,0.0,sca
2.75,71,0,325,0.0,sca
2.75,72,0,325,0.0,sca
2.75,73,0,325,0.0,sca
2.75,74,0,325,0.0,sca
2.75,75,0,325,0.0,sca
2.75,76,0,325,0.0,sca
2.75,77,0,325,0.0,sca
2.75,78,0,325,0.0,sca
2.75,79,0,325,0.0,sca
2.75,80,0,325,0.0,sca
2.75,81,0,325,0.0,sca
2.75,82,0,325,0.0,sca
2.75,83,0,325,0.0,sca
2.75,84,0,325,0.0,sca
2.75,85,0,325,0.0,sca
2.75,86,0,325,0.0,sca
2.75,87,0,325,0.0,sca
2.75,88,0,325,0.0,sca
2.75,89,0,325,0.0,sca
2.75,90,0,325,0.0,sca
2.75,91,0,325,0.0,sca
2.75,92,0,325,0.0,sca
2.75,93,0,325,0.0,sca
2.75,94,0,325,0.0,sca
2.75,95,0,325,0.0,sca
2.75,96,0,325,0.0,sca
2.75,97,0,325,0.0,sca
2.75,98,0,325,0.0,sca
2.75,99,0,325,0.0,sca
3.0,0,0,325,0.0,sca
3.0,1,0,325,0.0,sca
3.0,2,0,325,0.0,sca
3.0,3,0,325,0.0,sca
3.0,4,0,325,0.0,sca
3.0,5,0,325,0.0,sca
3.0,6,0,325,0.0,sca
3.0,7,0,325,0.0,sca
3.0,8,0,325,0.0,sca
3.0,9,0,325,0.0,sca
3.0,10,0,325,0.0,sca
3.0,11,0,325,0.0,sca
3.0,12,0,325,0.0,sca
3.0,13,0,325,0.0,sca
3.0,14,0,325,0.0,sca
3.0,15,0,325,0.0,sca
3.0,16,0,325,0.0,sca
3.0,17,0,325,0.0,sca
3.0,18,0,325,0.0,sca
3.0,19,0,325,0.0,sca
3.0,20,0,325,0.0,sca
3.0,21,0,325,0.0,sca
3.0,22,0,325,0.0,sca
3.0,23,0,325,0.0,sca
3.0,24,0,325,0.0,sca
3.0,25,0,325,0.0,sca
3.0,26,0,325,0.0,sca
3.0,27,0,325,0.0,sca
3.0,28,0,325,0.0,sca
3.0,29,0,325,0.0,sca
3.0,30,0,325,0.0,sca
3.0,31,0,325,0.0,sca
3.0,32,0,325,0.0,sca
3.0,33,0,325,0.0,sca
3.0,34,0,325,0.0,sca
3.0,35,0,325,0.0,sca
3.0,36,0,325,0.0,sca
3.0,37,0,325,0.0,sca
3.0,38,0,325,0.0,sca
3.0,39,0,325,0.0,sca
3.0,40,0,325,0.0,sca
3.0,41,0,325,0.0,sca
3.0,42,0,325,0.0,sca
3.0,43,0,325,0.0,sca
3.0,44,0,325,0.0,sca
3.0,45,0,325,0.0,sca
3.0,46,0,325,0.0,sca
3.0,47,0,325,0.0,sca
3.0,48,0,325,0.0,sca
3.0,49,0,325,0.0,sca
3.0,50,0,325,0.0,sca
3.0,51,0,325,0.0,sca
3.0,52,0,325,0.0,sca
3.0,53,0,325,0.0,sca
3.0,54,0,325,0.0,sca
3.0,55,0,325,0.0,sca
3.0,56,0,325,0.0,sca
3.0,57,0,325,0.0,sca
3.0,58,0,325,0.0,sca
3.0,59,0,325,0.0,sca
3.0,60,0,325,0.0,sca
3.0,61,0,325,0.0,sca
3.0,62,0,325,0.0,sca
3.0,63,0,325,0.0,sca
3.0,64,0,325,0.0,sca
3.0,65,0,325,0.0,sca
3.0,66,0,325,0.0,sca
3.0,67,0,325,0.0,sca
3.0,68,0,325,0.0,sca
3.0,69,0,325,0.0,sca
3.0,70,0,325,0.0,sca
3.0,71,0,325,0.0,sca
3.0,72,0,325,0.0,sca
3.0,73,0,325,0.0,sca
3.0,74,0,325,0.0,sca
3.0,75,0,325,0.0,sca
3.0,76,0,325,0.0,sca
3.0,77,0,325,0.0,sca
3.0,78,0,325,0.0,sca
3.0,79,0,325,0.0,sca
3.0,80,0,325,0.0,sca
3.0,81,0,325,0.0,sca
3.0,82,0,325,0.0,sca
3.0,83,0,325,0.0,sca
3.0,84,0,325,0.0,sca
3.0,85,0,325,0.0,sca
3.0,86,0,325,0.0,sca
3.0,87,0,325,0.0,sca
3.0,88,0,325,0.0,sca
3.0,89,0,325,0.0,sca
3.0,90,0,325,0.0,sca
3.0,91,0,325,0.0,sca
3.0,92,0,325,0.0,sca
3.0,93,0,325,0.0,sca
3.0,94,0,325,0.0,sca
3.0,95,0,325,0.0,sca
3.0,96,0,325,0.0,sca
3.0,97,0,325,0.0,sca
3.0,98,0,325,0.0,sca
3.0,99,0,325,0.0,sca
3.25,0,0,325,0.0,sca
3.25,1,0,325,0.0,sca
3.25,2,0,325,0.0,sca
3.25,3,0,325,0.0,sca
3.25,4,0,325,0.0,sca
3.25,5,0,325,0.0,sca
3.25,6,0,325,0.0,sca
3.25,7,0,325,0.0,sca
3.25,8,0,325,0.0,sca
3.25,9,0,325,0.0,sca
3.25,10,0,325,0.0,sca
3.25,11,0,325,0.0,sca
3.25,12,0,325,0.0,sca
3.25,13,0,325,0.0,sca
3.25,14,0,325,0.0,sca
3.25,15,0,325,0.0,sca
3.25,16,0,325,0.0,sca
3.25,17,0,325,0.0,sca
3.25,18,0,325,0.0,sca
3.25,19,0,325,0.0,sca
3.25,20,0,325,0.0,sca
3.25,21,0,325,0.0,sca
3.25,22,0,325,0.0,sca
3.25,23,0,325,0.0,sca
3.25,24,0,325,0.0,sca
3.25,25,0,325,0.0,sca
3.25,26,0,325,0.0,sca
3.25,27,0,325,0.0,sca
3.25,28,0,325,0.0,sca
3.25,29,0,325,0.0,sca
3.25,30,0,325,0.0,sca
3.25,31,0,325,0.0,sca
3.25,32,0,325,0.0,sca
3.25,33,0,325,0.0,sca
3.25,34,0,325,0.0,sca
3.25,35,0,325,0.0,sca
3.25,36,0,325,0.0,sca
3.25,37,0,325,0.0,sca
3.25,38,0,325,0.0,sca
3.25,39,0,325,0.0,sca
3.25,40,0,325,0.0,sca
3.25,41,0,325,0.0,sca
3.25,42,0,325,0.0,sca
3.25,43,0,325,0.0,sca
3.25,44,0,325,0.0,sca
3.25,45,0,325,0.0,sca
3.25,46,0,325,0.0,sca
3.25,47,0,325,0.0,sca
3.25,48,0,325,0.0,sca
3.25,49,0,325,0.0,sca
3.25,50,0,325,0.0,sca
3.25,51,0,325,0.0,sca
3.25,52,0,325,0.0,sca
3.25,53,0,325,0.0,sca
3.25,54,0,325,0.0,sca
3.25,55,0,325,0.0,sca
3.25,56,0,325,0.0,sca
3.25,57,0,325,0.0,sca
3.25,58,0,325,0.0,sca
3.25,59,0,325,0.0,sca
3.25,60,0,325,0.0,sca
3.25,61,0,325,0.0,sca
3.25,62,0,325,0.0,sca
3.25,63,0,325,0.0,sca
3.25,64,0,325,0.0,sca
3.25,65,0,325,0.0,sca
3.25,66,0,325,0.0,sca
3.25,67,0,325,0.0,sca
3.25,68,0,325,0.0,sca
3.25,69,0,325,0.0,sca
3.25,70,0,325,0.0,sca
3.25,71,0,325,0.0,sca
3.25,72,0,325,0.0,sca
3.25,73,0,325,0.0,sca
3.25,74,0,325,0.0,sca
3.25,75,0,325,0.0,sca
3.25,76,0,325,0.0,sca
3.25,77,0,325,0.0,sca
3.25,78,0,325,0.0,sca
3.25,79,0,325,0.0,sca
3.25,80,0,325,0.0,sca
3.25,81,0,325,0.0,sca
3.25,82,0,325,0.0,sca
3.25,83,0,325,0.0,sca
3.25,84,0,325,0.0,sca
