#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.000 2.000 2.000 2 2 2 2 2 1
10 2.000 0.000 2.000 2 0 2 2 0 1
11 2.000 0.000 0.000 2 0 0 1 0 0
12 0.000 0.000 2.000 0 0 2 0 0 2
13 2.000 2.000 2.000 2 2 2 1 3 2
14 2.000 0.000 2.000 2 0 2 2 0 1
15 0.000 2.000 2.000 0 2 2 0 1 2
16 2.000 2.000 2.000 2 2 2 1 1 2
17 2.000 2.000 2.000 2 2 2 2 3 1
18 2.000 0.000 2.000 2 0 2 1 0 1
19 0.000 0.000 2.000 0 0 2 0 0 1
2 2.000 0.000 2.000 2 0 2 1 0 1
20 2.000 0.000 2.000 2 0 2 2 0 2
21 2.000 2.000 2.000 2 2 2 2 1 1
22 0.000 2.000 2.000 0 2 2 0 2 2
23 2.000 2.000 0.000 2 2 0 4 1 0
24 2.000 2.000 2.000 2 2 2 3 2 1
25 2.000 2.000 0.000 2 2 0 4 2 0
26 0.000 0.000 2.000 0 0 2 0 0 1
3 2.000 2.000 2.000 2 2 2 4 1 1
4 2.000 2.000 0.000 2 2 0 2 1 0
5 2.000 2.000 2.000 2 2 2 1 1 3
6 2.000 0.000 2.000 2 0 2 3 0 3
7 2.000 2.000 2.000 2 2 2 1 3 3
8 0.000 2.000 2.000 0 2 2 0 3 1
9 2.000 2.000 2.000 2 2 2 3 1 3
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 1366 1339 1474 601
