#frame	x-1	y-1	z-1	apl-1	x-2	y-2	z-2	apl-2	x-3	y-3	z-3	apl-3
1	44.781490	44.781490	139.770838	62.668183	44.906405	44.906405	139.198376	63.018287	45.167465	45.167465	137.189181	63.753122
2	44.072658	44.072658	144.358562	60.699974	45.435495	45.435495	135.397894	64.512006	45.065821	45.065821	138.753384	63.466508
3	45.285383	45.285383	136.862848	64.086436	44.843676	44.843676	139.751763	62.842352	45.846814	45.846814	133.798112	65.685323
4	44.954141	44.954141	138.969988	63.152337	45.002561	45.002561	138.945540	63.288452	45.782595	45.782595	133.907186	65.501438
5	44.517869	44.517869	141.217066	61.932519	44.848043	44.848043	139.703797	62.854591	46.103884	46.103884	132.330878	66.424004
6	46.084324	46.084324	131.910249	66.367654	45.638124	45.638124	135.383222	65.088698	46.189603	46.189603	131.424179	66.671233
7	45.701530	45.701530	134.981871	65.269683	45.601270	45.601270	135.240835	64.983620	45.435775	45.435775	135.873715	64.512801
8	46.567674	46.567674	129.380774	67.767133	45.822225	45.822225	133.399162	65.614884	45.225916	45.225916	137.595178	63.918233
9	46.637898	46.637898	129.044241	67.971672	45.465259	45.465259	135.167455	64.596556	45.372675	45.372675	136.807808	64.333739
10	46.114405	46.114405	132.218307	66.454322	46.052368	46.052368	132.038532	66.275644	45.717227	45.717227	133.627418	65.314527
11	46.017595	46.017595	133.238297	66.175596	46.101115	46.101115	131.864433	66.416024	45.589368	45.589368	135.405570	64.949702
12	46.124022	46.124022	131.916588	66.482045	45.589454	45.589454	134.635126	64.949946	44.928718	44.928718	139.596707	63.080928
13	47.248109	47.248109	125.711403	69.761993	45.541854	45.541854	135.156774	64.814389	45.351056	45.351056	136.598652	64.272447
14	46.209216	46.209216	131.358461	66.727863	46.333056	46.333056	130.591714	67.086002	45.112229	45.112229	137.720538	63.597287
15	46.429747	46.429747	130.567452	67.366293	46.683075	46.683075	128.366583	68.103422	45.329593	45.329593	137.106448	64.211625
16	45.646734	45.646734	134.489258	65.113259	46.086603	46.086603	132.020603	66.374218	45.905359	45.905359	133.190119	65.853186
17	46.146095	46.146095	132.006943	66.545690	46.148785	46.148785	132.192559	66.553449	45.215636	45.215636	137.442922	63.889180
18	46.225390	46.225390	131.723148	66.774583	47.023292	47.023292	127.017140	69.099688	45.590372	45.590372	134.817346	64.952564
19	45.391694	45.391694	136.459032	64.387684	46.850804	46.850804	128.081877	68.593683	45.490216	45.490216	135.772396	64.667491
20	46.273418	46.273418	131.393780	66.913412	46.559434	46.559434	129.872837	67.743153	46.245695	46.245695	130.831658	66.833259
21	46.695140	46.695140	129.055218	68.138627	45.896731	45.896731	133.020621	65.828434	46.452777	46.452777	129.772908	67.433141
22	45.837420	45.837420	133.507837	65.658408	46.268305	46.268305	130.760960	66.898626	46.294789	46.294789	130.228926	66.975233
23	46.875431	46.875431	127.519687	68.665814	47.232720	47.232720	126.070115	69.716558	46.847415	46.847415	127.984264	68.583761
