#section	x1	y1	z1	apl1	x2	y2	z2	apl2	x3	y3	z3	apl3
1	45.783491	45.783491	134.325460	65.504001	45.839089	45.839089	133.766778	65.663189	45.899853	45.899853	133.697796	65.837392
2	45.815942	45.815942	133.435001	65.596893	45.057766	45.057766	138.203582	63.443821	46.569420	46.569420	129.476718	67.772215
3	45.960122	45.960122	133.214489	66.010401	45.649507	45.649507	135.416365	65.121171	46.237118	46.237118	130.754735	66.808471
4	45.493486	45.493486	135.362028	64.676789	45.520035	45.520035	135.578654	64.752301	44.797240	44.797240	139.967867	62.712273
5	45.240107	45.240107	137.933114	63.958353	45.939793	45.939793	133.597857	65.952019	45.448403	45.448403	135.845000	64.548667
6	45.132432	45.132432	138.697297	63.654262	45.705051	45.705051	134.534597	65.279740	44.693277	44.693277	140.117423	62.421532
7	44.294882	44.294882	142.972407	61.313644	45.397992	45.397992	135.684018	64.405552	44.989927	44.989927	139.171062	63.252922
8	44.634224	44.634224	141.031532	62.256687	45.832662	45.832662	134.152717	65.644777	44.596594	44.596594	141.136715	62.151757
9	45.201633	45.201633	137.342128	63.849614	45.926248	45.926248	133.369174	65.913132	45.046386	45.046386	138.079260	63.411776
10	45.012664	45.012664	138.163338	63.316871	46.041264	46.041264	132.196884	66.243686	44.697575	44.697575	140.090272	62.433538
11	44.262120	44.262120	143.195787	61.222977	46.003636	46.003636	133.029139	66.135454	44.428228	44.428228	142.701060	61.683358
12	45.335958	45.335958	136.334457	64.229659	46.252773	46.252773	131.322356	66.853719	44.937410	44.937410	139.191599	63.105339
13	45.756555	45.756555	134.203052	65.426949	45.631408	45.631408	135.029050	65.069545	44.598640	44.598640	141.224763	62.157459
14	45.682400	45.682400	134.922098	65.215053	45.929998	45.929998	133.392213	65.923897	45.054761	45.054761	138.978851	63.435359
15	45.450372	45.450372	135.664414	64.554260	45.758945	45.758945	133.905664	65.433782	44.193892	44.193892	143.899203	61.034379
16	45.662272	45.662272	134.495352	65.157596	44.319529	44.319529	141.937357	61.381894	44.278012	44.278012	142.767254	61.266948
17	44.709925	44.709925	140.222180	62.468044	45.255700	45.255700	136.913368	64.002449	44.856609	44.856609	139.452615	62.878606
18	44.716041	44.716041	139.993011	62.485135	44.115138	44.115138	144.738712	60.817045	45.142623	45.142623	137.728531	63.683012
19	44.468492	44.468492	141.915828	61.795212	45.613483	45.613483	135.466179	65.018433	44.809926	44.809926	139.828052	62.747797
20	44.594964	44.594964	141.413300	62.147213	45.306002	45.306002	136.620374	64.144808	45.108576	45.108576	137.692997	63.586989
21	44.361805	44.361805	143.199484	61.499054	46.301601	46.301601	131.323819	66.994947	45.272867	45.272867	137.380698	64.051015
22	44.845396	44.845396	139.225888	62.847173	44.533975	44.533975	141.742998	61.977342	45.118419	45.118419	138.039431	63.614741
23	45.139428	45.139428	137.912011	63.673998	45.078223	45.078223	138.142779	63.501444	45.427098	45.427098	136.753478	64.488164
24	44.903383	44.903383	139.719420	63.009805	45.370175	45.370175	137.172211	64.326649	45.959214	45.959214	133.061560	66.007793
25	45.267205	45.267205	137.003240	64.034995	46.267407	46.267407	131.435974	66.896028	45.444646	45.444646	136.208644	64.537995
26	45.734832	45.734832	134.480749	65.364840	45.804017	45.804017	133.290753	65.562750	45.879734	45.879734	133.999364	65.779687
27	45.551558	45.551558	135.018346	64.842013	46.555699	46.555699	129.144890	67.732285	45.588386	45.588386	135.134596	64.946905
28	46.748314	46.748314	128.869248	68.293902	46.374730	46.374730	130.976332	67.206737	46.159411	46.159411	132.231580	66.584100
29	45.984978	45.984978	132.817365	66.081818	46.224389	46.224389	130.883054	66.771692	45.833088	45.833088	133.801503	65.645998
30	45.304946	45.304946	136.619657	64.141817	47.344937	47.344937	125.876051	70.048220	45.796668	45.796668	134.523163	65.541713
31	45.535942	45.535942	135.108486	64.797564	46.684858	46.684858	128.734251	68.108623	46.042315	46.042315	132.455166	66.246711
32	45.313167	45.313167	137.615191	64.165096	45.290531	45.290531	137.710863	64.101006	44.340457	44.340457	142.757311	61.439878
33	45.792236	45.792236	134.318688	65.529028	45.163656	45.163656	138.212548	63.742370	44.954131	44.954131	138.733166	63.152308
34	45.853495	45.853495	133.716044	65.704470	45.348509	45.348509	136.247752	64.265227	44.420022	44.420022	142.673299	61.660573
35	46.399147	46.399147	130.805243	67.277528	45.063807	45.063807	138.227582	63.460834	45.548479	45.548479	134.590657	64.833247
36	46.299748	46.299748	131.323159	66.989585	45.908521	45.908521	133.606372	65.862258	45.652297	45.652297	134.719450	65.129132
37	44.411593	44.411593	141.726391	61.637175	44.979991	44.979991	138.707923	63.224988	45.062741	45.062741	138.196832	63.457832
38	45.241459	45.241459	137.549245	63.962174	45.508575	45.508575	136.333555	64.719699	44.324180	44.324180	142.849527	61.394780
39	44.908420	44.908420	138.718199	63.023943	45.575756	45.575756	135.151058	64.910922	45.155763	45.155763	138.124036	63.720092
40	44.494417	44.494417	142.347118	61.867285	44.478698	44.478698	142.202045	61.823580	45.333805	45.333805	137.074728	64.223558
41	45.569713	45.569713	135.097085	64.893711	45.372105	45.372105	136.174406	64.332122	45.835221	45.835221	133.870733	65.652109
42	45.771430	45.771430	134.444326	65.469493	45.575538	45.575538	135.821453	64.910303	46.044754	46.044754	132.342315	66.253730
43	45.464443	45.464443	136.087734	64.594237	45.599037	45.599037	135.154722	64.977255	46.309025	46.309025	131.371292	67.016431
44	46.347080	46.347080	130.780936	67.126620	45.058754	45.058754	137.990029	63.446602	46.244547	46.244547	131.482350	66.829943
45	45.575832	45.575832	135.005397	64.911140	45.368130	45.368130	135.766473	64.320852	46.511207	46.511207	130.226014	67.602886
46	45.837833	45.837833	133.097234	65.659590	45.310110	45.310110	137.197283	64.156441	47.064481	47.064481	126.965380	69.220792
47	45.831001	45.831001	133.786780	65.640021	45.993810	45.993810	132.476070	66.107206	45.245889	45.245889	137.272811	63.974702
48	46.045035	46.045035	132.570783	66.254538	45.515944	45.515944	135.545704	64.740662	45.041837	45.041837	138.185554	63.398971
49	45.700056	45.700056	134.879002	65.265473	45.570476	45.570476	135.100886	64.895884	44.559857	44.559857	141.631070	62.049403
50	45.079129	45.079129	139.022904	63.503996	46.423128	46.423128	130.666234	67.347087	45.234345	45.234345	137.281756	63.942061
