#section	x1	y1	z1	apl1	x2	y2	z2	apl2	x3	y3	z3	apl3
1	46.116171	46.116171	134.360955	66.459413	45.974130	45.974130	134.645449	66.050645	45.767134	45.767134	135.625974	65.457204
2	45.363430	45.363430	138.948203	64.307524	46.653947	46.653947	130.778942	68.018463	46.528867	46.528867	132.248878	67.654232
3	46.039477	46.039477	134.375082	66.238545	46.662227	46.662227	131.324923	68.042607	45.717832	45.717832	136.157300	65.316256
4	45.379526	45.379526	137.724409	64.353169	46.107649	46.107649	134.377918	66.434854	46.098090	46.098090	134.374406	66.407309
5	46.100537	46.100537	134.697423	66.414359	46.374647	46.374647	132.150888	67.206498	46.124522	46.124522	134.740184	66.483486
6	45.655572	45.655572	136.596206	65.138476	46.425290	46.425290	132.286837	67.353361	46.565231	46.565231	131.885459	67.760023
7	46.818452	46.818452	130.000149	68.498984	47.072817	47.072817	128.924771	69.245316	46.871394	46.871394	130.010303	68.653987
8	45.615643	45.615643	136.724259	65.024591	45.858531	45.858531	135.135927	65.718901	46.603283	46.603283	130.597547	67.870812
9	46.007136	46.007136	134.581224	66.145519	46.031066	46.031066	134.156447	66.214346	46.677559	46.677559	130.232474	68.087328
10	45.952677	45.952677	135.004611	65.989015	46.816722	46.816722	129.921724	68.493921	46.309538	46.309538	133.229808	67.017917
11	46.279914	46.279914	133.835718	66.932200	46.313892	46.313892	132.454938	67.030517	46.550670	46.550670	131.483466	67.717654
12	46.651656	46.651656	130.532368	68.011780	45.122169	45.122169	140.204864	63.625317	45.952961	45.952961	135.468495	65.989831
13	46.314871	46.314871	134.124242	67.033354	44.992065	44.992065	140.641950	63.258936	45.786897	45.786897	136.572194	65.513749
14	45.910969	45.910969	134.954170	65.869283	44.356965	44.356965	144.454997	61.485636	45.032632	45.032632	140.326088	63.373061
15	46.333787	46.333787	132.664019	67.088118	44.900305	44.900305	140.733583	63.001170	44.962977	44.962977	141.533566	63.177165
16	46.278638	46.278638	133.337807	66.928510	45.449758	45.449758	138.224771	64.552517	44.858828	44.858828	141.634907	62.884826
17	45.676215	45.676215	136.529453	65.197394	45.211157	45.211157	139.118311	63.876521	45.300921	45.300921	139.518825	64.130421
18	46.032916	46.032916	134.254444	66.219669	45.184433	45.184433	139.211834	63.801032	45.314770	45.314770	139.062088	64.169638
19	46.224439	46.224439	133.699667	66.771836	45.906380	45.906380	135.218117	65.856117	45.017754	45.017754	140.668592	63.331193
20	46.119213	46.119213	133.906205	66.468182	46.239640	46.239640	133.114983	66.815760	44.312635	44.312635	144.878131	61.362802
21	45.697129	45.697129	136.348533	65.257111	47.316925	47.316925	127.596163	69.965355	44.379273	44.379273	145.426145	61.547497
22	45.584628	45.584628	137.446928	64.936197	46.178839	46.178839	133.713999	66.640162	44.838020	44.838020	141.406268	62.826503
23	46.309595	46.309595	133.152127	67.018082	46.280171	46.280171	132.903382	66.932945	45.216012	45.216012	139.433546	63.890241
24	46.818942	46.818942	129.977469	68.500416	45.670612	45.670612	136.167946	65.181400	45.566792	45.566792	136.890461	64.885391
25	46.931173	46.931173	129.683106	68.829219	44.996392	44.996392	140.632659	63.271102	46.027498	46.027498	134.356676	66.204080
26	46.648433	46.648433	131.065838	68.002384	45.315769	45.315769	139.298604	64.172466	46.235846	46.235846	133.548849	66.804795
27	45.849678	45.849678	136.569294	65.693530	45.041303	45.041303	141.701472	63.397467	45.697610	45.697610	136.337440	65.258487
28	46.692212	46.692212	131.090133	68.130084	45.921524	45.921524	135.585876	65.899574	44.940356	44.940356	140.890518	63.113611
29	46.433647	46.433647	131.839351	67.377613	45.315693	45.315693	138.840883	64.172252	46.357992	46.357992	132.741276	67.158231
30	46.278644	46.278644	132.680921	66.928529	46.234426	46.234426	133.104077	66.800693	46.483456	46.483456	132.466233	67.522240
31	46.532274	46.532274	131.714370	67.664140	47.365768	47.365768	126.442257	70.109873	46.587094	46.587094	131.459834	67.823666
32	46.568983	46.568983	130.421702	67.770942	46.179291	46.179291	133.510057	66.641467	45.712627	45.712627	137.346034	65.301382
33	47.052744	47.052744	128.624152	69.186273	47.857820	47.857820	124.085394	71.574091	45.703754	45.703754	136.742941	65.276036
34	46.489522	46.489522	131.882250	67.539865	46.196436	46.196436	133.603891	66.690960	46.526487	46.526487	130.755444	67.647313
35	45.523162	45.523162	136.565804	64.761196	46.329185	46.329185	133.022439	67.074794	46.770769	46.770769	130.031949	68.359526
36	45.884272	45.884272	135.689537	65.792699	46.453759	46.453759	131.947167	67.435991	47.252827	47.252827	127.480074	69.775926
37	46.691874	46.691874	130.290749	68.129098	46.383837	46.383837	132.534200	67.233135	46.856217	46.856217	129.563909	68.609535
38	46.587350	46.587350	131.282044	67.824413	47.035274	47.035274	128.896473	69.134907	46.530465	46.530465	132.036081	67.658879
39	46.130373	46.130373	133.654903	66.500353	46.521976	46.521976	131.918939	67.634196	46.816871	46.816871	130.145364	68.494355
40	46.803581	46.803581	130.071674	68.455476	46.006569	46.006569	134.545870	66.143887	48.218414	48.218414	122.197350	72.656732
41	47.103137	47.103137	128.743545	69.334548	45.963748	45.963748	135.026385	66.020817	48.011544	48.011544	124.316346	72.034635
42	46.297180	46.297180	133.086231	66.982153	45.390872	45.390872	138.326821	64.385352	46.181120	46.181120	133.785314	66.646745
43	46.501762	46.501762	131.415413	67.575433	46.028734	46.028734	134.215297	66.207637	46.594807	46.594807	130.833544	67.846125
44	45.881825	45.881825	135.305863	65.785682	46.016211	46.016211	134.762590	66.171614	46.024209	46.024209	134.619054	66.194619
45	46.239826	46.239826	133.110314	66.816298	45.682117	45.682117	137.041166	65.214245	46.529711	46.529711	131.746518	67.656687
46	47.293059	47.293059	127.776130	69.894796	46.275819	46.275819	132.898521	66.920356	46.812193	46.812193	130.304201	68.480669
47	45.706891	45.706891	136.733133	65.284995	46.256259	46.256259	133.537557	66.863796	46.893341	46.893341	129.860988	68.718294
48	47.112991	47.112991	128.537674	69.363559	46.442385	46.442385	132.237287	67.402972	46.566006	46.566006	131.323056	67.762279
49	47.297747	47.297747	127.349022	69.908651	46.291950	46.291950	132.830342	66.967020	46.639445	46.639445	130.975736	67.976182
50	46.495945	46.495945	132.568921	67.558528	46.038475	46.038475	135.148912	66.235661	46.077772	46.077772	134.058417	66.348782
51	47.606436	47.606436	126.097050	70.824148	46.751533	46.751533	130.086366	68.303307	45.763261	45.763261	136.270184	65.446126
52	46.897327	46.897327	129.166446	68.729979	46.741235	46.741235	130.556951	68.273219	45.913898	45.913898	135.145519	65.877689
53	46.476216	46.476216	132.505941	67.501209	47.210391	47.210391	127.570591	69.650656	45.271638	45.271638	138.276555	64.047537
54	47.182459	47.182459	127.944340	69.568265	46.039451	46.039451	135.222252	66.238470	45.915540	45.915540	135.455918	65.882400
55	47.180706	47.180706	127.998207	69.563094	46.660756	46.660756	130.529655	68.038318	46.997198	46.997198	129.427507	69.023019
56	46.920640	46.920640	129.354209	68.798325	46.006326	46.006326	135.186790	66.143188	46.755928	46.755928	130.510865	68.316152
57	45.888027	45.888027	135.659669	65.803470	46.602193	46.602193	130.879602	67.867638	46.586916	46.586916	131.126432	67.823148
58	45.920377	45.920377	135.101349	65.896282	46.892317	46.892317	129.668908	68.715293	46.758064	46.758064	130.531593	68.322392
59	46.198977	46.198977	133.217891	66.698297	46.581474	46.581474	132.069180	67.807303	47.247266	47.247266	127.715738	69.759504
60	45.859802	45.859802	135.888985	65.722546	46.297936	46.297936	133.334092	66.984341	47.568729	47.568729	126.138364	70.711999
61	45.627122	45.627122	136.830409	65.057321	45.772503	45.772503	136.299918	65.472564	47.082814	47.082814	128.546555	69.274730
62	45.360959	45.360959	138.618751	64.300518	47.324571	47.324571	127.002833	69.987970	46.340770	46.340770	132.507564	67.108344
63	46.535650	46.535650	131.316260	67.673961	47.175980	47.175980	128.371625	69.549160	47.005904	47.005904	129.368530	69.048593
64	46.426412	46.426412	131.560119	67.356616	46.814806	46.814806	129.465740	68.488315	46.298919	46.298919	132.809526	66.987185
65	47.257477	47.257477	127.973005	69.789660	46.076520	46.076520	134.512142	66.345177	46.553693	46.553693	131.273585	67.726449
66	46.925432	46.925432	130.082084	68.812381	47.280191	47.280191	128.447649	69.856765	46.890373	46.890373	129.661887	68.709595
67	47.409346	47.409346	126.817544	70.238939	47.493617	47.493617	126.550479	70.488865	46.102963	46.102963	134.522467	66.421351
68	46.819281	46.819281	130.031716	68.501409	46.343727	46.343727	132.833342	67.116906	46.220857	46.220857	133.427298	66.761487
69	46.397190	46.397190	133.196992	67.271851	46.944125	46.944125	129.154447	68.867215	46.448238	46.448238	132.329543	67.419963
70	46.418273	46.418273	131.811746	67.333003	47.490642	47.490642	125.486668	70.480033	46.722362	46.722362	130.656058	68.218099
71	47.308428	47.308428	127.380323	69.940231	47.528790	47.528790	125.818820	70.593310	46.636630	46.636630	130.568348	67.967977
72	46.560616	46.560616	132.095082	67.746592	47.767781	47.767781	125.260286	71.305027	46.341076	46.341076	133.625015	67.109230
73	46.539609	46.539609	131.122489	67.685474	46.658959	46.658959	131.248074	68.033076	46.185890	46.185890	134.140685	66.660514
74	46.151764	46.151764	133.804432	66.562041	45.515819	45.515819	137.487836	64.740305	46.681663	46.681663	130.720749	68.099300
