#section	x1	y1	z1	apl1	x2	y2	z2	apl2	x3	y3	z3	apl3
1	46.839089	46.839089	128.526963	68.559384	46.376244	46.376244	132.015223	67.211126	45.373118	45.373118	137.580146	64.334996
2	46.567268	46.567268	130.450471	67.765951	44.804675	44.804675	141.175328	62.733091	45.281160	45.281160	137.568262	64.074484
3	46.220826	46.220826	131.975698	66.761398	44.483912	44.483912	143.197926	61.838077	44.749071	44.749071	141.564796	62.577480
4	46.715084	46.715084	129.271747	68.196847	45.841405	45.841405	134.541851	65.669826	44.893495	44.893495	140.761679	62.982058
5	46.116622	46.116622	132.678758	66.460712	45.830744	45.830744	134.756848	65.639284	45.541874	45.541874	136.833912	64.814447
6	45.947033	45.947033	133.902158	65.972806	44.989298	44.989298	139.555520	63.251155	44.386674	44.386674	142.910603	61.568026
7	46.291662	46.291662	132.516789	66.966186	45.953001	45.953001	134.010168	65.989946	44.807097	44.807097	141.752613	62.739873
8	45.348313	45.348313	137.205890	64.264671	45.998808	45.998808	134.310093	66.121573	45.798847	45.798847	135.192309	65.547949
9	45.076867	45.076867	139.467259	63.497623	45.824593	45.824593	134.690427	65.621665	46.770112	46.770112	129.619082	68.357606
10	44.830786	44.830786	140.501752	62.806231	46.903872	46.903872	128.409242	68.749161	46.006915	46.006915	133.332251	66.144883
11	45.349620	45.349620	137.635372	64.268376	46.188071	46.188071	132.524830	66.666808	46.119134	46.119134	132.915270	66.467955
12	45.339412	45.339412	137.411662	64.239447	45.633968	45.633968	135.470756	65.076843	46.246066	46.246066	132.761580	66.834333
13	45.884089	45.884089	133.842885	65.792176	45.576321	45.576321	136.133125	64.912534	46.196273	46.196273	132.458109	66.690489
14	45.579136	45.579136	135.715641	64.920553	45.984502	45.984502	134.277191	66.080450	45.012665	45.012665	139.981429	63.316874
15	45.642633	45.642633	135.896634	65.101561	45.917603	45.917603	134.360717	65.888320	45.075883	45.075883	139.494384	63.494851
16	46.101293	46.101293	132.631528	66.416537	45.600757	45.600757	136.722207	64.982158	44.956229	44.956229	139.632419	63.158204
17	47.268822	47.268822	126.457148	69.823173	46.537224	46.537224	130.367807	67.678537	45.065652	45.065652	139.054595	63.466030
18	45.730027	45.730027	135.520144	65.351104	45.759754	45.759754	135.244147	65.436097	46.024508	46.024508	133.347012	66.195478
19	45.352443	45.352443	137.269270	64.276377	45.725991	45.725991	135.390080	65.339570	45.055720	45.055720	139.385264	63.438060
20	45.448022	45.448022	136.880472	64.547583	46.028054	46.028054	133.806215	66.205681	45.347118	45.347118	138.087033	64.261283
21	45.952766	45.952766	134.535014	65.989272	45.775068	45.775068	135.389055	65.479903	45.806481	45.806481	135.074735	65.569803
22	46.837992	46.837992	128.527956	68.556172	45.038259	45.038259	139.684158	63.388898	44.926829	44.926829	140.305431	63.075624
