#section	x-1	y-1	z-1	apl-1	x-2	y-2	z-2	apl-2	x-3	y-3	z-3	apl-3
92	46.599527	46.599527	129.223234	67.859872	45.318179	45.318179	136.693952	64.179292	45.349982	45.349982	136.731444	64.269401
93	45.822315	45.822315	134.040817	65.615143	44.320435	44.320435	142.428603	61.384405	45.023937	45.023937	138.945459	63.348590
94	45.099499	45.099499	137.414208	63.561400	45.009637	45.009637	137.974845	63.308358	45.645655	45.645655	135.530396	65.110183
95	45.463037	45.463037	135.779481	64.590241	44.830587	44.830587	139.353918	62.805674	45.072909	45.072909	138.011774	63.486472
96	45.365783	45.365783	136.618563	64.314195	45.282648	45.282648	137.378856	64.078693	45.008151	45.008151	138.475229	63.304177
97	45.117462	45.117462	137.982810	63.612044	44.918129	44.918129	139.462857	63.051197	44.065058	44.065058	144.101320	60.679042
98	45.654612	45.654612	135.428170	65.135736	45.274941	45.274941	136.836572	64.056883	44.452876	44.452876	142.281204	61.751818
99	45.735535	45.735535	135.285014	65.366849	44.229020	44.229020	143.123696	61.131444	44.547529	44.547529	141.593786	62.015072
100	44.519830	44.519830	141.987863	61.937977	44.663400	44.663400	139.774698	62.338102	44.299285	44.299285	142.761050	61.325832
101	45.012183	45.012183	138.283601	63.315519	44.785087	44.785087	139.733743	62.678251	46.400534	46.400534	130.609453	67.281548
102	45.340131	45.340131	136.028171	64.241485	45.941641	45.941641	133.295146	65.957325	45.451223	45.451223	136.415037	64.556678
103	44.925347	44.925347	139.221769	63.071464	45.678469	45.678469	134.632790	65.203829	45.896987	45.896987	132.669845	65.829170
104	45.222643	45.222643	137.132817	63.908983	45.937983	45.937983	133.691242	65.946821	45.804444	45.804444	133.063320	65.563972
105	45.974148	45.974148	132.633414	66.050698	46.065835	46.065835	132.889186	66.314410	45.200730	45.200730	137.706939	63.847061
106	45.172054	45.172054	138.125814	63.766078	46.191745	46.191745	132.099005	66.677417	45.145449	45.145449	137.894956	63.690986
107	45.049086	45.049086	138.657660	63.419379	44.998164	44.998164	139.090970	63.276087	44.643722	44.643722	141.580416	62.283186
108	44.928088	44.928088	139.549514	63.079158	45.280232	45.280232	136.726766	64.071857	45.670827	45.670827	134.591494	65.182012
109	45.903592	45.903592	132.933261	65.848116	45.177072	45.177072	137.451263	63.780244	45.616199	45.616199	135.168868	65.026175
110	44.957621	44.957621	138.994595	63.162115	44.646108	44.646108	140.822688	62.289843	45.031224	45.031224	138.401170	63.369099
111	44.907468	44.907468	139.389184	63.021270	45.433163	45.433163	136.212641	64.505384	44.814784	44.814784	140.245093	62.761402
112	44.796354	44.796354	139.319311	62.709792	45.272996	45.272996	137.345964	64.051381	45.483601	45.483601	136.029232	64.648685
113	45.310079	45.310079	136.395520	64.156352	45.045994	45.045994	138.076456	63.410673	45.369830	45.369830	135.783143	64.325670
114	44.847337	44.847337	139.124329	62.852614	45.409585	45.409585	136.048755	64.438451	45.695491	45.695491	134.595237	65.252433
115	44.904471	44.904471	138.767852	63.012860	46.491578	46.491578	129.685179	67.545837	45.420297	45.420297	136.854671	64.468855
116	45.870157	45.870157	133.668433	65.752227	46.982457	46.982457	127.372126	68.979726	45.366979	45.366979	136.775978	64.317588
117	45.653927	45.653927	135.527865	65.133783	46.516341	46.516341	129.700050	67.617811	45.006279	45.006279	138.217592	63.298910
118	45.127631	45.127631	137.521726	63.640721	45.966651	45.966651	132.623445	66.029155	45.327299	45.327299	136.865486	64.205126
119	46.228461	46.228461	132.015776	66.783456	46.338007	46.338007	131.593137	67.100341	45.100907	45.100907	138.454702	63.565370
120	45.489796	45.489796	136.057397	64.666297	45.800334	45.800334	133.718404	65.552205	45.744513	45.744513	134.758003	65.392516
121	45.968642	45.968642	132.944012	66.034875	46.941388	46.941388	127.885936	68.859185	45.438331	45.438331	135.568048	64.520060
122	45.894274	45.894274	133.551148	65.821387	45.586455	45.586455	135.377392	64.941401	45.967499	45.967499	132.383028	66.031594
123	45.807419	45.807419	133.792023	65.572488	45.601417	45.601417	135.797093	64.984037	45.831969	45.831969	133.935840	65.642793
124	46.335988	46.335988	131.604371	67.094492	45.090978	45.090978	138.199293	63.537385	45.997438	45.997438	133.043362	66.117633
125	45.283159	45.283159	136.573291	64.080139	44.551388	44.551388	141.737484	62.025817	45.800903	45.800903	133.834539	65.553835
126	44.565069	44.565069	140.491593	62.063919	45.612547	45.612547	135.801531	65.015764	44.630622	44.630622	140.889469	62.246637
127	44.881174	44.881174	139.778732	62.947493	44.791634	44.791634	139.437128	62.696576	44.940802	44.940802	138.775463	63.114866
128	45.168614	45.168614	137.941705	63.756365	45.650169	45.650169	135.258224	65.123060	44.852884	44.852884	140.324623	62.868164
129	44.736350	44.736350	139.884177	62.541906	45.404136	45.404136	136.628928	64.422985	44.649465	44.649465	140.864687	62.299209
130	44.563126	44.563126	141.671181	62.058506	46.272200	46.272200	131.167416	66.909889	46.102212	46.102212	132.985497	66.419187
131	43.424855	43.424855	148.984246	58.928689	45.570331	45.570331	135.381621	64.895471	45.855790	45.855790	133.927504	65.711047
132	44.173477	44.173477	143.891427	60.978002	45.687024	45.687024	134.620325	65.228256	46.343416	46.343416	131.488807	67.116007
133	44.479321	44.479321	141.731469	61.825313	46.287796	46.287796	130.222513	66.955001	46.475169	46.475169	129.808483	67.498168
134	44.168714	44.168714	144.225254	60.964852	45.611038	45.611038	135.449552	65.011462	46.648545	46.648545	129.402968	68.002711
135	45.500287	45.500287	135.490577	64.696128	44.849098	44.849098	139.506601	62.857549	46.820559	46.820559	128.430893	68.505148
136	45.244571	45.244571	137.464042	63.970977	44.376121	44.376121	142.895167	61.538753	46.639299	46.639299	129.759284	67.975758
137	45.559462	45.559462	135.561381	64.864517	45.150728	45.150728	137.819851	63.705883	45.361558	45.361558	136.671066	64.302217
138	45.711270	45.711270	134.311222	65.297507	45.002073	45.002073	138.724629	63.287080	44.894614	44.894614	139.202249	62.985200
139	46.045602	46.045602	133.366017	66.256171	45.975788	45.975788	133.025341	66.055410	45.810367	45.810367	133.764491	65.580928
140	45.705834	45.705834	134.434053	65.281978	45.754348	45.754348	134.017103	65.420636	46.331247	46.331247	131.407820	67.080765
141	46.741181	46.741181	128.723679	68.273061	45.639221	45.639221	135.329866	65.091827	45.482007	45.482007	135.980792	64.644156
142	46.825371	46.825371	128.297005	68.519231	45.072862	45.072862	137.388843	63.486340	44.784061	44.784061	140.342077	62.675378
143	45.453330	45.453330	136.507563	64.562663	45.270213	45.270213	136.844780	64.043506	44.431994	44.431994	142.506320	61.693814
144	45.834161	45.834161	133.764908	65.649071	45.569460	45.569460	135.789271	64.892991	44.989962	44.989962	138.940944	63.253023
145	45.661353	45.661353	134.190685	65.154972	45.906011	45.906011	133.778969	65.855058	45.282589	45.282589	137.538570	64.078528
146	45.301280	45.301280	136.242562	64.131438	45.035912	45.035912	138.778703	63.382293	45.022209	45.022209	138.401575	63.343727
147	44.996089	44.996089	138.830275	63.270252	44.815333	44.815333	141.084692	62.762941	46.041815	46.041815	132.952072	66.245273
148	45.258598	45.258598	137.370364	64.010647	44.994115	44.994115	138.516458	63.264699	46.945804	46.945804	127.344241	68.872142
149	45.008794	45.008794	138.888373	63.305984	45.894355	45.894355	132.992918	65.821618	46.543516	46.543516	128.711372	67.696840
150	44.728094	44.728094	140.950562	62.518824	45.042640	45.042640	138.697342	63.401233	45.532399	45.532399	134.859408	64.787479
151	44.560638	44.560638	140.997479	62.051576	45.452325	45.452325	136.695700	64.559807	44.600728	44.600728	141.428358	62.163278
152	45.235117	45.235117	136.257103	63.944244	45.978057	45.978057	132.905146	66.061928	44.858829	44.858829	140.289950	62.884828
153	44.731481	44.731481	139.911559	62.528294	45.963450	45.963450	133.076528	66.019960	44.640294	44.640294	140.871320	62.273619
154	45.566854	45.566854	134.947504	64.885568	45.432007	45.432007	136.262777	64.502103	44.851361	44.851361	139.953424	62.863893
155	45.421295	45.421295	135.569853	64.471689	45.270968	45.270968	137.744474	64.045642	44.904359	44.904359	139.124847	63.012546
156	44.916184	44.916184	139.408645	63.045736	44.831301	44.831301	140.577221	62.807675	45.350244	45.350244	136.419497	64.270145
157	45.458886	45.458886	136.145032	64.578448	44.858827	44.858827	138.600520	62.884822	45.206571	45.206571	138.245658	63.863564
158	44.317538	44.317538	142.809985	61.376382	45.324247	45.324247	137.511749	64.196479	45.791200	45.791200	134.820878	65.526063
159	45.211802	45.211802	137.542920	63.878345	45.045431	45.045431	137.663429	63.409089	44.400060	44.400060	142.652727	61.605168
160	45.612297	45.612297	134.421585	65.015053	45.142532	45.142532	138.660546	63.682755	44.281226	44.281226	143.470818	61.275844
161	45.676102	45.676102	134.616812	65.197073	44.419280	44.419280	141.940821	61.658513	44.973243	44.973243	139.563775	63.206017
162	45.610771	45.610771	135.192806	65.010700	44.631045	44.631045	140.530831	62.247819	44.418676	44.418676	141.990658	61.656837
163	45.616860	45.616860	134.853069	65.028060	44.457402	44.457402	142.109146	61.764393	45.065898	45.065898	138.493412	63.466725
164	45.094539	45.094539	138.734632	63.547419	45.019253	45.019253	137.978555	63.335410	44.401139	44.401139	142.350955	61.608162
165	45.411755	45.411755	135.947843	64.444608	45.061884	45.061884	138.735926	63.455419	44.317014	44.317014	143.596753	61.374929
166	45.496354	45.496354	135.413462	64.684946	44.481617	44.481617	142.398670	61.831696	45.300979	45.300979	137.540852	64.130585
167	45.473242	45.473242	135.919641	64.619242	44.638045	44.638045	140.426238	62.267346	44.929901	44.929901	139.072623	63.084250
168	44.218867	44.218867	143.773332	61.103380	45.109439	45.109439	137.955485	63.589423	45.744404	45.744404	134.308895	65.392204
169	44.713645	44.713645	140.965203	62.478438	45.369567	45.369567	136.650056	64.324925	45.490937	45.490937	135.045318	64.669543
170	44.880261	44.880261	139.305607	62.944933	45.160130	45.160130	137.688648	63.732416	45.803541	45.803541	133.659482	65.561387
171	45.528485	45.528485	135.444213	64.776341	45.185676	45.185676	138.675738	63.804541	45.885233	45.885233	133.183078	65.795458
172	44.905837	44.905837	139.270648	63.016695	44.427720	44.427720	142.084994	61.681946	46.082393	46.082393	132.133802	66.362093
173	44.567287	44.567287	141.629056	62.070096	45.663974	45.663974	134.200140	65.162455	44.327474	44.327474	143.224423	61.403906
174	45.108035	45.108035	138.445719	63.585462	46.101798	46.101798	132.788697	66.417993	44.708379	44.708379	140.716768	62.463724
175	45.850525	45.850525	133.678823	65.695957	45.933361	45.933361	133.528079	65.933551	45.971602	45.971602	132.942494	66.043380
176	45.326915	45.326915	136.968902	64.204039	45.472057	45.472057	135.862738	64.615873	46.440314	46.440314	129.640309	67.396962
177	45.568266	45.568266	134.544639	64.889589	45.453562	45.453562	135.403331	64.563323	45.882515	45.882515	133.573528	65.787661
178	44.640006	44.640006	141.063622	62.272816	44.552122	44.552122	141.944212	62.027861	45.722567	45.722567	134.159413	65.329786
179	45.978647	45.978647	132.807174	66.063625	45.233158	45.233158	137.753564	63.938706	45.778010	45.778010	134.615514	65.488319
180	46.862992	46.862992	128.074524	68.629374	45.444943	45.444943	136.266313	64.538838	46.346336	46.346336	130.744724	67.124463
181	46.675345	46.675345	128.938057	68.080869	45.781564	45.781564	134.205881	65.498489	46.270396	46.270396	131.086751	66.904673
182	46.021139	46.021139	132.714420	66.185787	45.014121	45.014121	138.345243	63.320972	46.332472	46.332472	130.358914	67.084312
183	45.228491	45.228491	137.546737	63.925512	45.974995	45.974995	133.081903	66.053129	45.985751	45.985751	132.473817	66.084040
184	44.921492	44.921492	138.935087	63.060638	45.584270	45.584270	135.251491	64.935177	45.126733	45.126733	137.756220	63.638188
185	45.158104	45.158104	137.468684	63.726700	45.345644	45.345644	136.354858	64.257107	45.493788	45.493788	135.031413	64.677647
186	45.911686	45.911686	132.804943	65.871340	45.896551	45.896551	133.408314	65.827918	45.856454	45.856454	133.631697	65.712949
187	47.015108	47.015108	127.020721	69.075637	45.801793	45.801793	133.780335	65.556382	45.899640	45.899640	133.543147	65.836779
188	46.086001	46.086001	132.302778	66.372484	44.939149	44.939149	139.462325	63.110222	45.535797	45.535797	135.948928	64.797149
189	46.448646	46.448646	130.352109	67.421148	45.801528	45.801528	133.824341	65.555623	45.108817	45.108817	137.914579	63.587667
190	45.283237	45.283237	137.377759	64.080361	45.192431	45.192431	137.129930	63.823620	45.309164	45.309164	136.651326	64.153760
191	45.589686	45.589686	135.290035	64.950609	46.058767	46.058767	132.095614	66.294064	44.681345	44.681345	140.620971	62.388206
192	45.021910	45.021910	139.127722	63.342887	46.143352	46.143352	131.830246	66.537781	45.312067	45.312067	136.586396	64.161981
193	44.736330	44.736330	139.616808	62.541851	45.430520	45.430520	136.179425	64.497879	44.367201	44.367201	143.937771	61.514017
194	45.399192	45.399192	136.039206	64.408956	45.353224	45.353224	136.190833	64.278590	45.032600	45.032600	138.526856	63.372971
195	45.385282	45.385282	136.206535	64.369495	44.822683	44.822683	139.242599	62.783528	46.077618	46.077618	132.470880	66.348341
196	46.151618	46.151618	131.841084	66.561620	45.790807	45.790807	134.673138	65.524939	45.285028	45.285028	136.301776	64.085429
197	45.186724	45.186724	138.284478	63.807501	46.134224	46.134224	132.180266	66.511456	45.273159	45.273159	136.997287	64.051842
198	45.892662	45.892662	132.674389	65.816763	45.632886	45.632886	134.346213	65.073759	45.180415	45.180415	137.730213	63.789685
199	45.059270	45.059270	138.461906	63.448055	45.351150	45.351150	136.130584	64.272713	44.593028	44.593028	141.127360	62.141817
200	45.717602	45.717602	134.400575	65.315596	45.225204	45.225204	137.129905	63.916221	45.676057	45.676057	135.641070	65.196944
201	44.987456	44.987456	138.904542	63.245976	45.723535	45.723535	134.159909	65.332553	44.260505	44.260505	143.593843	61.218511
202	45.139505	45.139505	137.695468	63.674215	46.179569	46.179569	132.113176	66.642269	44.594028	44.594028	141.035790	62.144604
203	45.667087	45.667087	134.814004	65.171338	44.805315	44.805315	140.197098	62.734883	45.991571	45.991571	132.944489	66.100770
204	45.187517	45.187517	137.602421	63.809741	45.276778	45.276778	137.259675	64.062081	46.801561	46.801561	128.083970	68.449565
205	45.015624	45.015624	138.471341	63.325201	44.784593	44.784593	140.524710	62.676867	45.530848	45.530848	135.047509	64.783067
206	45.022157	45.022157	139.405899	63.343583	45.104515	45.104515	138.020675	63.575540	45.183891	45.183891	137.391703	63.799501
207	44.580726	44.580726	140.832478	62.107536	45.783348	45.783348	134.007499	65.503592	45.714344	45.714344	134.688911	65.306289
208	45.666854	45.666854	135.271367	65.170674	46.754560	46.754560	128.202110	68.312153	46.063125	46.063125	132.465119	66.306608
209	44.778052	44.778052	140.055012	62.658562	45.975645	45.975645	132.670501	66.054998	45.247532	45.247532	137.470130	63.979350
210	45.220330	45.220330	137.401021	63.902444	45.840481	45.840481	133.972247	65.667177	44.170654	44.170654	143.586334	60.970208
211	45.332682	45.332682	136.814943	64.220375	46.378693	46.378693	131.668629	67.218225	44.938461	44.938461	139.444402	63.108291
212	45.374338	45.374338	136.433051	64.338455	45.192923	45.192923	137.944282	63.825010	45.996545	45.996545	132.644395	66.115066
213	44.670794	44.670794	140.775028	62.358744	45.149599	45.149599	137.094269	63.702696	44.819398	44.819398	139.668348	62.774326
214	44.601259	44.601259	141.351798	62.164758	45.578887	45.578887	135.275718	64.919841	45.315156	45.315156	136.736643	64.170729
215	44.831785	44.831785	139.276255	62.809031	45.931844	45.931844	133.290416	65.929197	44.856098	44.856098	139.415855	62.877171
216	44.455171	44.455171	142.279105	61.758194	46.322189	46.322189	131.409659	67.054536	44.763505	44.763505	140.238953	62.617856
217	45.790665	45.790665	134.452367	65.524532	46.628629	46.628629	129.129690	67.944658	43.665788	43.665788	147.622409	59.584408
218	44.347271	44.347271	143.263400	61.458763	46.128623	46.128623	131.810091	66.495308	44.493068	44.493068	141.996552	61.863535
219	45.105457	45.105457	138.110717	63.578196	46.068318	46.068318	133.057660	66.321561	45.700115	45.700115	135.463621	65.265640
220	45.241236	45.241236	137.025465	63.961545	45.446051	45.446051	135.797150	64.541987	45.447240	45.447240	135.316697	64.545364
221	45.205916	45.205916	137.172736	63.861713	45.486706	45.486706	135.089724	64.657514	44.534305	44.534305	140.932052	61.978260
222	45.424406	45.424406	136.514093	64.480520	46.055421	46.055421	132.444525	66.284432	44.427868	44.427868	141.516829	61.682359
223	45.767289	45.767289	134.247076	65.457647	44.861014	44.861014	139.280584	62.890957	44.563367	44.563367	140.944470	62.059177
224	45.425656	45.425656	136.140587	64.484070	45.494483	45.494483	135.631338	64.679624	43.243762	43.243762	149.576465	58.438217
