#section	x-1	y-1	z-1	apl-1	x-2	y-2	z-2	apl-2	x-3	y-3	z-3	apl-3
1	44.960348	44.960348	140.018533	63.169777	45.759183	45.759183	135.907537	65.434463	45.849277	45.849277	134.909908	65.692382
2	45.795450	45.795450	135.044634	65.538225	45.843561	45.843561	134.597961	65.676002	45.554580	45.554580	136.007037	64.850618
3	45.242440	45.242440	138.296191	63.964948	46.037890	46.037890	134.376680	66.233978	45.724023	45.724023	135.731094	65.333945
4	46.315005	46.315005	131.731644	67.033740	46.227293	46.227293	133.042842	66.780082	44.992068	44.992068	140.531259	63.258943
5	46.513362	46.513362	131.542594	67.609150	45.515101	45.515101	136.406611	64.738262	44.769642	44.769642	141.345056	62.635028
6	45.528776	45.528776	138.022996	64.777169	45.374538	45.374538	137.900481	64.339022	45.356659	45.356659	137.655482	64.288329
7	46.210388	46.210388	133.033547	66.731247	45.710522	45.710522	136.559458	65.295369	45.203075	45.203075	138.587734	63.853686
8	46.009276	46.009276	135.079141	66.151672	45.708900	45.708900	135.524605	65.290735	45.151323	45.151323	139.334063	63.707562
9	45.337126	45.337126	138.251746	64.232968	45.795879	45.795879	136.292585	65.539454	44.004151	44.004151	146.105849	60.511415
10	45.750189	45.750189	135.566338	65.408745	44.596782	44.596782	142.325683	62.152279	44.961383	44.961383	140.245519	63.172687
11	46.053618	46.053618	133.772491	66.279243	45.619816	45.619816	136.418433	65.036489	45.106776	45.106776	139.759735	63.581913
12	44.621848	44.621848	142.829104	62.222166	45.055617	45.055617	139.746657	63.437768	44.879386	44.879386	140.745884	62.942477
13	44.493726	44.493726	142.913468	61.865364	45.473078	45.473078	136.909233	64.618775	45.409245	45.409245	137.004616	64.437484
14	45.011674	45.011674	139.942538	63.314087	45.954262	45.954262	134.048245	65.993570	45.307679	45.307679	137.749694	64.149554
15	45.325945	45.325945	137.746794	64.201291	46.250351	46.250351	132.175327	66.846718	46.169032	46.169032	132.628957	66.611861
16	45.782254	45.782254	135.271587	65.500461	45.091673	45.091673	139.487333	63.539342	46.029208	46.029208	134.284011	66.209001
17	45.275907	45.275907	138.460991	64.059619	46.053217	46.053217	133.275878	66.278087	45.779890	45.779890	135.004555	65.493697
18	46.033511	46.033511	132.831091	66.221379	46.487540	46.487540	130.872660	67.534106	46.439913	46.439913	131.988015	67.395797
19	45.443054	45.443054	137.370826	64.533472	46.340041	46.340041	131.818407	67.106230	45.736378	45.736378	135.478005	65.369260
