#section	x1	y1	z1	apl1	x2	y2	z2	apl2	x3	y3	z3	apl3
1	47.367137	47.367137	125.237268	70.113928	47.196956	47.196956	126.241213	69.611022	45.731999	45.731999	133.971562	65.356743
2	46.304667	46.304667	130.939288	67.003819	45.694820	45.694820	134.416545	65.250517	45.195351	45.195351	136.770326	63.831868
3	46.479499	46.479499	129.508162	67.510743	45.242229	45.242229	136.573417	63.964353	45.536747	45.536747	134.795896	64.799855
4	45.465491	45.465491	135.620191	64.597214	45.659029	45.659029	134.056225	65.148341	45.787410	45.787410	133.494088	65.515215
5	45.830511	45.830511	132.923667	65.638617	45.305035	45.305035	136.010066	64.142069	45.665865	45.665865	134.407683	65.167851
6	45.715635	45.715635	133.290249	65.309977	45.132071	45.132071	137.863422	63.653244	45.180553	45.180553	137.295823	63.790075
7	46.517440	46.517440	129.241711	67.621008	44.830286	44.830286	139.066498	62.804829	45.581652	45.581652	134.799953	64.927719
8	45.100937	45.100937	137.555844	63.565453	45.373372	45.373372	135.725620	64.335715	44.408360	44.408360	142.254670	61.628201
9	44.615337	44.615337	140.424965	62.204009	45.078550	45.078550	138.143117	63.502366	44.447146	44.447146	140.688788	61.735900
10	44.874356	44.874356	139.040083	62.928369	44.898314	44.898314	138.790043	62.995580	44.906555	44.906555	138.918879	63.018710
11	45.192399	45.192399	136.920319	63.823530	45.563690	45.563690	134.194086	64.876558	44.668901	44.668901	141.042970	62.353460
12	46.579202	46.579202	129.116523	67.800688	45.177813	45.177813	137.011422	63.782337	45.489132	45.489132	135.144400	64.664409
13	44.650842	44.650842	140.264270	62.303054	45.990863	45.990863	132.723449	66.098734	45.023249	45.023249	137.691932	63.346654
14	45.818046	45.818046	133.979236	65.602917	45.438291	45.438291	135.537642	64.519946	44.473100	44.473100	141.461110	61.808020
15	46.962252	46.962252	127.177992	68.920409	45.006656	45.006656	137.269041	63.299972	44.906111	44.906111	138.618418	63.017464
16	45.996462	45.996462	132.842549	66.114828	46.171619	46.171619	131.556302	66.619326	45.087176	45.087176	138.243413	63.526671
17	46.356870	46.356870	130.414981	67.154983	46.055129	46.055129	132.237386	66.283591	45.259798	45.259798	136.758781	64.014040
18	45.885297	45.885297	132.646920	65.795641	45.630965	45.630965	134.021399	65.068280	44.941999	44.941999	138.839285	63.118228
19	45.864393	45.864393	132.748669	65.735703	45.215197	45.215197	136.626530	63.887938	45.505346	45.505346	135.269454	64.710515
20	46.662899	46.662899	128.190297	68.044568	45.403569	45.403569	135.794908	64.421377	45.319687	45.319687	137.120233	64.183563
21	46.514817	46.514817	129.683513	67.613380	45.328602	45.328602	136.832712	64.208817	45.127019	45.127019	137.303841	63.638996
22	45.937714	45.937714	132.752323	65.946049	44.419458	44.419458	142.105964	61.659007	44.472095	44.472095	140.657127	61.805227
23	46.839761	46.839761	127.535533	68.561350	45.141620	45.141620	136.770905	63.680183	45.250184	45.250184	137.119685	63.986848
24	47.531210	47.531210	124.543015	70.600499	44.455540	44.455540	141.605597	61.759220	45.180244	45.180244	137.233789	63.789201
25	46.691014	46.691014	128.746864	68.126586	44.367604	44.367604	142.274000	61.515133	44.518718	44.518718	140.767261	61.934884
26	46.515055	46.515055	129.988381	67.614073	45.228794	45.228794	136.292051	63.926370	44.497002	44.497002	141.833850	61.874474
27	46.743822	46.743822	128.568299	68.280778	45.645898	45.645898	134.425800	65.110874	45.026191	45.026191	137.999716	63.354933
28	45.476948	45.476948	135.180125	64.629775	45.806670	45.806670	133.930775	65.570346	44.609501	44.609501	141.159654	62.187736
