#section	x-1	y-1	z-1	apl-1	x-2	y-2	z-2	apl-2	x-3	y-3	z-3	apl-3
1	45.474544	45.474544	138.177780	64.622942	44.381756	44.381756	144.282466	61.554383	44.975660	44.975660	139.733777	63.212811
2	45.968448	45.968448	134.033998	66.034319	44.626359	44.626359	142.095981	62.234748	45.005709	45.005709	140.175169	63.297309
3	44.843849	44.843849	141.355069	62.842837	44.767094	44.767094	141.401725	62.627897	45.795423	45.795423	135.090476	65.538148
4	45.262212	45.262212	138.721110	64.020871	45.750258	45.750258	135.652586	65.408942	45.786274	45.786274	134.725300	65.511966
5	44.641148	44.641148	142.080514	62.276002	44.403336	44.403336	143.621178	61.614258	46.034736	46.034736	133.679536	66.224902
6	44.471161	44.471161	143.432708	61.802630	44.119057	44.119057	146.425692	60.827850	45.737675	45.737675	135.512962	65.372966
7	45.267851	45.267851	138.762265	64.036822	45.858575	45.858575	135.898557	65.719028	45.983710	45.983710	133.930970	66.078176
8	45.231887	45.231887	138.819066	63.935113	45.335366	45.335366	138.229492	64.227982	46.094151	46.094151	133.064860	66.395960
9	45.509020	45.509020	137.101357	64.720966	45.302095	45.302095	138.626898	64.133745	45.022218	45.022218	139.661435	63.343753
10	46.186640	46.186640	133.085697	66.662678	46.139487	46.139487	133.653579	66.526632	45.503223	45.503223	137.405561	64.704479
11	46.054240	46.054240	133.450303	66.281032	45.544944	45.544944	136.931364	64.823185	45.963032	45.963032	133.806831	66.018760
12	46.094272	46.094272	133.783682	66.396310	46.490006	46.490006	131.802689	67.541270	45.093914	45.093914	139.152908	63.545660
13	46.743561	46.743561	129.959653	68.280015	45.948486	45.948486	134.388433	65.976980	45.475796	45.475796	137.120403	64.626501
14	46.406215	46.406215	132.266417	67.298024	46.456344	46.456344	132.015767	67.443498	45.899124	45.899124	133.956100	65.835300
15	44.709162	44.709162	142.106419	62.465911	45.549277	45.549277	137.139098	64.835520	46.535274	46.535274	131.623914	67.672865
16	44.456444	44.456444	143.674050	61.761731	45.080922	45.080922	140.297709	63.509047	45.674837	45.674837	136.238696	65.193460
17	44.805175	44.805175	140.761556	62.734491	45.062692	45.062692	139.885591	63.457695	44.734149	44.734149	141.930249	62.535753
18	44.984548	44.984548	140.103492	63.237799	45.937648	45.937648	134.366217	65.945860	45.192893	45.192893	139.304622	63.824925
19	46.031252	46.031252	134.015189	66.214880	45.951408	45.951408	134.012064	65.985372	45.111024	45.111024	139.963820	63.593890
20	46.679607	46.679607	130.028972	68.093303	46.288997	46.288997	132.032541	66.958477	45.529144	45.529144	136.344745	64.778218
21	46.095726	46.095726	133.854513	66.400499	45.989539	45.989539	133.732935	66.094927	45.354829	45.354829	137.213740	64.283142
22	45.554585	45.554585	137.138883	64.850633	46.012464	46.012464	134.186318	66.160839	45.413911	45.413911	138.000281	64.450728
23	45.150441	45.150441	139.633768	63.705072	47.234798	47.234798	127.083725	69.722693	45.876916	45.876916	134.323256	65.771607
24	45.786166	45.786166	135.402217	65.511657	45.412932	45.412932	138.424073	64.447949	45.757253	45.757253	135.406681	65.428943
25	46.400204	46.400204	131.754822	67.280591	45.433049	45.433049	136.859415	64.505062	46.469253	46.469253	132.086245	67.480982
26	45.099691	45.099691	139.467922	63.561941	46.012842	46.012842	134.238538	66.161927	45.799255	45.799255	135.154122	65.549118
27	45.426140	45.426140	138.097956	64.485442	45.456323	45.456323	137.339113	64.571165	44.779261	44.779261	141.747999	62.661945
28	45.605699	45.605699	136.689147	64.996243	45.211413	45.211413	138.595678	63.877247	45.357968	45.357968	138.035264	64.292040
29	46.820605	46.820605	129.558429	68.505284	45.613443	45.613443	136.392381	65.018317	45.767794	45.767794	135.258369	65.459094
30	46.128806	46.128806	133.637592	66.495835	44.981712	44.981712	139.877328	63.229825	45.355458	45.355458	137.913132	64.284924
31	45.061366	45.061366	139.707838	63.453961	45.385167	45.385167	137.963027	64.369169	44.348446	44.348446	144.020053	61.462020
32	45.146688	45.146688	140.002732	63.694483	44.551878	44.551878	143.037505	62.027181	44.654563	44.654563	142.270790	62.313438
33	45.772725	45.772725	136.087532	65.473197	45.098579	45.098579	139.408757	63.558807	44.600524	44.600524	142.321965	62.162711
34	46.927590	46.927590	129.325627	68.818710	44.245265	44.245265	145.148020	61.176358	44.989049	44.989049	140.156661	63.250453
35	45.984784	45.984784	134.400540	66.081262	46.048988	46.048988	133.463226	66.265915	44.955447	44.955447	140.049756	63.156006
36	46.700669	46.700669	130.047879	68.154765	46.426238	46.426238	131.726945	67.356112	45.496822	45.496822	137.479620	64.686277
37	46.923903	46.923903	129.034413	68.807896	45.795551	45.795551	134.529829	65.538514	44.796245	44.796245	141.337074	62.709486
38	46.004620	46.004620	133.931188	66.138284	45.745893	45.745893	135.622410	65.396460	45.207847	45.207847	138.843891	63.867171
39	46.462795	46.462795	131.127571	67.462230	45.280427	45.280427	137.904317	64.072409	45.476942	45.476942	136.857643	64.629757
40	47.328984	47.328984	126.908885	70.001024	45.452570	45.452570	136.398342	64.560504	45.255734	45.255734	138.034335	64.002545
41	46.384794	46.384794	131.688086	67.235909	46.739738	46.739738	129.915595	68.268848	45.803621	45.803621	135.494894	65.561616
42	46.327077	46.327077	132.138849	67.068690	46.838133	46.838133	129.359117	68.556584	45.467391	45.467391	137.282410	64.602615
43	47.321362	47.321362	126.691793	69.978478	47.167554	47.167554	127.697019	69.524317	44.796034	44.796034	141.178598	62.708897
44	46.450298	46.450298	131.093569	67.425943	46.714808	46.714808	129.984830	68.196040	45.301246	45.301246	138.141403	64.131339
45	47.184681	47.184681	127.200204	69.574816	46.803641	46.803641	130.107683	68.455649	45.649932	45.649932	136.512861	65.122383
46	46.517592	46.517592	130.945793	67.621450	46.904093	46.904093	129.294930	68.749811	45.408284	45.408284	137.670908	64.434758
47	47.457047	47.457047	126.241711	70.380354	45.953909	45.953909	134.057621	65.992555	44.569365	44.569365	142.843261	62.075885
48	46.530109	46.530109	130.814956	67.657844	45.353084	45.353084	138.140040	64.278194	45.177454	45.177454	138.306201	63.781322
49	46.405964	46.405964	132.388582	67.297297	45.490632	45.490632	136.864129	64.668674	45.058640	45.058640	140.676478	63.446283
50	45.567227	45.567227	136.194261	64.886630	46.484058	46.484058	131.062144	67.523989	45.749043	45.749043	135.196772	65.405466
51	46.016900	46.016900	133.162597	66.173597	46.515593	46.515593	130.673674	67.615638	45.841304	45.841304	134.577753	65.669537
52	46.213158	46.213158	132.532295	66.739248	46.840330	46.840330	128.892735	68.563015	46.324804	46.324804	132.921114	67.062108
53	45.754108	45.754108	135.656235	65.419949	46.528404	46.528404	131.475878	67.652887	45.576740	45.576740	136.265352	64.913727
54	46.732288	46.732288	129.217238	68.247084	47.399025	47.399025	126.215279	70.208363	46.225769	46.225769	132.684600	66.775680
55	46.419358	46.419358	131.768895	67.336149	46.811552	46.811552	129.639501	68.478794	46.480345	46.480345	131.687212	67.513201
56	45.731745	45.731745	136.348845	65.356015	46.838068	46.838068	130.541742	68.556394	45.364774	45.364774	137.193703	64.311334
57	45.622646	45.622646	136.012099	65.044558	46.727927	46.727927	130.082261	68.234350	45.652439	45.652439	135.770993	65.129538
58	44.888335	44.888335	141.209570	62.967582	46.223385	46.223385	132.213575	66.768791	45.852568	45.852568	134.928741	65.701812
59	44.740948	44.740948	141.379124	62.554762	45.488793	45.488793	137.269079	64.663446	46.943783	46.943783	128.892556	68.866211
60	44.083109	44.083109	145.982041	60.728764	45.675348	45.675348	135.879166	65.194920	46.788667	46.788667	129.492790	68.411856
61	43.695262	43.695262	148.315501	59.664872	45.390128	45.390128	138.347420	64.383243	47.342880	47.342880	127.097157	70.042133
62	44.332575	44.332575	144.688686	61.418037	45.219595	45.219595	138.848379	63.900367	46.452518	46.452518	131.058214	67.432389
63	44.625005	44.625005	142.820103	62.230972	45.529214	45.529214	136.678140	64.778417	46.126068	46.126068	133.701657	66.487943
64	45.070579	45.070579	139.786241	63.479909	44.669352	44.669352	142.329673	62.354720	45.418921	45.418921	137.970730	64.464950
65	44.824389	44.824389	141.060277	62.788308	44.424697	44.424697	143.383775	61.673554	45.637984	45.637984	136.375409	65.088299
66	45.865601	45.865601	135.525960	65.739166	44.459617	44.459617	143.949562	61.770547	45.325341	45.325341	137.786997	64.199580
67	44.808813	44.808813	141.133248	62.744680	45.484340	45.484340	137.205914	64.650786	45.576847	45.576847	136.714642	64.914030
68	45.231524	45.231524	138.605435	63.934087	45.995857	45.995857	133.731855	66.113090	46.438322	46.438322	131.745275	67.391180
69	44.854021	44.854021	140.750178	62.871349	45.183705	45.183705	139.649063	63.798974	46.763684	46.763684	130.448867	68.338816
70	45.380863	45.380863	137.215904	64.356960	44.625047	44.625047	142.699125	62.231088	47.454285	47.454285	125.451498	70.372163
71	46.135483	46.135483	133.754234	66.515086	44.574394	44.574394	143.634613	62.089895	45.706510	45.706510	135.702128	65.283907
72	45.202601	45.202601	139.237535	63.852347	45.247732	45.247732	138.655740	63.979915	45.805234	45.805234	135.052155	65.566234
73	45.954468	45.954468	134.157188	65.994159	44.902894	44.902894	141.098144	63.008433	45.128905	45.128905	139.368784	63.644315
74	45.221993	45.221993	138.889191	63.907145	45.473102	45.473102	137.222051	64.618845	45.677472	45.677472	135.326594	65.200983
75	45.104052	45.104052	139.494320	63.574235	45.197030	45.197030	138.658964	63.836611	45.948896	45.948896	134.033703	65.978157
76	45.588710	45.588710	136.206569	64.947827	44.731610	44.731610	141.345302	62.528655	45.707569	45.707569	136.516735	65.286933
77	45.323890	45.323890	137.597699	64.195469	44.125596	44.125596	145.434361	60.845881	46.591807	46.591807	130.975527	67.837389
78	45.003943	45.003943	140.109000	63.292341	46.009748	46.009748	133.706585	66.153027	46.084102	46.084102	133.160479	66.367014
79	45.130459	45.130459	139.446039	63.648696	46.438147	46.438147	131.057829	67.390673	46.368778	46.368778	131.529290	67.189486
80	45.731007	45.731007	135.738769	65.353907	45.592985	45.592985	136.376137	64.960010	46.322628	46.322628	132.906412	67.055807
