#section	x-1	y-1	z-1	apl-1	x-2	y-2	z-2	apl-2	x-3	y-3	z-3	apl-3
1	45.935334	45.935334	134.770952	65.939216	45.546138	45.546138	137.408631	64.826583	45.229289	45.229289	138.444616	63.927768
2	46.071225	46.071225	132.959286	66.329930	44.218616	44.218616	144.600812	61.102689	44.724025	44.724025	142.161697	62.507451
3	45.314717	45.314717	137.955047	64.169487	44.493732	44.493732	143.065228	61.865381	44.873237	44.873237	140.079361	62.925232
4	45.124854	45.124854	139.453416	63.632889	44.585749	44.585749	142.704181	62.121533	44.234947	44.234947	144.801993	61.147828
5	45.943666	45.943666	134.851727	65.963139	45.167011	45.167011	138.637281	63.751839	43.837614	43.837614	147.138096	60.054262
6	45.028306	45.028306	139.689634	63.360886	45.253647	45.253647	138.421049	63.996643	43.856768	43.856768	147.283755	60.106752
7	44.694076	44.694076	141.836523	62.423765	44.959611	44.959611	140.150192	63.167708	44.403886	44.403886	143.915437	61.615785
8	45.121738	45.121738	138.931064	63.624101	46.532226	46.532226	130.644038	67.664002	45.254912	45.254912	138.461008	64.000222
9	44.459480	44.459480	142.481460	61.770168	45.977817	45.977817	133.564571	66.061239	45.723228	45.723228	135.343568	65.331675
10	44.920367	44.920367	140.385101	63.057479	45.775295	45.775295	135.235523	65.480550	45.521161	45.521161	137.030371	64.755502
11	44.686165	44.686165	141.485293	62.401668	45.914161	45.914161	134.440100	65.878443	45.395004	45.395004	136.958706	64.397074
12	45.890213	45.890213	134.589219	65.809738	46.624238	46.624238	130.485349	67.931861	45.275088	45.275088	138.127832	64.057299
13	45.516837	45.516837	137.174714	64.743202	46.075875	46.075875	134.184335	66.343321	45.747114	45.747114	135.167860	65.399950
14	46.281365	46.281365	132.730521	66.936397	45.427306	45.427306	137.062646	64.488753	46.083761	46.083761	133.323420	66.366034
15	46.638881	46.638881	129.796536	67.974539	46.367714	46.367714	131.841338	67.186402	46.491552	46.491552	131.062138	67.545763
16	46.916065	46.916065	128.481724	68.784911	45.819983	45.819983	134.406685	65.608464	45.855970	45.855970	134.350642	65.711563
17	46.189036	46.189036	133.086445	66.669595	47.546088	47.546088	125.478426	70.644702	45.515802	45.515802	137.322189	64.740256
18	47.090005	47.090005	128.170970	69.295893	45.644983	45.644983	135.675252	65.108263	44.969155	44.969155	140.202077	63.194527
19	45.864869	45.864869	134.495453	65.737069	46.003599	46.003599	134.142254	66.135348	45.162153	45.162153	139.341051	63.738128
20	46.133012	46.133012	133.007933	66.507961	46.222422	46.222422	133.094827	66.766009	45.039352	45.039352	140.335279	63.391976
21	45.932070	45.932070	134.726951	65.929845	46.428357	46.428357	131.502860	67.362260	44.741327	44.741327	141.844526	62.555823
22	46.506976	46.506976	131.412470	67.590588	46.522306	46.522306	130.717014	67.635154	44.698282	44.698282	141.340053	62.435512
23	46.807327	46.807327	129.698148	68.466434	46.639133	46.639133	130.729396	67.975273	45.979500	45.979500	133.861108	66.066077
24	45.967322	45.967322	133.539314	66.031085	46.109260	46.109260	133.319420	66.439496	45.519183	45.519183	137.233686	64.749875
25	45.964876	45.964876	134.558035	66.024057	47.659355	47.659355	124.369137	70.981692	45.969188	45.969188	134.574197	66.036444
26	46.284176	46.284176	132.131781	66.944529	46.636467	46.636467	131.301436	67.967501	44.959806	44.959806	140.121305	63.168255
27	46.795929	46.795929	130.119691	68.433092	46.750597	46.750597	130.610110	68.300573	45.463996	45.463996	137.590257	64.592966
28	46.038926	46.038926	134.183348	66.236958	45.949211	45.949211	134.752571	65.979063	45.652362	45.652362	136.217646	65.129318
29	46.460370	46.460370	130.931449	67.455186	45.644675	45.644675	135.815295	65.107387	46.776920	46.776920	129.253724	68.377508
30	45.738637	45.738637	135.125151	65.375715	46.528587	46.528587	131.027967	67.653420	46.664109	46.664109	130.397929	68.048096
31	46.492159	46.492159	132.128186	67.547526	45.098518	45.098518	139.149874	63.558635	46.951100	46.951100	128.068957	68.887680
32	45.846733	45.846733	134.358802	65.685093	44.738470	44.738470	141.100929	62.547835	46.868941	46.868941	130.157094	68.646801
33	45.622363	45.622363	136.075478	65.043750	45.245729	45.245729	137.573267	63.974250	45.945978	45.945978	134.462797	65.969778
34	46.120136	46.120136	132.764590	66.470842	45.540898	45.540898	136.611801	64.811669	46.320669	46.320669	132.300380	67.050137
35	45.187103	45.187103	138.659552	63.808570	45.531187	45.531187	137.176618	64.784032	46.379107	46.379107	131.406434	67.219425
36	46.308772	46.308772	132.065598	67.015697	45.826521	45.826521	135.094859	65.627190	46.176224	46.176224	132.766629	66.632614
