#frame	x-1	y-1	z-1	apl-1	x-2	y-2	z-2	apl-2	x-3	y-3	z-3	apl-3
1	45.742270	45.742270	135.446336	65.386101	45.658937	45.658937	135.422513	65.148078	45.518538	45.518538	136.170313	64.748041
2	45.010757	45.010757	139.658892	63.311507	45.126216	45.126216	138.936081	63.636730	45.296122	45.296122	138.106353	64.116835
3	46.235263	46.235263	133.234820	66.803109	44.475443	44.475443	143.427475	61.814532	45.130252	45.130252	138.078891	63.648113
4	45.362667	45.362667	137.045119	64.305360	45.239413	45.239413	138.470353	63.956389	45.462044	45.462044	137.268944	64.587419
5	45.285990	45.285990	138.276651	64.088152	45.666315	45.666315	136.106250	65.169136	46.050509	46.050509	133.406470	66.270293
6	44.301376	44.301376	143.738630	61.331621	45.695248	45.695248	135.572927	65.251741	45.407876	45.407876	137.493045	64.433599
7	44.642618	44.642618	142.689899	62.280103	46.452914	46.452914	131.131948	67.433538	46.217283	46.217283	133.312290	66.751163
8	45.055821	45.055821	138.978485	63.438344	45.353437	45.353437	137.461022	64.279196	46.732739	46.732739	129.732126	68.248404
9	45.949163	45.949163	133.854493	65.978924	45.529504	45.529504	135.875054	64.779241	45.266762	45.266762	137.920880	64.033742
10	45.214440	45.214440	138.834159	63.885800	45.705218	45.705218	135.695551	65.280218	46.077796	46.077796	133.370857	66.348851
11	44.786143	44.786143	141.370476	62.681208	46.307011	46.307011	131.747093	67.010601	45.210697	45.210697	138.928444	63.875222
12	45.732857	45.732857	135.621426	65.359193	46.871434	46.871434	128.667436	68.654104	45.603280	45.603280	136.956654	64.989348
13	45.129949	45.129949	138.897679	63.647260	45.874852	45.874852	134.636399	65.765690	45.940356	45.940356	134.724845	65.953633
14	45.484075	45.484075	137.221358	64.650033	46.507716	46.507716	130.408851	67.592740	45.648438	45.648438	135.780159	65.118122
15	44.976223	44.976223	140.275798	63.214394	45.506953	45.506953	136.038730	64.715087	45.598247	45.598247	136.666865	64.975003
16	44.918510	44.918510	140.103123	63.052268	45.767012	45.767012	135.442642	65.456856	45.933087	45.933087	133.852511	65.932766
17	45.583469	45.583469	135.974925	64.932896	45.347914	45.347914	137.267699	64.263541	45.731320	45.731320	135.564289	65.354800
18	44.439754	44.439754	143.340790	61.715367	44.269565	44.269565	144.075991	61.243574	44.973756	44.973756	139.170138	63.207459
19	45.087935	45.087935	139.227128	63.528808	44.725063	44.725063	141.119685	62.510351	45.699873	45.699873	135.893474	65.264951
20	45.431282	45.431282	137.491431	64.500043	44.777320	44.777320	140.792627	62.656513	45.059813	45.059813	140.096514	63.449587
21	45.739090	45.739090	135.551107	65.377012	45.332417	45.332417	137.324561	64.219627	44.704095	44.704095	141.774502	62.451754
22	46.353910	46.353910	132.076625	67.146405	44.685228	44.685228	141.654202	62.399050	45.326390	45.326390	137.946176	64.202550
23	45.875250	45.875250	134.448146	65.766830	44.875139	44.875139	140.352316	62.930565	44.871067	44.871067	140.134253	62.919145
24	45.920706	45.920706	134.137961	65.897226	45.217715	45.217715	139.117709	63.895053	46.222341	46.222341	132.336229	66.765774
25	46.590071	46.590071	130.235932	67.832334	45.072567	45.072567	139.988260	63.485509	45.803960	45.803960	135.282420	65.562586
26	45.347767	45.347767	137.625064	64.263125	44.717658	44.717658	141.872899	62.489655	45.970465	45.970465	134.479780	66.040114
27	46.265772	46.265772	132.376362	66.891302	44.671414	44.671414	142.153763	62.360475	44.934276	44.934276	140.364154	63.096536
