#frame	x-1	y-1	z-1	apl-1	x-2	y-2	z-2	apl-2	x-3	y-3	z-3	apl-3
1	45.767026	45.767026	133.902358	65.456897	46.239826	46.239826	131.886045	66.816297	45.851786	45.851786	132.981073	65.699571
2	45.929964	45.929964	133.045766	65.923801	46.085092	46.085092	132.211605	66.369865	45.580412	45.580412	134.111968	64.924185
3	44.686933	44.686933	140.754425	62.403812	47.004625	47.004625	126.907359	69.044836	45.341225	45.341225	136.215520	64.244583
4	45.681966	45.681966	133.942611	65.213814	46.095301	46.095301	131.817169	66.399275	45.888983	45.888983	132.628557	65.806211
5	44.628251	44.628251	140.725461	62.240024	45.068366	45.068366	138.053605	63.473677	44.743763	44.743763	139.949335	62.562635
6	45.196816	45.196816	137.254221	63.836006	45.318160	45.318160	136.045160	64.179238	44.380362	44.380362	142.531406	61.550516
7	45.199708	45.199708	137.321319	63.844176	45.613942	45.613942	134.446840	65.019741	44.791998	44.791998	138.878218	62.697597
8	44.715138	44.715138	140.664287	62.482610	45.179767	45.179767	136.825147	63.787855	45.224899	45.224899	137.511590	63.915360
9	43.876320	43.876320	145.882577	60.160358	45.511453	45.511453	135.453052	64.727887	45.431998	45.431998	135.760738	64.502076
10	45.340959	45.340959	136.850900	64.243829	45.270127	45.270127	136.441289	64.043262	45.486993	45.486993	136.213810	64.658328
11	44.178185	44.178185	142.929795	60.991002	44.673368	44.673368	140.650018	62.365932	45.287881	45.287881	136.753076	64.093506
12	44.853132	44.853132	139.658055	62.868857	45.114612	45.114612	137.812129	63.604006	45.237989	45.237989	136.938795	63.952365
13	44.848047	44.848047	139.264431	62.854602	45.296412	45.296412	135.930588	64.117654	45.068862	45.068862	137.903635	63.475074
14	44.499259	44.499259	141.380937	61.880750	45.417292	45.417292	136.249015	64.460324	45.022902	45.022902	138.029091	63.345679
15	45.665285	45.665285	134.484677	65.166194	44.888961	44.888961	138.965125	62.969338	44.555417	44.555417	141.430585	62.037036
16	44.626628	44.626628	140.472249	62.235499	45.540880	45.540880	135.625262	64.811618	44.086502	44.086502	143.899632	60.738114
17	45.311967	45.311967	136.841036	64.161698	45.112555	45.112555	138.264908	63.598206	44.519644	44.519644	141.487389	61.937460
18	46.160551	46.160551	131.467841	66.587388	44.613289	44.613289	140.964105	62.198300	45.231929	45.231929	136.878504	63.935231
19	45.837191	45.837191	133.178585	65.657753	44.470469	44.470469	141.202477	61.800707	45.004734	45.004734	137.732392	63.294566
20	46.033102	46.033102	132.442199	66.220202	44.343464	44.343464	142.507121	61.448211	45.625250	45.625250	134.374241	65.051981
21	45.244752	45.244752	136.358125	63.971488	44.638367	44.638367	139.553462	62.268244	45.848154	45.848154	133.001948	65.689164
22	45.641136	45.641136	134.651307	65.097289	44.168808	44.168808	144.701871	60.965111	45.561242	45.561242	134.774695	64.869586
23	44.746526	44.746526	139.502816	62.570362	44.079710	44.079710	143.836897	60.719400	45.202151	45.202151	136.713110	63.851077
24	45.040768	45.040768	138.319128	63.395961	45.034510	45.034510	137.668710	63.378347	44.669845	44.669845	140.090994	62.356097
25	45.963761	45.963761	133.641304	66.020854	45.487726	45.487726	135.077986	64.660413	44.241235	44.241235	142.834103	61.165215
26	45.607475	45.607475	135.204403	65.001307	45.411614	45.411614	136.251197	64.444208	44.906673	44.906673	138.992916	63.019039
27	44.959367	44.959367	138.158116	63.167020	45.604711	45.604711	134.664485	64.993426	44.282391	44.282391	142.912609	61.279068
28	44.970256	44.970256	137.847143	63.197623	45.774763	45.774763	133.576239	65.479029	44.616088	44.616088	140.580990	62.206102
29	45.339547	45.339547	136.404126	64.239830	45.750481	45.750481	134.064144	65.409579	44.227131	44.227131	143.778548	61.126221
30	45.915911	45.915911	133.089650	65.883465	46.766422	46.766422	128.257945	68.346820	44.414564	44.414564	141.602956	61.645421
31	46.378598	46.378598	129.712136	67.217948	46.339017	46.339017	129.990632	67.103266	44.307280	44.307280	142.159060	61.347971
32	45.213161	45.213161	136.144508	63.882186	45.844354	45.844354	133.251670	65.678276	44.983510	44.983510	138.910179	63.234879
33	45.902888	45.902888	133.212336	65.846097	45.268811	45.268811	137.079992	64.039539	44.902322	44.902322	138.915667	63.006829
34	46.308853	46.308853	130.300015	67.015933	45.425265	45.425265	135.982138	64.482959	44.644754	44.644754	140.404446	62.286063
35	47.037844	47.037844	127.299493	69.142460	46.249727	46.249727	130.704753	66.844913	46.060437	46.060437	131.891938	66.298871
36	46.403915	46.403915	129.497255	67.291355	45.964212	45.964212	133.314094	66.022150	45.723290	45.723290	134.097930	65.331853
37	45.120647	45.120647	136.834285	63.621026	46.280640	46.280640	131.092528	66.934302	45.426014	45.426014	136.025889	64.485086
38	45.248147	45.248147	136.700475	63.981088	46.008028	46.008028	132.263032	66.148081	46.306666	46.306666	131.203582	67.009604
39	45.456041	45.456041	135.368379	64.570364	45.372249	45.372249	135.674702	64.332531	46.416024	46.416024	129.979357	67.326478
40	46.203125	46.203125	131.723330	66.710273	44.697307	44.697307	140.816024	62.432790	45.895543	45.895543	132.978787	65.825027
41	46.824750	46.824750	128.148814	68.517414	45.268711	45.268711	136.250270	64.039256	46.239779	46.239779	130.769273	66.816161
42	46.292933	46.292933	130.803374	66.969865	45.701105	45.701105	134.566848	65.268468	46.612750	46.612750	128.510880	67.898390
43	45.877046	45.877046	133.122656	65.771981	45.428458	45.428458	136.209093	64.492026	45.798055	45.798055	133.722139	65.545684
44	46.121561	46.121561	131.472978	66.474949	45.286495	45.286495	136.445148	64.089582	46.187611	46.187611	131.218757	66.665482
45	45.720289	45.720289	133.636286	65.323274	45.025613	45.025613	138.187888	63.353306	45.850300	45.850300	132.856959	65.695313
46	45.418179	45.418179	135.816248	64.462843	44.609327	44.609327	140.390485	62.187251	46.010391	46.010391	132.131912	66.154876
