#frame	x-1	y-1	z-1	apl-1	x-2	y-2	z-2	apl-2	x-3	y-3	z-3	apl-3
1	45.794725	45.794725	134.179703	65.536152	46.300027	46.300027	131.201613	66.990390	45.410530	45.410530	136.733222	64.441132
2	45.636882	45.636882	134.206408	65.085156	45.852900	45.852900	133.888890	65.702764	45.339717	45.339717	136.780444	64.240310
3	45.703376	45.703376	134.617915	65.274956	45.534871	45.534871	135.941467	64.794514	45.146175	45.146175	138.039559	63.693034
4	46.451578	46.451578	130.507371	67.429658	44.663051	44.663051	141.007557	62.337128	45.613941	45.613941	135.823556	65.019737
5	45.621595	45.621595	135.480389	65.041560	44.565340	44.565340	141.298985	62.064673	45.239998	45.239998	138.310456	63.958045
6	46.100026	46.100026	132.683923	66.412888	45.029429	45.029429	138.826893	63.364045	45.561136	45.561136	135.270051	64.869284
7	45.208082	45.208082	138.073890	63.867833	43.988293	43.988293	145.582382	60.467809	44.847282	44.847282	139.901821	62.852460
8	45.103751	45.103751	138.201645	63.573387	44.615087	44.615087	140.945895	62.203311	45.311499	45.311499	137.003823	64.160374
9	45.051794	45.051794	139.224877	63.427004	43.260259	43.260259	150.929912	58.482812	44.998831	44.998831	139.290461	63.277961
10	45.562172	45.562172	134.865982	64.872234	43.570961	43.570961	147.346101	59.325895	45.428217	45.428217	136.516817	64.491341
11	45.643936	45.643936	135.472311	65.105279	43.817710	43.817710	146.700587	59.999742	45.624693	45.624693	135.392528	65.050394
12	44.937341	44.937341	139.839334	63.105143	44.073613	44.073613	144.564328	60.702605	46.623025	46.623025	129.394908	67.928328
13	45.470681	45.470681	136.374278	64.611963	44.283013	44.283013	143.832914	61.280789	46.396582	46.396582	130.701460	67.270087
14	44.858783	44.858783	139.622904	62.884699	45.243849	45.243849	137.710286	63.968934	46.215502	46.215502	131.449044	66.746019
15	45.501236	45.501236	135.935720	64.698827	45.703975	45.703975	135.086109	65.276667	46.550043	46.550043	129.696641	67.715827
16	45.537197	45.537197	135.712263	64.801133	45.686481	45.686481	135.298644	65.226706	45.506477	45.506477	135.833616	64.713732
17	45.988492	45.988492	133.494571	66.091920	45.529743	45.529743	136.225029	64.779921	46.184293	46.184293	131.678374	66.655903
18	46.603525	46.603525	130.080135	67.871516	45.405344	45.405344	136.371675	64.426415	46.377674	46.377674	130.694982	67.215270
19	45.682924	45.682924	134.909764	65.216548	45.890551	45.890551	133.999038	65.810709	45.654711	45.654711	135.658730	65.136021
20	45.417997	45.417997	136.081100	64.462326	44.856599	44.856599	140.509172	62.878577	46.352229	46.352229	131.201229	67.141534
21	44.947830	44.947830	139.775707	63.134607	44.391789	44.391789	142.628669	61.582216	46.423361	46.423361	131.241384	67.347764
22	45.074543	45.074543	139.126200	63.491077	45.487512	45.487512	135.781441	64.659805	46.856798	46.856798	128.913999	68.611236
23	44.706716	44.706716	140.811507	62.459077	45.021642	45.021642	139.205821	63.342132	47.010346	47.010346	127.167721	69.061644
24	44.579765	44.579765	141.924391	62.104858	45.602184	45.602184	135.433162	64.986223	46.131236	46.131236	132.903989	66.502841
25	45.665886	45.665886	135.541988	65.167911	46.495024	46.495024	131.364406	67.555852	45.758225	45.758225	134.881760	65.431723
26	46.503366	46.503366	130.474208	67.580095	46.184287	46.184287	132.240663	66.655885	46.223932	46.223932	131.291303	66.770370
27	45.519897	45.519897	135.937376	64.751907	45.896898	45.896898	133.507744	65.828914	46.163768	46.163768	131.724145	66.596672
28	45.817104	45.817104	134.169336	65.600219	46.213286	46.213286	132.143791	66.739619	46.403793	46.403793	130.733034	67.291001
29	45.565033	45.565033	135.680134	64.880384	46.155614	46.155614	132.143176	66.573147	46.226841	46.226841	132.121104	66.778777
30	44.483638	44.483638	142.602217	61.837314	45.635531	45.635531	135.616030	65.081303	45.013969	45.013969	139.018380	63.320544
31	46.010555	46.010555	132.634409	66.155349	46.318192	46.318192	131.604067	67.042965	45.061223	45.061223	138.118577	63.453557
32	44.827377	44.827377	139.481741	62.796678	45.742019	45.742019	135.006494	65.385386	44.812147	44.812147	140.803986	62.754016
33	46.022354	46.022354	132.930562	66.189284	47.162034	47.162034	126.441046	69.508044	44.686737	44.686737	141.279219	62.403263
34	46.093250	46.093250	133.036312	66.393364	46.333656	46.333656	130.428227	67.087739	45.626229	45.626229	135.655525	65.054775
