#section	x1	y1	z1	apl1	x2	y2	z2	apl2	x3	y3	z3	apl3
17	45.925074	45.925074	135.495052	65.909763	46.374258	46.374258	132.239623	67.205370	46.282644	46.282644	132.833519	66.940098
18	46.810354	46.810354	129.962322	68.475290	46.447798	46.447798	132.795465	67.418685	46.556793	46.556793	131.012587	67.735468
19	46.565697	46.565697	131.802978	67.761380	45.558305	45.558305	136.532323	64.861223	46.910052	46.910052	129.505921	68.767280
20	46.231818	46.231818	133.095809	66.793155	45.108404	45.108404	139.729051	63.586503	46.143573	46.143573	133.898175	66.538416
21	45.649548	45.649548	135.738094	65.121288	45.182376	45.182376	139.400051	63.795222	45.961082	45.961082	134.993547	66.013158
22	45.476348	45.476348	137.420676	64.628069	45.880055	45.880055	134.982661	65.780607	45.644812	45.644812	136.184546	65.107776
23	45.668612	45.668612	136.341631	65.175692	45.771758	45.771758	135.516690	65.470431	46.363713	46.363713	132.601476	67.174808
24	45.863451	45.863451	136.296633	65.733004	45.394676	45.394676	138.131745	64.396144	45.101206	45.101206	139.322026	63.566212
25	45.067638	45.067638	139.889400	63.471625	45.697819	45.697819	135.825408	65.259083	45.701381	45.701381	136.274074	65.269258
26	45.678902	45.678902	136.218092	65.205065	45.274046	45.274046	139.055482	64.054351	46.079983	46.079983	134.314899	66.355152
27	45.491793	45.491793	137.144196	64.671977	45.223581	45.223581	139.366190	63.911633	46.348428	46.348428	133.139211	67.130524
28	46.571658	46.571658	130.907631	67.778729	45.864669	45.864669	135.442826	65.736495	45.575438	45.575438	136.893983	64.910017
29	45.936712	45.936712	135.214269	65.943173	45.722088	45.722088	136.115226	65.328416	46.477602	46.477602	132.315060	67.505233
30	45.873572	45.873572	135.311808	65.762018	45.766401	45.766401	135.925942	65.455108	46.347097	46.347097	132.877173	67.126669
31	46.458551	46.458551	131.560035	67.449906	47.076005	47.076005	129.107921	69.254696	46.025823	46.025823	134.729703	66.199262
32	47.258880	47.258880	126.410433	69.793805	46.049966	46.049966	134.037465	66.268730	45.440945	45.440945	137.393882	64.527483
33	47.503956	47.503956	126.183628	70.519558	45.518378	45.518378	137.613580	64.747584	44.696384	44.696384	141.971486	62.430210
34	46.926483	46.926483	129.160514	68.815463	45.766043	45.766043	135.846351	65.454085	46.636112	46.636112	131.322184	67.966466
35	45.792986	45.792986	135.861094	65.531175	45.822509	45.822509	135.557792	65.615697	46.430019	46.430019	132.258535	67.367082
36	46.372284	46.372284	132.491633	67.199647	45.509209	45.509209	136.882516	64.721503	45.639231	45.639231	136.500424	65.091856
37	46.519519	46.519519	131.750613	67.627050	45.845999	45.845999	134.897001	65.682987	46.025626	46.025626	135.022203	66.198696
38	46.295119	46.295119	133.233266	66.976189	45.795151	45.795151	136.377297	65.537371	45.632307	45.632307	136.104936	65.072108
