#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 3.767 3.811 4.067 24 12 17 86 90 75
10 4.315 3.612 3.474 19 10 10 73 85 78
11 3.918 4.179 3.964 16 19 14 98 95 84
12 3.837 3.925 3.936 14 17 17 92 106 94
13 3.551 4.258 4.022 16 13 11 78 97 92
14 3.903 4.138 3.953 28 19 14 103 87 85
15 3.780 3.972 4.792 20 18 15 100 109 96
16 4.436 3.875 4.000 20 18 15 94 88 110
17 3.711 4.301 3.812 11 18 11 83 93 85
18 4.577 4.518 3.475 28 15 12 111 85 80
19 4.582 3.918 3.505 20 13 15 91 85 91
2 3.949 4.552 3.865 13 23 16 78 87 89
20 4.089 4.195 3.886 15 15 16 90 87 88
21 4.253 3.792 3.561 19 22 12 87 106 82
22 3.581 3.941 3.920 15 15 12 93 85 75
23 3.922 4.171 3.862 26 19 15 116 82 94
24 3.602 4.142 3.860 13 22 17 93 106 107
25 3.890 4.793 5.305 17 19 23 91 87 82
26 3.663 4.422 3.614 11 29 17 80 90 101
3 4.054 3.672 3.739 24 12 14 93 119 69
4 3.966 4.000 4.038 19 29 15 117 95 78
5 4.070 3.538 4.279 26 16 23 100 119 111
6 4.102 3.851 3.790 16 11 15 128 94 100
7 4.084 4.556 3.788 16 23 16 83 99 85
8 4.079 3.793 4.205 14 13 11 101 111 73
9 3.913 3.642 4.000 12 11 17 103 109 104
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 5944 6094 5694 601
