#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
0 38.462 42.308 30.769 37.179 3.392 0.000 0.000 0.000 0.000 0.000
1 42.308 57.692 38.462 46.154 5.875 0.000 0.000 0.000 0.000 0.000
2 34.615 53.846 42.308 43.590 5.588 0.000 0.000 0.000 0.000 0.000
3 46.154 53.846 30.769 43.590 6.784 0.000 0.000 0.000 0.000 0.000
4 42.308 38.462 34.615 38.462 2.221 0.000 0.000 0.000 0.000 0.000
5 46.154 38.462 38.462 41.026 2.564 0.000 0.000 0.000 0.000 0.000
6 42.308 42.308 46.154 43.590 1.282 0.000 0.000 0.000 0.000 0.000
7 61.538 46.154 46.154 51.282 5.128 0.000 0.000 0.000 0.000 0.000
8 46.154 53.846 50.000 50.000 2.221 0.000 0.000 0.000 0.000 0.000
9 50.000 73.077 65.385 62.821 6.784 0.000 0.000 0.000 0.000 0.000
10 38.462 61.538 50.000 50.000 6.662 0.000 0.000 0.000 0.000 0.000
11 34.615 50.000 73.077 52.564 11.177 0.000 0.000 0.000 0.000 0.000
12 34.615 30.769 46.154 37.179 4.623 0.000 0.000 1.562 0.521 0.521
13 42.308 38.462 57.692 46.154 5.875 0.000 0.000 1.562 0.521 0.521
14 50.000 19.231 57.692 42.308 11.750 0.000 0.000 0.000 0.000 0.000
15 38.462 26.923 46.154 37.179 5.588 0.000 0.000 0.000 0.000 0.000
16 34.615 26.923 38.462 33.333 3.392 0.000 0.000 0.000 0.000 0.000
17 38.462 30.769 46.154 38.462 4.441 0.000 0.000 0.000 0.000 0.000
18 38.462 34.615 38.462 37.179 1.282 0.000 0.000 0.000 0.000 0.000
19 57.692 38.462 50.000 48.718 5.588 0.000 0.000 0.000 0.000 0.000
20 34.615 42.308 34.615 37.179 2.564 0.000 0.000 0.000 0.000 0.000
21 38.462 50.000 38.462 42.308 3.846 0.000 0.000 0.000 0.000 0.000
22 34.615 38.462 50.000 41.026 4.623 0.000 0.000 0.000 0.000 0.000
23 50.000 46.154 38.462 44.872 3.392 0.000 0.000 0.000 0.000 0.000
24 34.615 34.615 46.154 38.462 3.846 0.000 0.000 0.000 0.000 0.000
25 38.462 50.000 46.154 44.872 3.392 0.000 0.000 0.000 0.000 0.000
26 34.615 42.308 38.462 38.462 2.221 0.000 0.000 0.000 0.000 0.000
27 50.000 53.846 42.308 48.718 3.392 0.000 0.000 0.000 0.000 0.000
28 46.154 34.615 30.769 37.179 4.623 0.000 0.000 0.000 0.000 0.000
29 46.154 53.846 26.923 42.308 8.006 0.000 0.000 0.000 0.000 0.000
30 50.000 42.308 30.769 41.026 5.588 0.000 0.000 0.000 0.000 0.000
31 30.769 38.462 42.308 37.179 3.392 0.000 0.000 0.000 0.000 0.000
