#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
0 38.462 50.000 61.538 50.000 6.662 0.000 1.562 0.000 0.521 0.521
1 34.615 42.308 23.077 33.333 5.588 0.000 1.562 0.000 0.521 0.521
2 57.692 38.462 46.154 47.436 5.588 0.000 1.562 0.000 0.521 0.521
3 65.385 34.615 57.692 52.564 9.245 1.562 0.000 0.000 0.521 0.521
4 65.385 53.846 50.000 56.410 4.623 0.000 0.000 0.000 0.000 0.000
5 38.462 61.538 57.692 52.564 7.138 1.562 0.000 0.000 0.521 0.521
6 53.846 46.154 53.846 51.282 2.564 0.000 0.000 0.000 0.000 0.000
7 23.077 46.154 38.462 35.897 6.784 3.125 0.000 0.000 1.042 1.042
8 26.923 46.154 42.308 38.462 5.875 1.562 0.000 0.000 0.521 0.521
9 84.615 38.462 38.462 53.846 15.385 0.000 0.000 0.000 0.000 0.000
10 50.000 50.000 42.308 47.436 2.564 0.000 0.000 0.000 0.000 0.000
11 50.000 38.462 50.000 46.154 3.846 0.000 0.000 0.000 0.000 0.000
12 57.692 57.692 34.615 50.000 7.692 0.000 0.000 0.000 0.000 0.000
13 42.308 30.769 34.615 35.897 3.392 0.000 0.000 0.000 0.000 0.000
14 50.000 50.000 30.769 43.590 6.410 0.000 0.000 0.000 0.000 0.000
15 65.385 42.308 50.000 52.564 6.784 1.562 0.000 0.000 0.521 0.521
16 69.231 50.000 53.846 57.692 5.875 0.000 0.000 0.000 0.000 0.000
17 73.077 73.077 53.846 66.667 6.410 0.000 0.000 0.000 0.000 0.000
18 46.154 57.692 53.846 52.564 3.392 0.000 0.000 0.000 0.000 0.000
19 69.231 76.923 34.615 60.256 13.011 0.000 0.000 0.000 0.000 0.000
20 57.692 69.231 57.692 61.538 3.846 0.000 0.000 0.000 0.000 0.000
21 53.846 65.385 53.846 57.692 3.846 0.000 0.000 0.000 0.000 0.000
22 26.923 42.308 69.231 46.154 12.364 0.000 0.000 0.000 0.000 0.000
23 53.846 61.538 50.000 55.128 3.392 0.000 0.000 0.000 0.000 0.000
24 42.308 30.769 57.692 43.590 7.798 0.000 0.000 0.000 0.000 0.000
25 38.462 46.154 53.846 46.154 4.441 0.000 0.000 0.000 0.000 0.000
26 50.000 30.769 69.231 50.000 11.103 0.000 0.000 0.000 0.000 0.000
27 53.846 57.692 57.692 56.410 1.282 0.000 0.000 0.000 0.000 0.000
28 57.692 69.231 46.154 57.692 6.662 0.000 0.000 0.000 0.000 0.000
29 57.692 38.462 46.154 47.436 5.588 0.000 0.000 0.000 0.000 0.000
30 61.538 53.846 38.462 51.282 6.784 1.562 0.000 0.000 0.521 0.521
31 42.308 46.154 57.692 48.718 4.623 0.000 0.000 0.000 0.000 0.000
32 50.000 19.231 61.538 43.590 12.627 3.125 0.000 0.000 1.042 1.042
33 53.846 42.308 53.846 50.000 3.846 0.000 0.000 0.000 0.000 0.000
34 69.231 46.154 65.385 60.256 7.138 0.000 0.000 0.000 0.000 0.000
35 61.538 46.154 46.154 51.282 5.128 0.000 0.000 0.000 0.000 0.000
36 30.769 50.000 30.769 37.179 6.410 0.000 0.000 0.000 0.000 0.000
37 46.154 73.077 46.154 55.128 8.974 0.000 0.000 0.000 0.000 0.000
38 69.231 42.308 34.615 48.718 10.494 0.000 0.000 0.000 0.000 0.000
39 53.846 65.385 46.154 55.128 5.588 0.000 0.000 0.000 0.000 0.000
40 50.000 57.692 46.154 51.282 3.392 0.000 0.000 0.000 0.000 0.000
41 42.308 30.769 50.000 41.026 5.588 0.000 0.000 0.000 0.000 0.000
42 61.538 57.692 69.231 62.821 3.392 0.000 0.000 0.000 0.000 0.000
43 34.615 46.154 57.692 46.154 6.662 0.000 0.000 0.000 0.000 0.000
44 65.385 50.000 23.077 46.154 12.364 0.000 0.000 0.000 0.000 0.000
45 50.000 42.308 46.154 46.154 2.221 0.000 0.000 0.000 0.000 0.000
46 26.923 26.923 42.308 32.051 5.128 0.000 0.000 0.000 0.000 0.000
47 38.462 61.538 42.308 47.436 7.138 4.688 0.000 0.000 1.562 1.562
48 53.846 34.615 42.308 43.590 5.588 4.688 0.000 0.000 1.562 1.562
49 30.769 57.692 46.154 44.872 7.798 0.000 0.000 0.000 0.000 0.000
50 57.692 53.846 34.615 48.718 7.138 0.000 0.000 0.000 0.000 0.000
51 61.538 57.692 73.077 64.103 4.623 0.000 0.000 0.000 0.000 0.000
52 38.462 38.462 46.154 41.026 2.564 0.000 0.000 0.000 0.000 0.000
53 61.538 50.000 57.692 56.410 3.392 0.000 0.000 0.000 0.000 0.000
54 53.846 84.615 65.385 67.949 8.974 0.000 0.000 0.000 0.000 0.000
55 65.385 53.846 34.615 51.282 8.974 0.000 0.000 0.000 0.000 0.000
56 53.846 50.000 46.154 50.000 2.221 0.000 0.000 0.000 0.000 0.000
57 46.154 53.846 61.538 53.846 4.441 0.000 0.000 0.000 0.000 0.000
58 50.000 46.154 34.615 43.590 4.623 0.000 0.000 0.000 0.000 0.000
59 53.846 50.000 57.692 53.846 2.221 0.000 0.000 0.000 0.000 0.000
60 61.538 42.308 53.846 52.564 5.588 0.000 0.000 0.000 0.000 0.000
61 61.538 42.308 61.538 55.128 6.410 0.000 0.000 0.000 0.000 0.000
62 53.846 69.231 46.154 56.410 6.784 0.000 0.000 0.000 0.000 0.000
63 50.000 38.462 53.846 47.436 4.623 0.000 0.000 0.000 0.000 0.000
64 69.231 42.308 42.308 51.282 8.974 0.000 0.000 0.000 0.000 0.000
65 30.769 50.000 50.000 43.590 6.410 0.000 0.000 0.000 0.000 0.000
66 73.077 46.154 100.000 73.077 15.544 0.000 0.000 0.000 0.000 0.000
67 42.308 42.308 69.231 51.282 8.974 0.000 0.000 0.000 0.000 0.000
68 46.154 57.692 50.000 51.282 3.392 3.125 0.000 0.000 1.042 1.042
69 34.615 61.538 50.000 48.718 7.798 0.000 0.000 0.000 0.000 0.000
70 61.538 50.000 26.923 46.154 10.176 0.000 0.000 0.000 0.000 0.000
71 34.615 73.077 50.000 52.564 11.177 0.000 0.000 0.000 0.000 0.000
72 46.154 50.000 80.769 58.974 10.954 0.000 0.000 0.000 0.000 0.000
73 42.308 65.385 42.308 50.000 7.692 0.000 0.000 0.000 0.000 0.000
74 53.846 38.462 76.923 56.410 11.177 0.000 0.000 0.000 0.000 0.000
75 69.231 46.154 57.692 57.692 6.662 0.000 0.000 0.000 0.000 0.000
76 38.462 50.000 53.846 47.436 4.623 0.000 0.000 0.000 0.000 0.000
77 57.692 30.769 38.462 42.308 8.006 0.000 0.000 0.000 0.000 0.000
78 65.385 50.000 57.692 57.692 4.441 1.562 0.000 0.000 0.521 0.521
79 42.308 50.000 61.538 51.282 5.588 1.562 0.000 0.000 0.521 0.521
80 50.000 65.385 34.615 50.000 8.882 0.000 0.000 0.000 0.000 0.000
81 53.846 57.692 34.615 48.718 7.138 1.562 0.000 0.000 0.521 0.521
82 50.000 42.308 42.308 44.872 2.564 1.562 0.000 0.000 0.521 0.521
83 61.538 53.846 46.154 53.846 4.441 0.000 0.000 0.000 0.000 0.000
84 50.000 42.308 38.462 43.590 3.392 0.000 0.000 0.000 0.000 0.000
85 19.231 57.692 42.308 39.744 11.177 0.000 0.000 0.000 0.000 0.000
86 42.308 53.846 46.154 47.436 3.392 1.562 0.000 0.000 0.521 0.521
87 53.846 65.385 80.769 66.667 7.798 1.562 0.000 0.000 0.521 0.521
88 65.385 50.000 57.692 57.692 4.441 0.000 0.000 0.000 0.000 0.000
89 38.462 61.538 53.846 51.282 6.784 0.000 0.000 0.000 0.000 0.000
90 42.308 53.846 57.692 51.282 4.623 0.000 0.000 0.000 0.000 0.000
91 38.462 50.000 42.308 43.590 3.392 0.000 0.000 0.000 0.000 0.000
92 53.846 50.000 65.385 56.410 4.623 0.000 0.000 0.000 0.000 0.000
93 38.462 26.923 57.692 41.026 8.974 0.000 0.000 0.000 0.000 0.000
94 46.154 53.846 34.615 44.872 5.588 0.000 0.000 0.000 0.000 0.000
95 34.615 53.846 57.692 48.718 7.138 0.000 0.000 0.000 0.000 0.000
96 34.615 57.692 65.385 52.564 9.245 0.000 0.000 0.000 0.000 0.000
97 57.692 42.308 38.462 46.154 5.875 0.000 0.000 0.000 0.000 0.000
98 61.538 30.769 69.231 53.846 11.750 0.000 0.000 0.000 0.000 0.000
99 57.692 34.615 42.308 44.872 6.784 0.000 0.000 0.000 0.000 0.000
100 65.385 53.846 50.000 56.410 4.623 0.000 0.000 0.000 0.000 0.000
101 61.538 57.692 46.154 55.128 4.623 0.000 0.000 0.000 0.000 0.000
102 65.385 69.231 46.154 60.256 7.138 0.000 0.000 0.000 0.000 0.000
103 57.692 69.231 30.769 52.564 11.395 0.000 0.000 0.000 0.000 0.000
104 38.462 61.538 53.846 51.282 6.784 0.000 0.000 0.000 0.000 0.000
105 42.308 42.308 76.923 53.846 11.538 0.000 0.000 0.000 0.000 0.000
106 53.846 50.000 38.462 47.436 4.623 0.000 0.000 0.000 0.000 0.000
107 69.231 69.231 46.154 61.538 7.692 0.000 0.000 0.000 0.000 0.000
108 38.462 61.538 50.000 50.000 6.662 0.000 0.000 0.000 0.000 0.000
109 34.615 57.692 76.923 56.410 12.230 0.000 0.000 0.000 0.000 0.000
110 57.692 38.462 53.846 50.000 5.875 0.000 0.000 0.000 0.000 0.000
111 50.000 46.154 30.769 42.308 5.875 0.000 0.000 0.000 0.000 0.000
112 57.692 23.077 38.462 39.744 10.013 0.000 0.000 0.000 0.000 0.000
113 46.154 38.462 50.000 44.872 3.392 0.000 0.000 0.000 0.000 0.000
114 84.615 34.615 53.846 57.692 14.561 0.000 0.000 0.000 0.000 0.000
115 50.000 50.000 61.538 53.846 3.846 0.000 0.000 0.000 0.000 0.000
116 53.846 61.538 30.769 48.718 9.245 0.000 0.000 0.000 0.000 0.000
117 23.077 42.308 42.308 35.897 6.410 0.000 0.000 0.000 0.000 0.000
118 38.462 57.692 38.462 44.872 6.410 0.000 0.000 0.000 0.000 0.000
119 50.000 42.308 73.077 55.128 9.245 0.000 0.000 0.000 0.000 0.000
120 42.308 50.000 84.615 58.974 13.011 0.000 0.000 0.000 0.000 0.000
121 42.308 73.077 53.846 56.410 8.974 0.000 0.000 0.000 0.000 0.000
122 38.462 65.385 34.615 46.154 9.679 0.000 0.000 0.000 0.000 0.000
123 57.692 50.000 34.615 47.436 6.784 0.000 0.000 0.000 0.000 0.000
124 26.923 50.000 46.154 41.026 7.138 0.000 0.000 0.000 0.000 0.000
125 34.615 53.846 46.154 44.872 5.588 0.000 0.000 0.000 0.000 0.000
126 61.538 65.385 57.692 61.538 2.221 0.000 0.000 0.000 0.000 0.000
127 80.769 42.308 69.231 64.103 11.395 0.000 0.000 0.000 0.000 0.000
128 46.154 50.000 61.538 52.564 4.623 0.000 0.000 0.000 0.000 0.000
129 50.000 34.615 42.308 42.308 4.441 0.000 0.000 0.000 0.000 0.000
130 50.000 65.385 46.154 53.846 5.875 0.000 0.000 0.000 0.000 0.000
131 46.154 50.000 61.538 52.564 4.623 0.000 0.000 0.000 0.000 0.000
132 30.769 50.000 61.538 47.436 8.974 0.000 0.000 0.000 0.000 0.000
133 38.462 42.308 46.154 42.308 2.221 0.000 0.000 0.000 0.000 0.000
134 46.154 38.462 69.231 51.282 9.245 0.000 0.000 0.000 0.000 0.000
135 57.692 30.769 57.692 48.718 8.974 0.000 0.000 0.000 0.000 0.000
136 38.462 34.615 42.308 38.462 2.221 0.000 0.000 0.000 0.000 0.000
137 30.769 50.000 80.769 53.846 14.561 0.000 0.000 0.000 0.000 0.000
138 30.769 50.000 61.538 47.436 8.974 0.000 0.000 0.000 0.000 0.000
139 38.462 46.154 30.769 38.462 4.441 0.000 0.000 0.000 0.000 0.000
