#resid average_duration max_duration persistent_contacts
1 4.404865334491746 62 1151
10 3.967824967824968 28 777
11 4.19175911251981 40 1262
12 4.028430160692213 20 809
13 4.042394014962594 55 802
14 4.014462809917355 56 484
15 3.9461883408071747 30 1115
16 3.8639774859287055 23 1066
17 3.969502407704655 31 1246
18 3.831381733021077 17 427
19 4.305923961096375 62 1131
2 3.9505358615004122 29 1213
20 3.951501154734411 46 433
21 3.97121083827265 44 1181
22 4.333056478405315 50 1204
23 4.02289452166803 47 1223
24 4.001051524710831 56 951
25 4.127490039840637 44 1004
26 4.1028615622583136 53 1293
3 4.08095952023988 42 667
4 4.184742647058823 47 1088
5 4.308605341246291 21 1011
6 3.9055299539170507 55 1302
7 4.127308066083576 44 1029
8 3.778409090909091 36 880
9 3.8537931034482757 28 725
#TOTAL_CONTACTS 66654 for 10100 frames
