#resid average_duration max_duration persistent_contacts
1 3.986763732627399 28 1511
10 4.068493150684931 39 876
11 4.002645502645502 39 1512
12 4.0541427399507795 34 1219
13 3.8602779809802485 24 1367
14 4.07924921793535 43 959
15 4.062460567823344 34 1585
16 4.135693215339233 31 339
17 3.7793493635077793 39 1414
18 3.6548442906574397 24 1156
19 4.038781163434903 27 1444
2 4.018638573743922 34 1234
20 4.049110922946656 48 1181
21 4.0163690476190474 30 1344
22 3.966876971608833 48 1268
23 3.964216005204945 28 1537
24 4.004538577912254 24 1322
25 3.836719337848006 27 1329
26 4.015815959741193 31 1391
3 3.928030303030303 43 792
4 4.019354838709678 39 930
5 3.934090909090909 29 1320
6 3.9916067146282974 50 1668
7 3.9211309523809526 21 672
8 4.063745019920319 50 1506
9 4.032503457814661 39 1446
#TOTAL_CONTACTS 82877 for 10100 frames
