#resid avg_dur_moy avg_dur_se max_dur_moy max_dur_se contacts_moy contacts_se
0 0.000 0.000 44939.333 39995.747 0.000 0.000
1 0.000 0.000 44808.000 39864.244 0.000 0.000
2 0.000 0.000 44540.000 39596.447 0.000 0.000
3 0.000 0.000 41656.000 36720.365 0.000 0.000
4 0.000 0.000 43859.333 38916.619 0.000 0.000
5 0.000 0.000 40007.333 35313.628 0.000 0.000
