#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.083 2.023 2.114 3 3 3 36 44 44
10 2.167 2.056 2.176 4 3 3 30 36 34
11 2.103 2.073 2.037 3 3 3 29 41 27
12 2.000 2.191 2.163 2 4 3 50 47 43
13 2.114 2.059 2.194 3 3 3 44 51 31
14 2.147 2.108 2.209 3 3 3 34 37 43
15 2.194 2.140 2.125 3 5 3 36 50 32
16 2.096 2.147 2.051 3 4 3 52 34 39
17 2.267 2.231 2.074 4 3 3 45 39 27
18 2.095 2.074 2.107 3 3 3 42 54 28
19 2.130 2.119 2.200 3 3 4 46 42 35
2 2.116 2.170 2.057 4 5 3 43 53 35
20 2.188 2.122 2.067 4 5 3 48 41 45
21 2.083 2.176 2.059 3 5 3 60 51 34
22 2.150 2.065 2.121 4 3 4 40 46 33
23 2.095 2.077 2.154 3 3 3 42 39 39
24 2.036 2.104 2.029 3 3 3 28 48 34
25 2.085 2.094 2.000 3 3 2 47 32 27
26 2.143 2.062 2.114 4 3 4 42 32 35
3 2.136 2.206 2.062 3 4 3 44 34 32
4 2.121 2.044 2.027 3 3 3 33 45 37
5 2.107 2.020 2.032 4 3 3 28 49 31
6 2.119 2.093 2.029 3 3 3 42 43 34
7 2.196 2.105 2.061 4 3 3 51 38 33
8 2.061 2.143 2.152 3 4 4 33 28 33
9 2.027 2.093 2.114 3 3 3 37 54 35
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 6782 6957 6328 601
