#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
0 61.538 84.615 65.385 70.513 7.138 0.000 0.000 0.000 0.000 0.000
1 92.308 92.308 53.846 79.487 12.821 0.000 0.000 0.000 0.000 0.000
2 80.769 92.308 61.538 78.205 8.974 0.000 0.000 0.000 0.000 0.000
3 76.923 80.769 57.692 71.795 7.138 0.000 0.000 0.000 0.000 0.000
4 100.000 76.923 57.692 78.205 12.230 0.000 0.000 0.000 0.000 0.000
5 76.923 57.692 84.615 73.077 8.006 0.000 0.000 0.000 0.000 0.000
6 53.846 61.538 65.385 60.256 3.392 0.000 0.000 0.000 0.000 0.000
7 80.769 69.231 88.462 79.487 5.588 0.000 0.000 0.000 0.000 0.000
8 84.615 65.385 76.923 75.641 5.588 0.000 0.000 0.000 0.000 0.000
9 84.615 69.231 69.231 74.359 5.128 0.000 0.000 0.000 0.000 0.000
10 84.615 65.385 65.385 71.795 6.410 0.000 0.000 0.000 0.000 0.000
11 92.308 76.923 61.538 76.923 8.882 0.000 0.000 0.000 0.000 0.000
12 100.000 50.000 69.231 73.077 14.561 0.000 0.000 0.000 0.000 0.000
13 69.231 69.231 69.231 69.231 0.000 0.000 0.000 0.000 0.000 0.000
14 80.769 57.692 46.154 61.538 10.176 0.000 0.000 0.000 0.000 0.000
15 65.385 73.077 76.923 71.795 3.392 0.000 0.000 0.000 0.000 0.000
16 65.385 61.538 65.385 64.103 1.282 0.000 0.000 0.000 0.000 0.000
17 76.923 61.538 84.615 74.359 6.784 0.000 0.000 0.000 0.000 0.000
18 84.615 76.923 65.385 75.641 5.588 0.000 0.000 0.000 0.000 0.000
19 84.615 84.615 73.077 80.769 3.846 0.000 0.000 0.000 0.000 0.000
20 76.923 84.615 57.692 73.077 8.006 0.000 0.000 0.000 0.000 0.000
21 69.231 76.923 76.923 74.359 2.564 0.000 0.000 0.000 0.000 0.000
22 61.538 84.615 69.231 71.795 6.784 0.000 0.000 0.000 0.000 0.000
23 80.769 76.923 61.538 73.077 5.875 0.000 0.000 0.000 0.000 0.000
24 84.615 53.846 76.923 71.795 9.245 0.000 0.000 0.000 0.000 0.000
25 84.615 65.385 73.077 74.359 5.588 0.000 0.000 0.000 0.000 0.000
26 88.462 61.538 69.231 73.077 8.006 0.000 0.000 0.000 0.000 0.000
27 84.615 84.615 73.077 80.769 3.846 0.000 0.000 0.000 0.000 0.000
28 76.923 69.231 69.231 71.795 2.564 0.000 0.000 0.000 0.000 0.000
29 65.385 84.615 76.923 75.641 5.588 0.000 0.000 0.000 0.000 0.000
30 61.538 73.077 76.923 70.513 4.623 0.000 0.000 0.000 0.000 0.000
31 65.385 92.308 76.923 78.205 7.798 0.000 0.000 0.000 0.000 0.000
32 76.923 80.769 69.231 75.641 3.392 0.000 0.000 0.000 0.000 0.000
33 65.385 80.769 69.231 71.795 4.623 0.000 0.000 0.000 0.000 0.000
34 76.923 76.923 76.923 76.923 0.000 0.000 0.000 0.000 0.000 0.000
35 53.846 73.077 73.077 66.667 6.410 0.000 0.000 0.000 0.000 0.000
36 73.077 76.923 84.615 78.205 3.392 0.000 0.000 0.000 0.000 0.000
37 76.923 76.923 69.231 74.359 2.564 0.000 0.000 0.000 0.000 0.000
38 76.923 76.923 76.923 76.923 0.000 0.000 0.000 0.000 0.000 0.000
39 73.077 61.538 69.231 67.949 3.392 0.000 0.000 0.000 0.000 0.000
40 84.615 65.385 57.692 69.231 8.006 0.000 0.000 0.000 0.000 0.000
41 84.615 92.308 65.385 80.769 8.006 0.000 0.000 0.000 0.000 0.000
42 69.231 65.385 69.231 67.949 1.282 0.000 0.000 0.000 0.000 0.000
43 69.231 80.769 65.385 71.795 4.623 0.000 0.000 0.000 0.000 0.000
44 69.231 57.692 61.538 62.821 3.392 0.000 0.000 0.000 0.000 0.000
45 57.692 92.308 84.615 78.205 10.494 0.000 0.000 0.000 0.000 0.000
46 76.923 73.077 61.538 70.513 4.623 0.000 0.000 0.000 0.000 0.000
47 76.923 69.231 69.231 71.795 2.564 0.000 0.000 0.000 0.000 0.000
48 65.385 73.077 84.615 74.359 5.588 0.000 0.000 0.000 0.000 0.000
49 76.923 57.692 61.538 65.385 5.875 0.000 0.000 0.000 0.000 0.000
50 76.923 80.769 84.615 80.769 2.221 0.000 0.000 0.000 0.000 0.000
51 80.769 73.077 80.769 78.205 2.564 0.000 0.000 0.000 0.000 0.000
52 84.615 88.462 76.923 83.333 3.392 0.000 0.000 0.000 0.000 0.000
53 69.231 69.231 92.308 76.923 7.692 0.000 0.000 0.000 0.000 0.000
54 84.615 76.923 69.231 76.923 4.441 0.000 0.000 0.000 0.000 0.000
55 69.231 73.077 76.923 73.077 2.221 0.000 0.000 0.000 0.000 0.000
56 69.231 84.615 57.692 70.513 7.798 0.000 0.000 0.000 0.000 0.000
57 76.923 84.615 76.923 79.487 2.564 0.000 0.000 0.000 0.000 0.000
58 61.538 88.462 46.154 65.385 12.364 0.000 0.000 0.000 0.000 0.000
59 76.923 84.615 69.231 76.923 4.441 0.000 0.000 0.000 0.000 0.000
60 76.923 84.615 80.769 80.769 2.221 0.000 0.000 0.000 0.000 0.000
61 92.308 69.231 84.615 82.051 6.784 0.000 0.000 0.000 0.000 0.000
62 65.385 61.538 73.077 66.667 3.392 0.000 0.000 0.000 0.000 0.000
63 57.692 84.615 61.538 67.949 8.407 0.000 0.000 0.000 0.000 0.000
64 65.385 76.923 100.000 80.769 10.176 0.000 0.000 0.000 0.000 0.000
65 80.769 92.308 84.615 85.897 3.392 0.000 0.000 0.000 0.000 0.000
