#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.111 2.091 2.300 3 3 4 9 11 10
10 2.000 2.100 2.091 2 3 3 14 10 11
11 2.000 2.059 2.143 2 3 3 5 17 7
12 2.000 2.125 2.267 2 3 4 4 8 15
13 2.100 2.000 2.000 3 2 2 10 11 17
14 2.000 2.071 2.286 2 3 3 9 14 7
15 2.000 2.300 2.077 2 3 3 4 10 13
16 2.000 2.000 2.333 2 2 3 7 6 12
17 2.000 2.182 2.500 2 3 4 9 11 6
18 2.000 2.000 2.167 2 2 4 8 8 12
19 2.133 2.143 2.062 3 3 3 15 7 16
2 2.133 2.083 2.143 3 3 3 15 12 7
20 2.000 2.143 2.000 2 3 2 10 7 14
21 2.000 2.000 2.000 2 2 2 8 11 7
22 2.000 2.067 2.400 2 3 4 9 15 5
23 2.000 2.000 2.077 2 2 3 14 15 13
24 2.000 2.091 2.214 2 3 4 7 11 14
25 2.000 2.077 2.091 2 3 3 7 13 11
26 2.000 2.000 2.071 2 2 3 9 11 14
3 2.125 2.125 2.091 3 3 3 8 8 11
4 2.000 2.143 2.231 2 3 4 10 7 13
5 2.083 2.125 2.214 3 3 3 12 8 14
6 2.167 2.125 2.083 3 3 3 6 8 12
7 2.067 2.167 2.188 3 3 3 15 12 16
8 2.100 2.067 2.235 3 3 4 10 15 17
9 2.250 2.062 2.000 3 3 2 12 16 12
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 2468 2398 2279 601
