#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.000 3.000 2.667 2 5 4 1 5 3
10 3.429 2.800 0.000 10 4 0 7 5 0
11 3.667 2.000 0.000 5 2 0 3 2 0
12 2.750 2.500 2.000 4 3 2 4 6 1
13 2.800 2.000 0.000 6 2 0 5 1 0
14 3.600 2.667 2.000 10 4 2 5 3 3
15 2.000 2.000 0.000 2 2 0 1 1 0
16 2.000 2.250 3.000 2 3 7 4 4 5
17 2.200 2.600 3.333 3 3 4 5 5 3
18 2.000 3.111 0.000 2 5 0 2 9 0
19 2.000 2.600 0.000 2 4 0 2 10 0
2 3.000 2.200 2.000 4 3 2 2 5 2
20 4.000 3.000 2.000 8 7 2 3 13 1
21 2.250 2.667 2.500 3 4 4 4 3 4
22 2.000 3.333 2.875 2 5 4 4 3 8
23 2.000 2.000 2.500 2 2 4 2 1 4
24 2.000 2.000 2.500 2 2 4 3 1 4
25 4.500 2.000 2.333 8 2 3 4 1 3
26 2.000 2.000 3.200 2 2 4 2 4 5
3 2.000 2.667 0.000 2 4 0 3 6 0
4 2.800 2.000 2.400 6 2 4 5 7 5
5 3.000 3.500 2.000 4 5 2 2 2 2
6 3.667 3.800 2.000 5 7 2 6 5 2
7 2.000 2.500 3.000 2 4 4 1 4 3
8 3.167 2.000 3.500 5 2 7 6 1 4
9 2.250 4.000 2.000 3 4 2 4 1 4
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 746 812 789 601
