#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
0 65.385 80.769 100.000 82.051 10.013 0.000 1.562 0.000 0.521 0.521
1 84.615 69.231 69.231 74.359 5.128 0.000 0.000 0.000 0.000 0.000
2 73.077 76.923 84.615 78.205 3.392 0.000 0.000 0.000 0.000 0.000
3 84.615 76.923 84.615 82.051 2.564 0.000 0.000 0.000 0.000 0.000
4 80.769 84.615 76.923 80.769 2.221 0.000 1.562 0.000 0.521 0.521
5 76.923 84.615 76.923 79.487 2.564 0.000 0.000 0.000 0.000 0.000
6 76.923 84.615 84.615 82.051 2.564 0.000 0.000 0.000 0.000 0.000
7 61.538 76.923 84.615 74.359 6.784 0.000 0.000 0.000 0.000 0.000
8 73.077 92.308 92.308 85.897 6.410 0.000 0.000 0.000 0.000 0.000
9 61.538 76.923 80.769 73.077 5.875 0.000 0.000 0.000 0.000 0.000
10 73.077 65.385 84.615 74.359 5.588 0.000 0.000 0.000 0.000 0.000
11 80.769 80.769 92.308 84.615 3.846 0.000 0.000 0.000 0.000 0.000
12 69.231 76.923 92.308 79.487 6.784 0.000 0.000 0.000 0.000 0.000
13 84.615 38.462 69.231 64.103 13.568 0.000 0.000 0.000 0.000 0.000
14 92.308 73.077 84.615 83.333 5.588 0.000 0.000 0.000 0.000 0.000
15 100.000 57.692 80.769 79.487 12.230 0.000 0.000 0.000 0.000 0.000
16 92.308 61.538 76.923 76.923 8.882 0.000 0.000 0.000 0.000 0.000
17 100.000 61.538 69.231 76.923 11.750 0.000 0.000 0.000 0.000 0.000
18 92.308 61.538 73.077 75.641 8.974 0.000 0.000 0.000 0.000 0.000
19 84.615 65.385 73.077 74.359 5.588 0.000 0.000 0.000 0.000 0.000
20 84.615 76.923 80.769 80.769 2.221 0.000 0.000 0.000 0.000 0.000
21 84.615 92.308 69.231 82.051 6.784 0.000 0.000 0.000 0.000 0.000
22 80.769 84.615 53.846 73.077 9.679 0.000 0.000 0.000 0.000 0.000
23 92.308 84.615 50.000 75.641 13.011 0.000 0.000 0.000 0.000 0.000
24 84.615 92.308 73.077 83.333 5.588 0.000 0.000 0.000 0.000 0.000
25 84.615 92.308 76.923 84.615 4.441 0.000 0.000 0.000 0.000 0.000
26 61.538 84.615 69.231 71.795 6.784 0.000 0.000 0.000 0.000 0.000
27 65.385 76.923 80.769 74.359 4.623 0.000 0.000 0.000 0.000 0.000
28 76.923 76.923 76.923 76.923 0.000 0.000 0.000 0.000 0.000 0.000
29 76.923 92.308 76.923 82.051 5.128 0.000 0.000 0.000 0.000 0.000
30 73.077 84.615 73.077 76.923 3.846 0.000 0.000 0.000 0.000 0.000
31 92.308 76.923 76.923 82.051 5.128 0.000 0.000 0.000 0.000 0.000
32 92.308 69.231 76.923 79.487 6.784 0.000 0.000 0.000 0.000 0.000
33 92.308 84.615 73.077 83.333 5.588 0.000 0.000 1.562 0.521 0.521
34 69.231 92.308 65.385 75.641 8.407 0.000 0.000 0.000 0.000 0.000
35 73.077 88.462 73.077 78.205 5.128 0.000 0.000 1.562 0.521 0.521
36 73.077 69.231 65.385 69.231 2.221 0.000 0.000 1.562 0.521 0.521
37 80.769 69.231 92.308 80.769 6.662 0.000 0.000 0.000 0.000 0.000
38 76.923 84.615 76.923 79.487 2.564 0.000 0.000 1.562 0.521 0.521
39 80.769 61.538 76.923 73.077 5.875 0.000 0.000 0.000 0.000 0.000
40 73.077 80.769 73.077 75.641 2.564 0.000 0.000 0.000 0.000 0.000
41 76.923 84.615 73.077 78.205 3.392 0.000 0.000 0.000 0.000 0.000
42 69.231 84.615 73.077 75.641 4.623 0.000 0.000 0.000 0.000 0.000
43 57.692 80.769 42.308 60.256 11.177 0.000 0.000 0.000 0.000 0.000
44 69.231 84.615 84.615 79.487 5.128 0.000 0.000 0.000 0.000 0.000
45 65.385 88.462 76.923 76.923 6.662 0.000 0.000 0.000 0.000 0.000
46 76.923 100.000 88.462 88.462 6.662 0.000 0.000 0.000 0.000 0.000
47 76.923 84.615 65.385 75.641 5.588 0.000 0.000 0.000 0.000 0.000
48 84.615 73.077 84.615 80.769 3.846 0.000 0.000 0.000 0.000 0.000
49 84.615 73.077 84.615 80.769 3.846 0.000 0.000 0.000 0.000 0.000
50 73.077 65.385 92.308 76.923 8.006 0.000 0.000 0.000 0.000 0.000
51 76.923 69.231 92.308 79.487 6.784 0.000 0.000 0.000 0.000 0.000
52 76.923 73.077 76.923 75.641 1.282 0.000 0.000 0.000 0.000 0.000
53 92.308 69.231 76.923 79.487 6.784 0.000 0.000 0.000 0.000 0.000
54 61.538 84.615 92.308 79.487 9.245 0.000 0.000 0.000 0.000 0.000
55 84.615 69.231 80.769 78.205 4.623 0.000 0.000 0.000 0.000 0.000
56 92.308 76.923 84.615 84.615 4.441 0.000 1.562 0.000 0.521 0.521
57 84.615 61.538 92.308 79.487 9.245 0.000 1.562 0.000 0.521 0.521
58 76.923 76.923 100.000 84.615 7.692 0.000 0.000 0.000 0.000 0.000
59 84.615 84.615 84.615 84.615 0.000 0.000 0.000 0.000 0.000 0.000
60 92.308 84.615 92.308 89.744 2.564 0.000 0.000 0.000 0.000 0.000
61 92.308 73.077 84.615 83.333 5.588 0.000 0.000 0.000 0.000 0.000
62 61.538 73.077 84.615 73.077 6.662 0.000 0.000 0.000 0.000 0.000
63 69.231 80.769 84.615 78.205 4.623 0.000 0.000 0.000 0.000 0.000
64 80.769 84.615 73.077 79.487 3.392 0.000 0.000 0.000 0.000 0.000
65 76.923 65.385 84.615 75.641 5.588 0.000 0.000 0.000 0.000 0.000
66 80.769 92.308 84.615 85.897 3.392 0.000 0.000 0.000 0.000 0.000
