#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.029 2.167 2.000 3 3 2 35 24 33
10 2.069 2.129 2.133 3 3 4 29 31 30
11 2.104 2.073 2.122 3 3 4 48 41 41
12 2.038 2.054 2.222 3 3 3 26 37 27
13 2.049 2.040 2.037 3 3 3 41 25 27
14 2.222 2.080 2.032 5 3 3 36 25 31
15 2.000 2.042 2.067 2 3 3 30 24 30
16 2.088 2.091 2.000 5 3 2 34 33 33
17 2.037 2.200 2.037 3 3 3 27 20 27
18 2.062 2.091 2.121 3 4 3 32 33 33
19 2.077 2.034 2.056 3 3 3 26 29 36
2 2.000 2.083 2.050 2 3 3 34 36 20
20 2.065 2.094 2.059 3 3 3 31 32 34
21 2.098 2.038 2.038 3 3 3 41 26 26
22 2.097 2.111 2.000 4 3 2 31 45 29
23 2.087 2.054 2.059 3 3 3 23 37 34
24 2.043 2.121 2.206 3 3 3 23 33 34
25 2.087 2.000 2.200 3 2 4 23 35 25
26 2.147 2.032 2.031 3 3 3 34 31 32
3 2.000 2.054 2.056 2 3 3 29 37 36
4 2.029 2.030 2.162 3 3 3 34 33 37
5 2.026 2.200 2.111 3 5 3 38 35 36
6 2.065 2.138 2.115 3 3 4 31 29 26
7 2.029 2.075 2.057 3 3 3 35 40 35
8 2.188 2.026 2.077 5 3 3 32 39 39
9 2.212 2.159 2.086 5 5 3 33 44 35
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 6553 6701 6676 601
