#frame monomer_traj1 monomer_traj2 monomer_traj3 monomer_moy standard_error popc_alone_traj1 popc_alone_traj2 popc_alone_traj3 popc_alone_moy standard_error
74 30.769 42.308 38.462 37.179 3.392 0.000 0.000 0.000 0.000 0.000
75 30.769 50.000 23.077 34.615 8.006 0.000 0.000 0.000 0.000 0.000
76 38.462 38.462 30.769 35.897 2.564 0.000 0.000 0.000 0.000 0.000
77 34.615 34.615 23.077 30.769 3.846 0.000 0.000 0.000 0.000 0.000
78 46.154 38.462 61.538 48.718 6.784 0.000 0.000 0.000 0.000 0.000
79 30.769 30.769 57.692 39.744 8.974 0.000 0.000 0.000 0.000 0.000
80 38.462 50.000 46.154 44.872 3.392 0.000 0.000 0.000 0.000 0.000
81 53.846 57.692 65.385 58.974 3.392 0.000 0.000 0.000 0.000 0.000
82 38.462 19.231 38.462 32.051 6.410 0.000 0.000 0.000 0.000 0.000
83 38.462 42.308 76.923 52.564 12.230 0.000 0.000 0.000 0.000 0.000
84 57.692 50.000 42.308 50.000 4.441 0.000 0.000 0.000 0.000 0.000
85 42.308 57.692 46.154 48.718 4.623 0.000 0.000 0.000 0.000 0.000
86 42.308 30.769 61.538 44.872 8.974 0.000 0.000 0.000 0.000 0.000
87 50.000 38.462 50.000 46.154 3.846 0.000 0.000 0.000 0.000 0.000
88 30.769 50.000 57.692 46.154 8.006 0.000 0.000 0.000 0.000 0.000
89 46.154 46.154 50.000 47.436 1.282 0.000 0.000 0.000 0.000 0.000
90 57.692 42.308 50.000 50.000 4.441 0.000 0.000 0.000 0.000 0.000
91 53.846 61.538 38.462 51.282 6.784 0.000 0.000 0.000 0.000 0.000
92 42.308 34.615 38.462 38.462 2.221 0.000 0.000 0.000 0.000 0.000
93 38.462 34.615 50.000 41.026 4.623 0.000 0.000 0.000 0.000 0.000
94 34.615 38.462 34.615 35.897 1.282 0.000 0.000 0.000 0.000 0.000
95 46.154 38.462 23.077 35.897 6.784 0.000 0.000 0.000 0.000 0.000
96 42.308 53.846 84.615 60.256 12.627 0.000 0.000 0.000 0.000 0.000
97 34.615 42.308 61.538 46.154 8.006 0.000 0.000 0.000 0.000 0.000
98 42.308 42.308 53.846 46.154 3.846 0.000 0.000 0.000 0.000 0.000
99 53.846 34.615 34.615 41.026 6.410 0.000 0.000 0.000 0.000 0.000
100 26.923 34.615 26.923 29.487 2.564 0.000 0.000 0.000 0.000 0.000
101 61.538 38.462 53.846 51.282 6.784 0.000 0.000 0.000 0.000 0.000
102 46.154 26.923 30.769 34.615 5.875 0.000 0.000 0.000 0.000 0.000
103 61.538 53.846 34.615 50.000 8.006 0.000 0.000 0.000 0.000 0.000
104 53.846 46.154 46.154 48.718 2.564 0.000 0.000 0.000 0.000 0.000
105 42.308 38.462 42.308 41.026 1.282 0.000 0.000 0.000 0.000 0.000
106 26.923 42.308 46.154 38.462 5.875 0.000 0.000 0.000 0.000 0.000
107 34.615 46.154 50.000 43.590 4.623 0.000 0.000 0.000 0.000 0.000
108 61.538 57.692 76.923 65.385 5.875 0.000 0.000 0.000 0.000 0.000
109 46.154 80.769 42.308 56.410 12.230 0.000 0.000 0.000 0.000 0.000
110 57.692 46.154 34.615 46.154 6.662 0.000 0.000 0.000 0.000 0.000
111 30.769 57.692 53.846 47.436 8.407 0.000 0.000 0.000 0.000 0.000
112 65.385 38.462 42.308 48.718 8.407 0.000 0.000 0.000 0.000 0.000
113 61.538 42.308 34.615 46.154 8.006 0.000 0.000 0.000 0.000 0.000
114 50.000 42.308 34.615 42.308 4.441 0.000 0.000 0.000 0.000 0.000
115 57.692 53.846 50.000 53.846 2.221 0.000 0.000 0.000 0.000 0.000
116 42.308 50.000 34.615 42.308 4.441 0.000 0.000 0.000 0.000 0.000
