#resid average_duration max_duration persistent_contacts
1 6.37037037037037 41 81
10 9.85135135135135 87 148
11 6.7898550724637685 98 138
12 8.096774193548388 48 62
13 7.324468085106383 67 188
14 9.046511627906977 57 86
15 10.544117647058824 78 68
16 7.323741007194244 55 139
17 9.677966101694915 73 59
18 7.394957983193278 74 119
19 7.901960784313726 60 51
2 10.92 180 100
20 9.173553719008265 188 121
21 9.410714285714286 66 168
22 6.85 50 80
23 9.267241379310345 180 116
24 6.850467289719626 79 107
25 9.952380952380953 127 126
26 5.859154929577465 50 71
3 8.297872340425531 79 94
4 7.651851851851852 74 135
5 7.945054945054945 78 91
6 12.397058823529411 188 68
7 10.95890410958904 127 146
8 10.951219512195122 79 123
9 10.117647058823529 52 51
#TOTAL_CONTACTS 13488 for 1000 frames
