#resid average_duration max_duration persistent_contacts
1 5.44 13 25
10 4.4 34 40
11 4.483870967741935 14 62
12 0 0 0
13 4.66 15 50
14 4.573770491803279 24 61
15 4.426470588235294 28 68
16 4.634615384615385 17 52
17 4.103448275862069 16 58
18 5.666666666666667 25 36
19 4.444444444444445 19 45
2 4.044776119402985 17 67
20 4.590909090909091 15 44
21 4.636363636363637 16 55
22 4.640625 17 64
23 5.2727272727272725 25 55
24 4.614285714285714 28 70
25 4.301369863013699 17 73
26 2.0 2 1
3 4.315068493150685 16 73
4 4.446808510638298 19 47
5 4.488095238095238 24 84
6 5.142857142857143 21 70
7 4.1875 13 32
8 5.166666666666667 34 18
9 3.8076923076923075 10 52
#TOTAL_CONTACTS 3528 for 1000 frames
