#resid average_duration max_duration persistent_contacts
1 5.0256410256410255 20 39
10 4.191489361702128 16 47
11 4.105263157894737 16 76
12 3.8863636363636362 11 44
13 4.0 16 49
14 4.590909090909091 16 44
15 4.555555555555555 20 45
16 4.391304347826087 13 46
17 7.333333333333333 31 15
18 4.264705882352941 13 34
19 3.9 15 60
2 4.181818181818182 8 22
20 2.0 2 2
21 3.9178082191780823 15 73
22 4.117647058823529 16 51
23 4.890410958904109 31 73
24 3.9782608695652173 17 46
25 7.142857142857143 20 7
26 4.116279069767442 11 43
3 4.611111111111111 16 72
4 3.0 4 2
5 3.566666666666667 20 60
6 4.341772151898734 17 79
7 4.117647058823529 17 34
8 4.0 13 27
9 3.9 12 40
#TOTAL_CONTACTS 2959 for 1000 frames
