#resid average_duration max_duration persistent_contacts
1 4.280851063829787 27 705
10 4.272 24 750
11 4.4557377049180324 40 610
12 4.454231433506045 85 579
13 4.4693200663349915 55 603
14 4.141206675224647 40 779
15 4.172651933701657 27 724
16 4.459821428571429 79 672
17 4.0394736842105265 23 760
18 4.07258064516129 22 620
19 4.268588770864947 28 659
2 4.17462482946794 40 733
20 4.188760806916426 27 694
21 4.032857142857143 28 700
22 4.101152368758003 79 781
23 4.265866209262436 40 583
24 4.2585227272727275 23 704
25 4.695195195195195 85 666
26 4.295485636114911 25 731
3 4.231231231231231 23 666
4 4.526936026936027 55 594
5 4.386459802538787 38 709
6 4.235724743777452 41 683
7 4.316493313521545 27 673
8 4.122938530734633 23 667
9 4.4858569051580695 33 601
#TOTAL_CONTACTS 46094 for 10100 frames
