#resid average_duration max_duration persistent_contacts
1 4.344632768361582 25 708
10 4.091503267973856 32 612
11 4.2110091743119265 22 654
12 4.189586114819759 27 749
13 4.273097826086956 31 736
14 4.181219110378913 25 607
15 4.368518518518519 68 540
16 4.136363636363637 21 704
17 4.305135951661631 26 662
18 4.343402225755167 56 629
19 4.401746724890829 56 687
2 4.165333333333334 30 750
20 4.342465753424658 27 584
21 4.244897959183674 68 490
22 4.286356821589205 26 667
23 4.255380200860833 31 697
24 4.257440476190476 27 672
25 4.219749652294854 23 719
26 4.314741035856573 25 753
3 4.188888888888889 25 630
4 4.279036827195467 27 706
5 4.092006033182503 32 663
6 4.326717557251908 25 655
7 4.224165341812401 26 629
8 4.5706051873198845 30 694
9 4.061728395061729 55 729
#TOTAL_CONTACTS 45017 for 9600 frames
