#resid average_duration max_duration persistent_contacts
1 4.302034428794992 21 639
10 4.399209486166008 31 759
11 4.459349593495935 57 738
12 4.1225710014947685 31 669
13 4.211287988422576 22 691
14 4.294520547945205 23 730
15 4.365139949109415 61 786
16 4.402756508422665 37 653
17 4.286703601108033 30 722
18 4.493392070484582 61 681
19 4.581787521079258 57 593
2 3.9799635701275045 20 549
20 4.210247349823321 49 566
21 4.228291316526611 37 714
22 4.104761904761904 32 525
23 4.38006230529595 50 642
24 4.386792452830188 38 742
25 4.385656292286874 23 739
26 4.09480122324159 24 654
3 4.388513513513513 32 592
4 4.316155988857939 89 718
5 4.656401944894651 25 617
6 4.5685670261941445 89 649
7 4.086956521739131 20 667
8 4.477464788732394 49 710
9 4.269179004037685 25 743
#TOTAL_CONTACTS 46385 for 10100 frames
