 -70.50	0.00000
 -69.50	0.00000
 -68.50	0.00003
 -67.50	0.00014
 -66.50	0.00038
 -65.50	0.00089
 -64.50	0.00173
 -63.50	0.00295
 -62.50	0.00429
 -61.50	0.00549
 -60.50	0.00635
 -59.50	0.00688
 -58.50	0.00722
 -57.50	0.00729
 -56.50	0.00723
 -55.50	0.00720
 -54.50	0.00715
 -53.50	0.00715
 -52.50	0.00716
 -51.50	0.00713
 -50.50	0.00708
 -49.50	0.00708
 -48.50	0.00694
 -47.50	0.00693
 -46.50	0.00692
 -45.50	0.00694
 -44.50	0.00694
 -43.50	0.00691
 -42.50	0.00683
 -41.50	0.00676
 -40.50	0.00668
 -39.50	0.00677
 -38.50	0.00678
 -37.50	0.00670
 -36.50	0.00669
 -35.50	0.00659
 -34.50	0.00646
 -33.50	0.00648
 -32.50	0.00657
 -31.50	0.00662
 -30.50	0.00670
 -29.50	0.00671
 -28.50	0.00654
 -27.50	0.00636
 -26.50	0.00616
 -25.50	0.00565
 -24.50	0.00501
 -23.50	0.00433
 -22.50	0.00377
 -21.50	0.00342
 -20.50	0.00377
 -19.50	0.00523
 -18.50	0.00856
 -17.50	0.01438
 -16.50	0.02329
 -15.50	0.03458
 -14.50	0.04617
 -13.50	0.05493
 -12.50	0.05789
 -11.50	0.05359
 -10.50	0.04427
  -9.50	0.03260
  -8.50	0.02171
  -7.50	0.01316
  -6.50	0.00722
  -5.50	0.00370
  -4.50	0.00178
  -3.50	0.00089
  -2.50	0.00058
  -1.50	0.00051
  -0.50	0.00052
   0.50	0.00060
   1.50	0.00067
   2.50	0.00083
   3.50	0.00119
   4.50	0.00209
   5.50	0.00393
   6.50	0.00743
   7.50	0.01339
   8.50	0.02227
   9.50	0.03399
  10.50	0.04627
  11.50	0.05656
  12.50	0.06032
  13.50	0.05652
  14.50	0.04678
  15.50	0.03476
  16.50	0.02330
  17.50	0.01457
  18.50	0.00892
  19.50	0.00557
  20.50	0.00396
  21.50	0.00363
  22.50	0.00400
  23.50	0.00472
  24.50	0.00554
  25.50	0.00619
  26.50	0.00669
  27.50	0.00693
  28.50	0.00705
  29.50	0.00701
  30.50	0.00702
  31.50	0.00689
  32.50	0.00687
  33.50	0.00682
  34.50	0.00675
  35.50	0.00676
  36.50	0.00674
  37.50	0.00675
  38.50	0.00683
  39.50	0.00687
  40.50	0.00681
  41.50	0.00677
  42.50	0.00682
  43.50	0.00691
  44.50	0.00697
  45.50	0.00697
  46.50	0.00704
  47.50	0.00703
  48.50	0.00704
  49.50	0.00712
  50.50	0.00717
  51.50	0.00721
  52.50	0.00716
  53.50	0.00719
  54.50	0.00708
  55.50	0.00702
  56.50	0.00708
  57.50	0.00707
  58.50	0.00701
  59.50	0.00697
  60.50	0.00694
  61.50	0.00699
  62.50	0.00692
  63.50	0.00656
  64.50	0.00586
  65.50	0.00478
  66.50	0.00343
  67.50	0.00214
  68.50	0.00120
  69.50	0.00056
  70.50	0.00023
  71.50	0.00007
  72.50	0.00002
  73.50	0.00000
  74.50	0.00000
  75.50	0.00000
