#batch avg_duration max_duration contacts_count
0 #TOTAL_CONTACTS 14901 for 1000 frames
1 #TOTAL_CONTACTS 14379 for 1000 frames
2 #TOTAL_CONTACTS 16297 for 1000 frames
3 #TOTAL_CONTACTS 14433 for 1000 frames
4 #TOTAL_CONTACTS 13969 for 1000 frames
5 #TOTAL_CONTACTS 14254 for 1000 frames
6 #TOTAL_CONTACTS 13195 for 1000 frames
7 #TOTAL_CONTACTS 12611 for 1000 frames
8 #TOTAL_CONTACTS 11127 for 1000 frames
9 #TOTAL_CONTACTS 14186 for 1000 frames
10 #TOTAL_CONTACTS 18673 for 1000 frames
11 #TOTAL_CONTACTS 14921 for 1000 frames
12 #TOTAL_CONTACTS 11686 for 1000 frames
13 #TOTAL_CONTACTS 14135 for 1000 frames
14 #TOTAL_CONTACTS 14363 for 1000 frames
15 #TOTAL_CONTACTS 13488 for 1000 frames
16 #TOTAL_CONTACTS 14100 for 1000 frames
17 #TOTAL_CONTACTS 16440 for 1000 frames
18 #TOTAL_CONTACTS 14658 for 1000 frames
19 #TOTAL_CONTACTS 14973 for 1000 frames
20 #TOTAL_CONTACTS 16394 for 1000 frames
21 #TOTAL_CONTACTS 15609 for 1000 frames
22 #TOTAL_CONTACTS 14707 for 1000 frames
23 #TOTAL_CONTACTS 12463 for 1000 frames
24 #TOTAL_CONTACTS 15873 for 1000 frames
25 #TOTAL_CONTACTS 15649 for 1000 frames
26 #TOTAL_CONTACTS 13487 for 1000 frames
27 #TOTAL_CONTACTS 14050 for 1000 frames
28 #TOTAL_CONTACTS 13794 for 1000 frames
29 #TOTAL_CONTACTS 13673 for 1000 frames
30 #TOTAL_CONTACTS 17283 for 1000 frames
31 #TOTAL_CONTACTS 15008 for 1000 frames
32 #TOTAL_CONTACTS 15177 for 1000 frames
33 #TOTAL_CONTACTS 13743 for 1000 frames
34 #TOTAL_CONTACTS 14837 for 1000 frames
35 #TOTAL_CONTACTS 12129 for 1000 frames
36 #TOTAL_CONTACTS 12067 for 1000 frames
37 #TOTAL_CONTACTS 14855 for 1000 frames
38 #TOTAL_CONTACTS 15125 for 1000 frames
39 #TOTAL_CONTACTS 10358 for 1000 frames
40 #TOTAL_CONTACTS 10657 for 1000 frames
41 #TOTAL_CONTACTS 10499 for 1000 frames
42 #TOTAL_CONTACTS 12402 for 1000 frames
43 #TOTAL_CONTACTS 10965 for 1000 frames
44 #TOTAL_CONTACTS 12804 for 1000 frames
45 #TOTAL_CONTACTS 13142 for 1000 frames
46 #TOTAL_CONTACTS 12871 for 1000 frames
47 #TOTAL_CONTACTS 14194 for 1000 frames
48 #TOTAL_CONTACTS 15025 for 1000 frames
49 #TOTAL_CONTACTS 14344 for 1000 frames
50 #TOTAL_CONTACTS 10782 for 1000 frames
51 #TOTAL_CONTACTS 13995 for 1000 frames
52 #TOTAL_CONTACTS 14422 for 1000 frames
53 #TOTAL_CONTACTS 11556 for 1000 frames
54 #TOTAL_CONTACTS 18272 for 1000 frames
55 #TOTAL_CONTACTS 15544 for 1000 frames
56 #TOTAL_CONTACTS 13968 for 1000 frames
57 #TOTAL_CONTACTS 15564 for 1000 frames
58 #TOTAL_CONTACTS 14615 for 1000 frames
59 #TOTAL_CONTACTS 12564 for 1000 frames
60 #TOTAL_CONTACTS 1033 for 100 frames
