#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.291 2.288 2.130 4 5 3 55 59 46
10 2.190 2.140 2.240 4 3 4 58 50 50
11 2.135 2.234 2.089 4 4 3 37 47 56
12 2.255 2.192 2.208 5 4 3 55 52 48
13 2.182 2.171 2.182 3 4 5 44 35 55
14 2.235 2.111 2.240 5 3 4 51 36 50
15 2.179 2.159 2.106 5 4 3 39 44 47
16 2.200 2.125 2.292 4 4 5 55 56 48
17 2.206 2.286 2.103 4 4 3 34 49 39
18 2.264 2.258 2.222 5 4 4 53 31 45
19 2.167 2.163 2.065 4 3 3 48 49 46
2 2.175 2.218 2.340 4 5 6 40 55 50
20 2.327 2.311 2.200 5 4 4 49 45 50
21 2.304 2.145 2.064 5 3 4 56 55 47
22 2.277 2.185 2.231 5 4 4 47 65 52
23 2.132 2.240 2.167 4 4 4 38 50 30
24 2.149 2.304 2.211 4 4 4 47 56 38
25 2.325 2.197 2.104 5 4 4 40 61 48
26 2.152 2.111 2.178 3 3 3 33 45 45
3 2.226 2.262 2.160 4 4 3 53 42 25
4 2.281 2.151 2.236 4 4 6 32 53 55
5 2.246 2.257 2.152 4 4 4 57 35 46
6 2.237 2.190 2.282 4 3 5 38 42 39
7 2.174 2.178 2.119 4 3 3 46 45 42
8 2.183 2.233 2.167 5 4 5 60 43 48
9 2.224 2.204 2.171 5 4 5 49 54 41
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 5579 5634 5411 601
