#resid average_duration max_duration persistent_contacts
1 4.111111111111111 23 45
10 4.029411764705882 23 34
11 4.771428571428571 25 35
12 4.2439024390243905 17 41
13 3.210526315789474 7 38
14 3.1794871794871793 8 39
15 4.673913043478261 22 46
16 4.54054054054054 16 37
17 4.4 22 45
18 4.666666666666667 16 54
19 4.25 15 32
2 4.354838709677419 25 31
20 3.8333333333333335 14 42
21 5.136363636363637 12 22
22 5.045454545454546 16 44
23 3.55 12 40
24 3.0 7 44
25 4.619047619047619 23 42
26 3.5319148936170213 13 47
3 3.7916666666666665 11 48
4 3.242424242424242 13 33
5 4.916666666666667 23 48
6 4.621621621621622 14 37
7 4.549019607843137 22 51
8 4.627906976744186 22 43
9 4.72 15 50
#TOTAL_CONTACTS 2849 for 1000 frames
