#resid average_duration max_duration persistent_contacts
1 4.685714285714286 18 35
10 3.9714285714285715 18 35
11 3.8125 11 48
12 4.488372093023256 21 43
13 3.75 10 36
14 4.666666666666667 18 33
15 3.4146341463414633 12 41
16 3.323529411764706 12 34
17 3.0 6 30
18 5.217391304347826 19 46
19 4.25531914893617 20 47
2 5.161290322580645 21 31
20 4.4 15 40
21 4.0212765957446805 13 47
22 3.875 15 40
23 2.9444444444444446 9 36
24 3.627906976744186 11 43
25 4.45 17 40
26 3.769230769230769 16 39
3 4.631578947368421 20 38
4 3.696969696969697 13 33
5 3.4516129032258065 9 31
6 4.055555555555555 16 54
7 4.148148148148148 19 27
8 3.8727272727272726 16 55
9 3.911764705882353 16 34
#TOTAL_CONTACTS 2628 for 1000 frames
