#resid average_duration max_duration persistent_contacts
1 4.482758620689655 15 29
10 3.82 11 50
11 3.782608695652174 11 46
12 3.642857142857143 9 28
13 4.392857142857143 11 28
14 3.6842105263157894 9 19
15 3.5961538461538463 10 52
16 3.4318181818181817 9 44
17 4.0 18 45
18 5.08 17 50
19 4.037037037037037 14 27
2 3.7096774193548385 8 31
20 3.6666666666666665 9 36
21 4.5 14 20
22 4.560975609756097 15 41
23 4.15 17 40
24 3.9555555555555557 9 45
25 3.3076923076923075 16 39
26 4.475 18 40
3 3.310344827586207 12 29
4 4.761904761904762 15 42
5 4.173076923076923 16 52
6 3.869565217391304 11 46
7 3.4827586206896552 12 29
8 2.9615384615384617 9 26
9 4.0 10 48
#TOTAL_CONTACTS 2548 for 1000 frames
