#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.037 2.111 2.071 3 3 3 27 18 14
10 2.000 2.160 2.091 2 3 3 12 25 22
11 2.045 2.118 2.231 3 3 4 22 17 13
12 2.034 2.040 2.077 3 3 3 29 25 26
13 2.050 2.057 2.000 3 3 2 20 35 15
14 2.000 2.071 2.091 2 3 3 19 28 22
15 2.056 2.000 2.000 3 2 2 18 17 25
16 2.053 2.053 2.000 3 3 2 19 19 26
17 2.000 2.118 2.000 2 3 2 16 34 18
18 2.118 2.036 2.000 3 3 2 17 28 25
19 2.038 2.000 2.069 3 2 3 26 19 29
2 2.080 2.036 2.048 3 3 3 25 28 21
20 2.000 2.000 2.056 2 2 3 16 23 18
21 2.071 2.074 2.143 3 3 4 14 27 21
22 2.000 2.000 2.000 2 2 2 18 18 21
23 2.091 2.040 2.059 3 3 3 22 25 17
24 2.053 2.000 2.000 3 2 2 19 28 24
25 2.190 2.118 2.053 3 4 3 21 34 19
26 2.100 2.043 2.179 4 3 4 20 23 28
3 2.048 2.136 2.038 3 3 3 21 22 26
4 2.053 2.100 2.036 3 3 3 19 30 28
5 2.000 2.136 2.079 2 3 3 16 22 38
6 2.040 2.100 2.118 3 3 3 25 20 17
7 2.048 2.033 2.000 3 3 2 21 30 25
8 2.095 2.136 2.053 4 3 3 21 22 19
9 2.067 2.158 2.133 3 4 4 15 19 15
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 5652 5598 5473 601
