#resid average_duration max_duration persistent_contacts
1 5.458874458874459 95 1848
10 6.025551102204409 81 1996
11 5.794708476237139 64 2041
12 5.841683366733467 66 1996
13 6.075132275132275 128 1890
14 5.712637650760357 86 1907
15 5.808909730363423 66 1706
16 5.801295896328294 128 1852
17 6.1882556131260795 82 1737
18 5.7540217955371045 145 1927
19 5.9874141876430205 86 1748
2 5.702528240989779 69 1859
20 6.029765311963366 82 1747
21 6.083634175691937 94 1662
22 5.844102564102564 48 1950
23 5.612992781787896 68 1801
24 6.107853403141362 70 1910
25 5.951182687468545 164 1987
26 6.304443225452551 145 1823
3 6.302746566791511 164 1602
4 5.92445652173913 85 1840
5 5.708284023668639 53 1690
6 5.852713178294573 94 1806
7 5.918866709594334 95 1553
8 6.035492957746479 63 1775
9 5.747150259067357 82 965
#TOTAL_CONTACTS 163082 for 10100 frames
