#resid average_duration max_duration persistent_contacts
1 5.656233135456017 122 1853
10 6.117287381878821 70 1799
11 6.259602649006623 90 1510
12 5.879453681710213 68 1684
13 5.921700223713646 58 1788
14 6.087450312322544 90 1761
15 5.683995327102804 93 1712
16 6.350923482849605 122 1895
17 5.620633187772926 59 1832
18 6.696845794392523 112 1712
19 5.961657390228819 112 1617
2 5.909905425584868 81 2009
20 5.873581847649919 66 1851
21 5.946932006633499 69 1809
22 6.27124773960217 131 1659
23 5.8810975609756095 60 1640
24 6.138200782268579 82 1534
25 6.008920187793427 98 2130
26 6.351412429378531 58 1770
3 5.86077772443591 82 2083
4 6.351804778851042 110 1967
5 5.991370010787486 65 1854
6 5.558104738154613 93 2005
7 6.043844856661045 131 1779
8 5.782472613458529 107 1917
9 5.83972310969116 100 1878
#TOTAL_CONTACTS 165991 for 10100 frames
