#resid average_duration max_duration persistent_contacts
1 4.4575 20 400
10 4.735294117647059 24 476
11 4.459183673469388 25 392
12 4.68125 23 480
13 4.675742574257426 33 404
14 4.220338983050848 18 413
15 4.980487804878049 89 410
16 4.850961538461538 28 416
17 8.448648648648648 98 185
18 4.858333333333333 89 360
19 4.572938689217759 20 473
2 4.945454545454545 33 440
20 4.604989604989605 38 481
21 4.547717842323651 31 482
22 5.232876712328767 163 365
23 5.0067796610169495 35 295
24 4.725925925925926 24 405
25 4.595789473684211 19 475
26 4.641414141414141 24 396
3 5.063186813186813 38 364
4 4.47457627118644 24 354
5 4.713347921225383 21 457
6 4.62984496124031 25 516
7 6.335648148148148 98 432
8 5.02054794520548 38 292
9 5.3927492447129906 163 331
#TOTAL_CONTACTS 29967 for 10100 frames
