#resid average_duration max_duration persistent_contacts
1 4.554761904761905 23 420
10 4.594036697247707 26 436
11 4.530054644808743 19 366
12 4.3610451306413305 25 421
13 4.680232558139535 26 344
14 4.64957264957265 25 351
15 4.142424242424243 25 330
16 4.309045226130653 21 398
17 4.673202614379085 28 306
18 4.698996655518394 25 299
19 4.909883720930233 56 344
2 5.890140845070422 104 355
20 4.741935483870968 22 341
21 4.5186170212765955 28 376
22 4.481578947368421 19 380
23 6.054313099041534 149 313
24 4.80352644836272 28 397
25 4.733552631578948 28 304
26 4.805194805194805 26 385
3 7.336842105263158 178 285
4 5.974025974025974 149 308
5 4.546712802768166 25 289
6 9.488584474885844 178 219
7 4.634020618556701 19 388
8 4.448717948717949 24 312
9 4.658892128279883 72 343
#TOTAL_CONTACTS 26081 for 9600 frames
