#resid average_duration max_duration persistent_contacts
1 8.220238095238095 314 336
10 6.147699757869249 144 413
11 5.753623188405797 134 345
12 4.974789915966387 152 357
13 6.200520833333333 134 384
14 6.453287197231834 108 289
15 5.145161290322581 152 248
16 5.002890173410405 38 346
17 4.165816326530612 21 392
18 4.720430107526882 28 372
19 4.715116279069767 24 344
2 4.238341968911917 23 386
20 7.076666666666667 345 300
21 5.664160401002507 314 399
22 9.671111111111111 144 225
23 4.344036697247707 20 436
24 4.872549019607843 67 306
25 9.641975308641975 345 324
26 4.178683385579937 16 319
3 4.925053533190578 36 467
4 4.321016166281755 20 433
5 7.32996632996633 159 297
6 5.531645569620253 98 395
7 7.685714285714286 108 420
8 5.227920227920228 65 351
9 5.1573426573426575 103 286
#TOTAL_CONTACTS 30026 for 10100 frames
