#resid average_duration max_duration persistent_contacts
1 4.008928571428571 16 112
10 3.861111111111111 15 108
11 4.155737704918033 20 122
12 4.15748031496063 17 127
13 4.798165137614679 33 109
14 4.345454545454546 21 110
15 4.119402985074627 21 134
16 4.0636363636363635 23 110
17 4.882352941176471 23 102
18 4.779816513761468 17 109
19 4.264150943396227 20 106
2 4.416666666666667 23 120
20 4.408695652173913 19 115
21 4.0859375 22 128
22 4.259615384615385 22 104
23 4.25 19 100
24 4.801801801801802 22 111
25 5.04 33 100
26 4.773584905660377 32 106
3 3.9863013698630136 15 146
4 4.247787610619469 32 113
5 3.9705882352941178 19 136
6 4.175438596491228 18 114
7 4.743801652892562 23 121
8 3.9659863945578233 18 147
9 3.9076923076923076 16 130
#TOTAL_CONTACTS 8259 for 601 frames
