#mol_name monomer_rate_per_traj standard_error
SCY 39.889 0.268 
SCI 29.308 0.248 
SCL 29.412 0.235 
SCF 36.173 0.269 
SCS 81.678 0.244 
SCT 78.028 0.262 
SCKN 64.659 0.290 
SCRN 46.167 0.277 
SCDN 78.292 0.258 
SCEN 66.511 0.293 
SCQ 72.132 0.272 
SCN 75.993 0.268 
SCHE 69.572 0.287 
SCHD 69.909 0.275 
SCC 61.340 0.280 
SCM 35.938 0.260 
SCYM 71.963 0.850 
SCHP 78.079 0.252 
SCK 79.794 0.248 
SCR 65.176 0.296 
SCCM 87.830 0.211 
SCD 85.347 0.209 
SCE 80.398 0.255 
SCV 34.575 0.256 
GLYD 55.474 0.287 
SCA 61.681 0.291 
SCP 70.997 0.279 
SCW 34.246 0.240 
