#mol_name avg_per_traj standard_error max_max_duration nb_total_of_persistent_contacts nb_frames
SCY 3.962 0.027 29.0 7964 601
SCI 2.120 0.004 6.0 5622 601
SCL 2.159 0.007 6.0 6610 601
SCF 2.249 0.008 7.0 6638 601
SCS 1.766 0.081 3.0 154 601
SCT 2.345 0.048 6.0 396 601
SCKN 2.924 0.021 14.0 4016 601
SCRN 4.172 0.038 35.0 6940 601
SCDN 2.910 0.034 14.0 1360 601
SCEN 3.411 0.038 20.0 3700 601
SCQ 2.471 0.060 15.0 750 601
SCN 2.077 0.023 4.0 282 601
SCHE 2.041 0.012 4.0 460 601
SCHD 2.207 0.041 8.0 556 601
SCC 2.136 0.008 4.0 1904 601
SCM 2.157 0.005 7.0 5346 601
SCYM 0.333 0.076 2.0 14 61
SCHP 1.958 0.042 4.0 274 601
SCK 2.827 0.081 15.0 628 601
SCR 4.322 0.083 57.0 2652 601
SCCM 1.247 0.097 3.0 68 601
SCD 1.301 0.131 3.0 80 601
SCE 1.829 0.061 3.0 182 601
SCV 2.093 0.003 5.0 4060 601
GLYD 2.225 0.030 26.0 1852 601
SCA 2.041 0.011 3.0 726 601
SCP 3.083 0.037 15.0 2390 601
SCW 4.274 0.030 35.0 8928 601
