#resid average_duration max_duration persistent_contacts
1 4.174311926605505 20 109
10 3.9514563106796117 13 103
11 4.092592592592593 17 108
12 4.124031007751938 22 129
13 4.361344537815126 14 119
14 4.018691588785047 14 107
15 4.983471074380165 19 121
16 4.333333333333333 17 123
17 4.036363636363636 18 110
18 3.51 12 100
19 3.792 15 125
2 4.177570093457944 17 107
20 3.9478260869565216 16 115
21 3.8556701030927836 15 97
22 4.3076923076923075 17 91
23 4.2792792792792795 16 111
24 4.029850746268656 20 134
25 5.333333333333333 35 108
26 3.899159663865546 22 119
3 3.784090909090909 15 88
4 3.9607843137254903 17 102
5 4.5984251968503935 35 127
6 4.3125 17 112
7 4.055045871559633 18 109
8 4.195876288659794 14 97
9 4.487603305785124 19 121
#TOTAL_CONTACTS 7834 for 601 frames
