#resid avg_traj1 avg_traj2 avg_traj3 max_traj1 max_traj2 max_traj3 pers_traj1 pers_traj2 pers_traj3
1 2.333 2.000 3.400 3 2 4 3 2 5
10 2.250 2.250 2.400 3 3 3 4 4 5
11 2.667 2.000 3.333 5 2 4 12 2 3
12 2.600 2.000 2.000 4 2 2 5 3 1
13 2.143 2.333 2.625 3 3 4 7 3 8
14 3.083 2.000 3.500 8 2 7 12 3 4
15 2.000 2.000 2.000 2 2 2 2 5 4
16 2.000 4.000 2.500 2 4 3 5 1 4
17 2.000 4.000 2.000 2 4 2 2 1 6
18 2.000 2.600 2.500 2 4 3 2 5 2
19 2.000 0.000 2.000 2 0 2 4 0 1
2 3.444 2.125 2.000 8 3 2 9 8 1
20 2.000 4.000 2.500 2 4 4 1 1 6
21 2.000 2.250 2.286 2 3 3 1 4 7
22 0.000 2.000 2.556 0 2 4 0 1 9
23 2.333 2.250 2.000 4 3 2 9 4 3
24 3.167 2.500 2.000 5 4 2 6 6 1
25 2.833 2.250 3.000 7 3 4 6 4 8
26 2.000 2.250 2.000 2 3 2 2 4 3
3 2.000 2.800 2.000 2 4 2 3 5 1
4 2.000 2.500 2.600 2 4 5 2 6 5
5 2.875 2.000 3.000 7 2 4 8 4 6
6 2.000 2.385 2.000 2 4 2 2 13 5
7 2.250 2.000 2.538 3 2 7 4 1 13
8 2.400 2.000 2.250 4 2 3 5 2 4
9 3.500 2.500 3.200 5 3 5 2 2 5
#TOTAL traj1 traj2 traj3 nframes
#TOTAL 1361 1348 1441 601
