#resid average_duration max_duration persistent_contacts
1 5.682926829268292 21 41
10 10.020408163265307 72 49
11 5.19672131147541 25 61
12 5.67741935483871 22 31
13 2.888888888888889 9 9
14 5.0 14 29
15 6.095238095238095 21 21
16 6.088888888888889 25 45
17 5.9393939393939394 26 33
18 3.642857142857143 12 14
19 18.324324324324323 140 37
2 21.352941176470587 140 34
20 5.470588235294118 22 68
21 5.957446808510638 26 47
22 6.92 58 25
23 10.976190476190476 97 42
24 0 0 0
25 8.022727272727273 55 44
26 3.642857142857143 12 14
3 8.68 72 50
4 6.25 26 36
5 6.857142857142857 27 7
6 4.588235294117647 13 34
7 4.962962962962963 21 54
8 0 0 0
9 6.787878787878788 23 33
#TOTAL_CONTACTS 3695 for 1000 frames
