#frame monomers_% popc_isolated_%
0 76.92307692307692 0.0
1 76.92307692307692 0.0
2 57.69230769230769 0.0
3 61.53846153846154 0.0
4 57.69230769230769 0.0
5 61.53846153846154 0.0
6 50.0 0.0
7 53.84615384615385 0.0
8 50.0 0.0
9 61.53846153846154 0.0
10 61.53846153846154 0.0
11 53.84615384615385 0.0
12 76.92307692307692 0.0
13 69.23076923076923 0.0
14 84.61538461538461 0.0
15 61.53846153846154 0.0
16 69.23076923076923 0.0
17 61.53846153846154 0.0
18 76.92307692307692 0.0
19 61.53846153846154 0.0
20 65.38461538461539 0.0
21 76.92307692307692 0.0
22 76.92307692307692 0.0
23 69.23076923076923 0.0
24 61.53846153846154 0.0
25 57.69230769230769 0.0
26 65.38461538461539 0.0
27 61.53846153846154 0.0
28 61.53846153846154 0.0
29 69.23076923076923 0.0
30 53.84615384615385 0.0
31 57.69230769230769 0.0
32 65.38461538461539 0.0
33 57.69230769230769 0.0
34 57.69230769230769 0.0
35 61.53846153846154 0.0
36 50.0 0.0
37 53.84615384615385 0.0
38 42.30769230769231 0.0
39 53.84615384615385 0.0
40 57.69230769230769 0.0
41 50.0 0.0
42 50.0 0.0
43 53.84615384615385 0.0
44 61.53846153846154 0.0
45 69.23076923076923 0.0
46 61.53846153846154 0.0
47 69.23076923076923 0.0
48 53.84615384615385 0.0
49 61.53846153846154 0.0
50 69.23076923076923 0.0
51 69.23076923076923 0.0
52 65.38461538461539 0.0
53 65.38461538461539 0.0
54 69.23076923076923 0.0
55 76.92307692307692 0.0
56 84.61538461538461 0.0
57 84.61538461538461 0.0
58 84.61538461538461 0.0
59 76.92307692307692 0.0
60 84.61538461538461 0.0
61 84.61538461538461 0.0
62 69.23076923076923 0.0
63 61.53846153846154 0.0
64 69.23076923076923 0.0
65 69.23076923076923 0.0
66 65.38461538461539 0.0
67 69.23076923076923 0.0
68 69.23076923076923 0.0
69 69.23076923076923 0.0
70 69.23076923076923 0.0
71 92.3076923076923 0.0
72 76.92307692307692 0.0
73 92.3076923076923 0.0
74 92.3076923076923 0.0
75 84.61538461538461 0.0
76 69.23076923076923 0.0
77 76.92307692307692 0.0
78 76.92307692307692 0.0
79 69.23076923076923 0.0
80 61.53846153846154 0.0
81 61.53846153846154 0.0
82 84.61538461538461 0.0
83 84.61538461538461 0.0
84 88.46153846153847 0.0
85 88.46153846153847 0.0
86 76.92307692307692 0.0
87 80.76923076923077 0.0
88 76.92307692307692 0.0
89 61.53846153846154 0.0
90 80.76923076923077 0.0
91 57.69230769230769 0.0
92 73.07692307692308 0.0
93 73.07692307692308 0.0
94 57.69230769230769 0.0
95 65.38461538461539 0.0
96 73.07692307692308 0.0
97 73.07692307692308 0.0
98 76.92307692307692 0.0
99 73.07692307692308 0.0
100 69.23076923076923 0.0
101 69.23076923076923 0.0
102 73.07692307692308 0.0
103 80.76923076923077 0.0
104 80.76923076923077 0.0
105 76.92307692307692 0.0
106 76.92307692307692 0.0
107 76.92307692307692 0.0
108 92.3076923076923 0.0
109 76.92307692307692 0.0
110 92.3076923076923 0.0
111 84.61538461538461 0.0
112 76.92307692307692 0.0
113 84.61538461538461 0.0
114 80.76923076923077 0.0
115 84.61538461538461 0.0
116 84.61538461538461 0.0
117 92.3076923076923 0.0
118 88.46153846153847 0.0
119 73.07692307692308 0.0
120 80.76923076923077 0.0
121 88.46153846153847 0.0
122 73.07692307692308 0.0
123 80.76923076923077 0.0
124 80.76923076923077 0.0
125 69.23076923076923 0.0
126 80.76923076923077 0.0
127 80.76923076923077 0.0
128 80.76923076923077 0.0
129 80.76923076923077 0.0
130 61.53846153846154 0.0
131 80.76923076923077 0.0
132 73.07692307692308 0.0
133 73.07692307692308 0.0
134 88.46153846153847 0.0
135 73.07692307692308 0.0
136 57.69230769230769 0.0
137 80.76923076923077 0.0
138 92.3076923076923 0.0
139 92.3076923076923 0.0
140 92.3076923076923 0.0
141 84.61538461538461 0.0
142 73.07692307692308 0.0
143 76.92307692307692 0.0
144 88.46153846153847 0.0
145 80.76923076923077 0.0
146 61.53846153846154 0.0
147 65.38461538461539 0.0
148 84.61538461538461 0.0
149 84.61538461538461 0.0
150 80.76923076923077 0.0
151 80.76923076923077 0.0
152 80.76923076923077 0.0
153 73.07692307692308 0.0
154 57.69230769230769 0.0
155 65.38461538461539 0.0
156 69.23076923076923 0.0
157 69.23076923076923 0.0
158 53.84615384615385 0.0
159 61.53846153846154 0.0
160 69.23076923076923 0.0
161 69.23076923076923 0.0
162 76.92307692307692 0.0
163 84.61538461538461 0.0
164 65.38461538461539 0.0
165 61.53846153846154 0.0
166 73.07692307692308 0.0
167 61.53846153846154 0.0
168 69.23076923076923 0.0
169 73.07692307692308 0.0
170 76.92307692307692 0.0
171 73.07692307692308 0.0
172 80.76923076923077 0.0
173 92.3076923076923 0.0
174 76.92307692307692 0.0
175 84.61538461538461 0.0
176 84.61538461538461 0.0
177 69.23076923076923 0.0
178 76.92307692307692 0.0
179 84.61538461538461 0.0
180 84.61538461538461 0.0
181 92.3076923076923 0.0
182 92.3076923076923 0.0
183 84.61538461538461 0.0
184 92.3076923076923 0.0
185 76.92307692307692 0.0
186 76.92307692307692 0.0
187 73.07692307692308 0.0
188 76.92307692307692 0.0
189 84.61538461538461 0.0
190 84.61538461538461 0.0
191 76.92307692307692 0.0
192 84.61538461538461 0.0
193 76.92307692307692 0.0
194 76.92307692307692 0.0
195 69.23076923076923 0.0
196 76.92307692307692 0.0
197 69.23076923076923 0.0
198 69.23076923076923 0.0
199 76.92307692307692 0.0
200 69.23076923076923 0.0
201 69.23076923076923 0.0
202 84.61538461538461 0.0
203 84.61538461538461 0.0
204 76.92307692307692 0.0
205 76.92307692307692 0.0
206 76.92307692307692 0.0
207 69.23076923076923 0.0
208 84.61538461538461 0.0
209 69.23076923076923 0.0
210 57.69230769230769 0.0
211 65.38461538461539 0.0
212 61.53846153846154 0.0
213 69.23076923076923 0.0
214 69.23076923076923 0.0
215 76.92307692307692 0.0
216 69.23076923076923 0.0
217 84.61538461538461 0.0
218 69.23076923076923 0.0
219 76.92307692307692 0.0
220 73.07692307692308 0.0
